function,method,seed,scenario,regret
F01-Sphere,MC-ESO,0,15,3.12129e-08
F01-Sphere,MC-ESO,0,16,8.9126e-06
F01-Sphere,MC-ESO,0,17,2.14462e-06
F01-Sphere,MC-ESO,0,18,4.51864e-06
F01-Sphere,MC-ESO,0,19,1.15598e-08
F01-Sphere,MC-ESO,0,20,9.19355e-06
F01-Sphere,MC-ESO,0,21,8.12922e-09
F01-Sphere,MC-ESO,0,22,9.73889e-09
F01-Sphere,MC-ESO,0,23,1.5839e-08
F01-Sphere,MC-ESO,0,24,7.80113e-06
F01-Sphere,MC-ESO,0,25,8.35626e-06
F01-Sphere,MC-ESO,0,26,8.97555e-06
F01-Sphere,MC-ESO,0,27,4.63898e-06
F01-Sphere,MC-ESO,0,28,1.09159e-08
F01-Sphere,MC-ESO,0,29,1.91492e-08
F01-Sphere,MC-ESO,0,30,1.57121e-08
F01-Sphere,MC-ESO,0,31,1.84623e-08
F01-Sphere,MC-ESO,0,32,5.57102e-06
F01-Sphere,MC-ESO,0,33,1.88134e-08
F01-Sphere,MC-ESO,0,34,1.10022e-08
F01-Sphere,MC-ESO,0,35,1.41117e-08
F01-Sphere,MC-ESO,0,36,1.84729e-08
F01-Sphere,MC-ESO,0,37,1.56176e-08
F01-Sphere,MC-ESO,0,38,1.92445e-08
F01-Sphere,MC-ESO,0,39,9.14126e-06
F01-Sphere,MC-ESO,0,40,7.46211e-06
F01-Sphere,MC-ESO,0,41,1.26479e-08
F01-Sphere,MC-ESO,0,42,1.91886e-08
F01-Sphere,MC-ESO,0,43,8.56872e-06
F01-Sphere,MC-ESO,0,44,6.79164e-06
F01-Sphere,NMMSO,0,15,3.62523e-08
F01-Sphere,NMMSO,0,16,8.93184e-06
F01-Sphere,NMMSO,0,17,2.14413e-06
F01-Sphere,NMMSO,0,18,4.52346e-06
F01-Sphere,NMMSO,0,19,0
F01-Sphere,NMMSO,0,20,9.21224e-06
F01-Sphere,NMMSO,0,21,0
F01-Sphere,NMMSO,0,22,0
F01-Sphere,NMMSO,0,23,0
F01-Sphere,NMMSO,0,24,7.81953e-06
F01-Sphere,NMMSO,0,25,8.37109e-06
F01-Sphere,NMMSO,0,26,8.99478e-06
F01-Sphere,NMMSO,0,27,4.65265e-06
F01-Sphere,NMMSO,0,28,6.49606e-09
F01-Sphere,NMMSO,0,29,0
F01-Sphere,NMMSO,0,30,1.99057e-08
F01-Sphere,NMMSO,0,31,0
F01-Sphere,NMMSO,0,32,5.58624e-06
F01-Sphere,NMMSO,0,33,0
F01-Sphere,NMMSO,0,34,5.35768e-09
F01-Sphere,NMMSO,0,35,0
F01-Sphere,NMMSO,0,36,0
F01-Sphere,NMMSO,0,37,0
F01-Sphere,NMMSO,0,38,0
F01-Sphere,NMMSO,0,39,9.1592e-06
F01-Sphere,NMMSO,0,40,7.4801e-06
F01-Sphere,NMMSO,0,41,1.17661e-08
F01-Sphere,NMMSO,0,42,0
F01-Sphere,NMMSO,0,43,8.58424e-06
F01-Sphere,NMMSO,0,44,6.80203e-06
F01-Sphere,NCDE,0,15,3.32241e-08
F01-Sphere,NCDE,0,16,8.91585e-06
F01-Sphere,NCDE,0,17,2.14334e-06
F01-Sphere,NCDE,0,18,4.5183e-06
F01-Sphere,NCDE,0,19,8.64038e-09
F01-Sphere,NCDE,0,20,9.19644e-06
F01-Sphere,NCDE,0,21,5.66396e-09
