function,quantile,k_all,k_big,area,r_max
N04-Himmelblau,0.001,4,4,0.00100,0.00752
N04-Himmelblau,0.01,4,4,0.01000,0.02506
N04-Himmelblau,0.05,3,3,0.05000,0.05514
N04-Himmelblau,0.1,3,3,0.10000,0.08020
N05-SixHumpCamel,0.001,2,2,0.00100,0.01003
N05-SixHumpCamel,0.01,2,2,0.01000,0.03258
N05-SixHumpCamel,0.05,2,2,0.05000,0.07519
N05-SixHumpCamel,0.1,4,4,0.10000,0.11529
N06-Shubert2D,0.001,18,18,0.00100,0.00251
N06-Shubert2D,0.01,36,36,0.01000,0.01003
N06-Shubert2D,0.05,234,36,0.05000,0.01253
N06-Shubert2D,0.1,348,0,0.10000,0.00000
N07-Vincent2D,0.001,16,15,0.00101,0.00752
N07-Vincent2D,0.01,35,17,0.01001,0.02506
N07-Vincent2D,0.05,36,19,0.05000,0.06015
N07-Vincent2D,0.1,36,17,0.10001,0.08521
N10-ModRastrigin2D,0.001,12,12,0.00101,0.00251
N10-ModRastrigin2D,0.01,12,12,0.01001,0.01253
N10-ModRastrigin2D,0.05,12,12,0.05001,0.03008
N10-ModRastrigin2D,0.1,12,12,0.10001,0.04261
