function,method,seed,scenario,regret
F01-Sphere,MC-ESO,0,15,8.0648e-09
F01-Sphere,MC-ESO,0,16,6.30388e-09
F01-Sphere,MC-ESO,0,17,4.66471e-09
F01-Sphere,MC-ESO,0,18,3.17933e-09
F01-Sphere,MC-ESO,0,19,6.55856e-09
F01-Sphere,MC-ESO,0,20,4.63213e-09
F01-Sphere,MC-ESO,0,21,6.17567e-09
F01-Sphere,MC-ESO,0,22,6.38377e-09
F01-Sphere,MC-ESO,0,23,6.91765e-09
F01-Sphere,MC-ESO,0,24,8.04393e-09
F01-Sphere,MC-ESO,0,25,6.94709e-10
F01-Sphere,MC-ESO,0,26,6.10332e-09
F01-Sphere,MC-ESO,0,27,9.19855e-09
F01-Sphere,MC-ESO,0,28,5.45796e-09
F01-Sphere,MC-ESO,0,29,7.68116e-09
F01-Sphere,MC-ESO,0,30,7.85604e-09
F01-Sphere,MC-ESO,0,31,7.6221e-09
F01-Sphere,MC-ESO,0,32,9.10447e-09
F01-Sphere,MC-ESO,0,33,7.18838e-09
F01-Sphere,MC-ESO,0,34,5.50111e-09
F01-Sphere,MC-ESO,0,35,6.66151e-09
F01-Sphere,MC-ESO,0,36,6.97271e-09
F01-Sphere,MC-ESO,0,37,6.60841e-09
F01-Sphere,MC-ESO,0,38,7.60764e-09
F01-Sphere,MC-ESO,0,39,3.55971e-09
F01-Sphere,MC-ESO,0,40,8.32164e-09
F01-Sphere,MC-ESO,0,41,6.32395e-09
F01-Sphere,MC-ESO,0,42,7.66974e-09
F01-Sphere,MC-ESO,0,43,1.23616e-09
F01-Sphere,MC-ESO,0,44,1.19504e-09
F01-Sphere,NMMSO,0,15,1.06664e-08
F01-Sphere,NMMSO,0,16,9.12423e-09
F01-Sphere,NMMSO,0,17,2.66936e-09
F01-Sphere,NMMSO,0,18,2.0282e-09
F01-Sphere,NMMSO,0,19,3.31187e-09
F01-Sphere,NMMSO,0,20,6.93871e-09
F01-Sphere,NMMSO,0,21,3.23034e-09
F01-Sphere,NMMSO,0,22,3.28499e-09
F01-Sphere,NMMSO,0,23,5.66937e-09
F01-Sphere,NMMSO,0,24,1.13265e-08
F01-Sphere,NMMSO,0,25,1.65856e-09
