function,method,seed,scenario,regret
F01-Sphere,MC-ESO,0,15,4.03238e-09
F01-Sphere,MC-ESO,0,16,3.15193e-09
F01-Sphere,MC-ESO,0,17,1.65597e-09
F01-Sphere,MC-ESO,0,18,1.34232e-09
F01-Sphere,MC-ESO,0,19,2.0173e-09
F01-Sphere,MC-ESO,0,20,2.31605e-09
F01-Sphere,MC-ESO,0,21,1.88171e-09
F01-Sphere,MC-ESO,0,22,1.88967e-09
F01-Sphere,MC-ESO,0,23,3.45883e-09
F01-Sphere,MC-ESO,0,24,4.02195e-09
F01-Sphere,MC-ESO,0,25,3.4734e-10
F01-Sphere,MC-ESO,0,26,3.05165e-09
F01-Sphere,MC-ESO,0,27,4.59926e-09
F01-Sphere,MC-ESO,0,28,2.72898e-09
F01-Sphere,MC-ESO,0,29,3.84058e-09
F01-Sphere,MC-ESO,0,30,3.92801e-09
F01-Sphere,MC-ESO,0,31,3.81105e-09
F01-Sphere,MC-ESO,0,32,4.55222e-09
F01-Sphere,MC-ESO,0,33,3.59419e-09
F01-Sphere,MC-ESO,0,34,2.75056e-09
F01-Sphere,MC-ESO,0,35,2.39271e-09
F01-Sphere,MC-ESO,0,36,3.48636e-09
F01-Sphere,MC-ESO,0,37,2.74574e-09
F01-Sphere,MC-ESO,0,38,3.80382e-09
F01-Sphere,MC-ESO,0,39,1.77984e-09
F01-Sphere,MC-ESO,0,40,4.16081e-09
F01-Sphere,MC-ESO,0,41,3.16196e-09
F01-Sphere,MC-ESO,0,42,3.83487e-09
F01-Sphere,MC-ESO,0,43,6.18068e-10
F01-Sphere,MC-ESO,0,44,8.60544e-10
F01-Sphere,NMMSO,0,15,4.13913e-09
F01-Sphere,NMMSO,0,16,4.6783e-09
F01-Sphere,NMMSO,0,17,1.91985e-09
F01-Sphere,NMMSO,0,18,2.0162e-09
F01-Sphere,NMMSO,0,19,1.34452e-09
F01-Sphere,NMMSO,0,20,3.8671e-09
F01-Sphere,NMMSO,0,21,1.51272e-09
F01-Sphere,NMMSO,0,22,1.38003e-09
F01-Sphere,NMMSO,0,23,2.0337e-09
F01-Sphere,NMMSO,0,24,5.38969e-09
F01-Sphere,NMMSO,0,25,1.71317e-09
F01-Sphere,NMMSO,0,26,4.58573e-09
F01-Sphere,NMMSO,0,27,5.46816e-09
F01-Sphere,NMMSO,0,28,2.08478e-09
F01-Sphere,NMMSO,0,29,2.29529e-09
F01-Sphere,NMMSO,0,30,3.96453e-09
F01-Sphere,NMMSO,0,31,2.26482e-09
F01-Sphere,NMMSO,0,32,5.57124e-09
F01-Sphere,NMMSO,0,33,2.16925e-09
F01-Sphere,NMMSO,0,34,2.01467e-09
F01-Sphere,NMMSO,0,35,1.48184e-09
F01-Sphere,NMMSO,0,36,2.1095e-09
F01-Sphere,NMMSO,0,37,1.68678e-09
F01-Sphere,NMMSO,0,38,2.27994e-09
F01-Sphere,NMMSO,0,39,3.30897e-09
F01-Sphere,NMMSO,0,40,5.477e-09
F01-Sphere,NMMSO,0,41,2.78994e-09
F01-Sphere,NMMSO,0,42,2.29349e-09
F01-Sphere,NMMSO,0,43,2.02517e-09
F01-Sphere,NMMSO,0,44,1.93703e-09
F01-Sphere,NCDE,0,15,4.53518e-09
F01-Sphere,NCDE,0,16,3.96467e-09
F01-Sphere,NCDE,0,17,1.33594e-09
F01-Sphere,NCDE,0,18,1.25667e-09
F01-Sphere,NCDE,0,19,1.28744e-09
F01-Sphere,NCDE,0,20,3.03818e-09
F01-Sphere,NCDE,0,21,1.26539e-09
F01-Sphere,NCDE,0,22,1.2182e-09
F01-Sphere,NCDE,0,23,2.95689e-09
