function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N06-Shubert2D,18,0.1,0,20000,100,15,15,15,100,19,4,55,29,29,29,29,1.4210854715202004e-13
N06-Shubert2D,18,0.1,1,20000,100,15,15,15,100,17,2,54,28,28,28,27,8.526512829121202e-14
N06-Shubert2D,18,0.1,2,20000,100,16,16,16,100,17,1,57,31,31,31,30,8.526512829121202e-14
N06-Shubert2D,18,0.1,3,20000,100,15,12,15,100,14,2,54,28,28,28,26,1.4210854715202004e-13
N06-Shubert2D,18,0.1,4,20000,100,15,15,15,100,27,12,58,32,32,32,31,1.4210854715202004e-13
N06-Shubert2D,18,0.1,5,20000,100,16,16,16,100,18,2,57,31,31,31,29,8.526512829121202e-14
N06-Shubert2D,18,0.1,6,20000,100,14,14,14,100,20,6,56,30,30,30,30,1.1368683772161603e-13
N06-Shubert2D,18,0.1,7,20000,100,16,15,16,100,28,13,54,28,28,28,27,1.1368683772161603e-13
N06-Shubert2D,18,0.1,8,20000,100,15,13,15,100,32,19,55,29,29,29,27,8.526512829121202e-14
N06-Shubert2D,18,0.1,9,20000,100,14,13,14,100,13,0,55,29,29,29,29,8.526512829121202e-14
N06-Shubert2D,18,0.1,10,20000,100,17,17,17,100,21,4,55,29,29,29,29,8.526512829121202e-14
N06-Shubert2D,18,0.1,11,20000,100,15,14,15,100,14,0,56,30,30,30,30,8.526512829121202e-14
N06-Shubert2D,18,0.1,12,20000,100,16,16,16,100,16,0,55,29,29,29,29,1.4210854715202004e-13
N06-Shubert2D,18,0.1,13,20000,100,16,16,16,100,28,12,56,30,30,30,30,8.526512829121202e-14
N06-Shubert2D,18,0.1,14,20000,100,15,15,15,100,15,0,56,30,30,30,30,1.4210854715202004e-13
N06-Shubert2D,18,0.001,0,20000,100,15,15,15,100,19,4,55,29,29,29,29,1.4210854715202004e-13
N06-Shubert2D,18,0.001,1,20000,100,15,15,15,100,17,2,54,28,28,28,27,8.526512829121202e-14
N06-Shubert2D,18,0.001,2,20000,100,16,16,16,100,17,1,57,31,31,31,30,8.526512829121202e-14
N06-Shubert2D,18,0.001,3,20000,100,12,12,12,100,14,2,54,28,28,28,26,1.4210854715202004e-13
N06-Shubert2D,18,0.001,4,20000,100,15,15,15,100,27,12,58,32,32,32,31,1.4210854715202004e-13
N06-Shubert2D,18,0.001,5,20000,100,16,16,16,100,18,2,57,31,31,31,29,8.526512829121202e-14
N06-Shubert2D,18,0.001,6,20000,100,14,14,14,100,20,6,56,30,30,30,30,1.1368683772161603e-13
N06-Shubert2D,18,0.001,7,20000,100,15,15,15,100,28,13,54,28,28,28,27,1.1368683772161603e-13
N06-Shubert2D,18,0.001,8,20000,100,14,13,14,100,32,19,55,29,29,29,27,8.526512829121202e-14
N06-Shubert2D,18,0.001,9,20000,100,12,12,12,100,13,1,55,29,29,29,29,8.526512829121202e-14
N06-Shubert2D,18,0.001,10,20000,100,17,17,17,100,21,4,55,29,29,29,29,8.526512829121202e-14
N06-Shubert2D,18,0.001,11,20000,100,14,14,14,100,14,0,56,30,30,30,30,8.526512829121202e-14
N06-Shubert2D,18,0.001,12,20000,100,16,16,16,100,16,0,55,29,29,29,29,1.4210854715202004e-13
N06-Shubert2D,18,0.001,13,20000,100,16,16,16,100,28,12,56,30,30,30,30,8.526512829121202e-14
N06-Shubert2D,18,0.001,14,20000,100,15,15,15,100,15,0,56,30,30,30,30,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,0,20000,100,3,3,3,100,19,16,55,29,29,29,4,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,1,20000,100,4,4,4,100,17,13,54,28,28,28,4,8.526512829121202e-14
N06-Shubert2D,18,1e-05,2,20000,100,2,2,2,100,17,15,57,31,31,31,2,8.526512829121202e-14
