function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N06-Shubert2D,18,0.1,0,20000,100,13,13,13,100,25,12,65,39,39,39,34,1.4210854715202004e-13
N06-Shubert2D,18,0.1,1,20000,100,15,15,15,100,31,16,64,38,38,38,28,8.526512829121202e-14
N06-Shubert2D,18,0.1,2,20000,100,15,15,15,100,29,14,67,41,41,41,27,8.526512829121202e-14
N06-Shubert2D,18,0.1,3,20000,100,17,15,17,100,22,7,65,39,39,39,33,1.4210854715202004e-13
N06-Shubert2D,18,0.1,4,20000,100,15,15,15,100,26,11,66,40,40,40,29,1.4210854715202004e-13
N06-Shubert2D,18,0.1,5,20000,100,14,14,14,100,32,18,66,40,40,40,24,8.526512829121202e-14
N06-Shubert2D,18,0.1,6,20000,100,18,18,18,100,23,5,68,42,42,42,36,1.1368683772161603e-13
N06-Shubert2D,18,0.1,7,20000,100,15,15,15,100,20,5,62,36,36,36,29,1.1368683772161603e-13
N06-Shubert2D,18,0.1,8,20000,100,13,13,13,100,19,6,64,38,38,38,26,8.526512829121202e-14
N06-Shubert2D,18,0.1,9,20000,100,14,14,14,100,32,18,66,40,40,40,27,8.526512829121202e-14
N06-Shubert2D,18,0.1,10,20000,100,14,14,14,100,26,12,65,39,39,39,23,8.526512829121202e-14
N06-Shubert2D,18,0.1,11,20000,100,13,13,13,100,20,7,65,39,39,39,29,8.526512829121202e-14
N06-Shubert2D,18,0.1,12,20000,100,16,16,16,100,30,14,66,40,40,40,33,1.4210854715202004e-13
N06-Shubert2D,18,0.1,13,20000,100,15,15,15,100,17,2,66,40,40,40,38,8.526512829121202e-14
N06-Shubert2D,18,0.1,14,20000,100,14,14,14,100,25,11,62,36,36,36,26,1.4210854715202004e-13
N06-Shubert2D,18,0.001,0,20000,100,13,13,13,100,25,12,65,39,39,39,34,1.4210854715202004e-13
