function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N06-Shubert2D,18,0.1,0,20000,100,17,17,17,100,21,4,69,43,43,43,32,1.4210854715202004e-13
N06-Shubert2D,18,0.1,1,20000,100,13,13,13,100,22,9,70,44,44,44,34,8.526512829121202e-14
N06-Shubert2D,18,0.1,2,20000,100,15,15,15,100,36,21,70,44,44,44,23,8.526512829121202e-14
N06-Shubert2D,18,0.1,3,20000,100,17,17,17,100,24,7,69,43,43,43,36,1.4210854715202004e-13
N06-Shubert2D,18,0.1,4,20000,100,13,12,13,100,34,22,70,44,44,44,22,1.4210854715202004e-13
N06-Shubert2D,18,0.1,5,20000,100,14,14,14,100,48,34,71,45,45,45,25,8.526512829121202e-14
N06-Shubert2D,18,0.1,6,20000,100,16,16,16,100,39,23,71,45,45,45,24,1.1368683772161603e-13
N06-Shubert2D,18,0.1,7,20000,100,16,16,16,100,22,6,67,41,41,41,31,1.1368683772161603e-13
N06-Shubert2D,18,0.1,8,20000,100,16,14,16,100,22,8,67,41,41,41,29,8.526512829121202e-14
N06-Shubert2D,18,0.1,9,20000,100,14,14,14,100,37,23,69,43,43,43,27,8.526512829121202e-14
N06-Shubert2D,18,0.1,10,20000,100,15,15,15,100,26,11,71,45,45,45,26,8.526512829121202e-14
N06-Shubert2D,18,0.1,11,20000,100,14,14,14,100,24,10,73,47,47,47,27,8.526512829121202e-14
N06-Shubert2D,18,0.1,12,20000,100,15,15,15,100,27,12,71,45,45,45,31,1.4210854715202004e-13
N06-Shubert2D,18,0.1,13,20000,100,16,16,16,100,26,10,72,46,46,46,31,8.526512829121202e-14
N06-Shubert2D,18,0.1,14,20000,100,14,14,14,100,31,17,69,43,43,43,25,1.4210854715202004e-13
N06-Shubert2D,18,0.001,0,20000,100,16,16,16,100,21,5,69,43,43,43,32,1.4210854715202004e-13
N06-Shubert2D,18,0.001,1,20000,100,13,13,13,100,22,9,70,44,44,44,32,8.526512829121202e-14
N06-Shubert2D,18,0.001,2,20000,100,15,15,15,100,36,21,70,44,44,44,23,8.526512829121202e-14
N06-Shubert2D,18,0.001,3,20000,100,17,17,17,100,24,7,69,43,43,43,35,1.4210854715202004e-13
N06-Shubert2D,18,0.001,4,20000,100,12,12,12,100,34,22,70,44,44,44,22,1.4210854715202004e-13
N06-Shubert2D,18,0.001,5,20000,100,14,14,14,100,48,34,71,45,45,45,25,8.526512829121202e-14
N06-Shubert2D,18,0.001,6,20000,100,15,15,15,100,39,24,71,45,45,45,22,1.1368683772161603e-13
N06-Shubert2D,18,0.001,7,20000,100,16,16,16,100,22,6,67,41,41,41,31,1.1368683772161603e-13
N06-Shubert2D,18,0.001,8,20000,100,14,14,14,100,22,8,67,41,41,41,26,8.526512829121202e-14
N06-Shubert2D,18,0.001,9,20000,100,14,14,14,100,37,23,69,43,43,43,27,8.526512829121202e-14
N06-Shubert2D,18,0.001,10,20000,100,15,15,15,100,26,11,71,45,45,45,25,8.526512829121202e-14
N06-Shubert2D,18,0.001,11,20000,100,14,14,14,100,24,10,73,47,47,47,24,8.526512829121202e-14
N06-Shubert2D,18,0.001,12,20000,100,15,15,15,100,27,12,71,45,45,45,31,1.4210854715202004e-13
N06-Shubert2D,18,0.001,13,20000,100,16,16,16,100,26,10,72,46,46,46,31,8.526512829121202e-14
N06-Shubert2D,18,0.001,14,20000,100,14,14,14,100,31,17,69,43,43,43,25,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,0,20000,100,10,10,10,100,21,11,69,43,43,43,12,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,1,20000,100,9,9,9,100,22,13,70,44,44,44,14,8.526512829121202e-14
N06-Shubert2D,18,1e-05,2,20000,100,7,7,7,100,36,29,70,44,44,44,7,8.526512829121202e-14
N06-Shubert2D,18,1e-05,3,20000,100,7,7,7,100,24,17,69,43,43,43,9,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,4,20000,100,3,3,3,100,34,31,70,44,44,44,5,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,5,20000,100,8,8,8,100,48,40,71,45,45,45,9,8.526512829121202e-14
N06-Shubert2D,18,1e-05,6,20000,100,3,3,3,100,39,36,71,45,45,45,3,1.1368683772161603e-13
N06-Shubert2D,18,1e-05,7,20000,100,6,6,6,100,22,16,67,41,41,41,8,1.1368683772161603e-13
N06-Shubert2D,18,1e-05,8,20000,100,5,5,5,100,22,17,67,41,41,41,5,8.526512829121202e-14
N06-Shubert2D,18,1e-05,9,20000,100,7,7,7,100,37,30,69,43,43,43,9,8.526512829121202e-14
N06-Shubert2D,18,1e-05,10,20000,100,9,9,9,100,26,17,71,45,45,45,10,8.526512829121202e-14
N06-Shubert2D,18,1e-05,11,20000,100,5,5,5,100,24,19,73,47,47,47,7,8.526512829121202e-14
N06-Shubert2D,18,1e-05,12,20000,100,9,9,9,100,27,18,71,45,45,45,12,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,13,20000,100,10,10,10,100,26,16,72,46,46,46,13,8.526512829121202e-14
N06-Shubert2D,18,1e-05,14,20000,100,7,7,7,100,31,24,69,43,43,43,7,1.4210854715202004e-13
N07-Vincent2D,36,0.1,0,20000,100,36,11,36,100,11,0,79,53,53,53,53,0.0
N07-Vincent2D,36,0.1,1,20000,100,36,13,36,100,13,0,74,48,48,48,48,0.0
