function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N06-Shubert2D,18,0.1,0,20000,100,15,15,15,100,20,5,67,41,41,41,34,1.4210854715202004e-13
N06-Shubert2D,18,0.1,1,20000,100,15,15,15,100,24,9,67,41,41,41,33,8.526512829121202e-14
N06-Shubert2D,18,0.1,2,20000,100,13,13,13,100,31,18,66,40,40,40,22,8.526512829121202e-14
N06-Shubert2D,18,0.1,3,20000,100,15,15,15,100,23,8,66,40,40,40,32,1.4210854715202004e-13
N06-Shubert2D,18,0.1,4,20000,100,13,12,13,100,22,10,64,38,38,38,28,1.4210854715202004e-13
N06-Shubert2D,18,0.001,0,20000,100,15,15,15,100,20,5,67,41,41,41,34,1.4210854715202004e-13
N06-Shubert2D,18,0.001,1,20000,100,15,15,15,100,24,9,67,41,41,41,33,8.526512829121202e-14
N06-Shubert2D,18,0.001,2,20000,100,13,13,13,100,31,18,66,40,40,40,22,8.526512829121202e-14
N06-Shubert2D,18,0.001,3,20000,100,15,15,15,100,23,8,66,40,40,40,32,1.4210854715202004e-13
N06-Shubert2D,18,0.001,4,20000,100,11,11,11,100,22,11,64,38,38,38,28,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,0,20000,100,4,4,4,100,20,16,67,41,41,41,4,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,1,20000,100,5,5,5,100,24,19,67,41,41,41,6,8.526512829121202e-14
N06-Shubert2D,18,1e-05,2,20000,100,3,3,3,100,31,28,66,40,40,40,3,8.526512829121202e-14
N06-Shubert2D,18,1e-05,3,20000,100,5,5,5,100,23,18,66,40,40,40,5,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,4,20000,100,3,3,3,100,22,19,64,38,38,38,3,1.4210854715202004e-13
N07-Vincent2D,36,0.1,0,20000,100,36,20,36,100,20,0,76,50,50,50,50,0.0
N07-Vincent2D,36,0.1,1,20000,100,36,13,36,100,13,0,70,44,44,44,44,0.0
N07-Vincent2D,36,0.1,2,20000,100,36,16,36,100,16,0,67,41,41,41,41,0.0
N07-Vincent2D,36,0.1,3,20000,100,36,13,36,100,13,0,69,43,43,43,43,0.0
N07-Vincent2D,36,0.1,4,20000,100,36,12,36,100,12,0,69,43,43,43,43,0.0
N07-Vincent2D,36,0.001,0,20000,100,18,16,18,100,20,4,76,50,50,50,50,0.0
N07-Vincent2D,36,0.001,1,20000,100,18,12,18,100,13,1,70,44,44,44,43,0.0
N07-Vincent2D,36,0.001,2,20000,100,17,16,17,100,16,0,67,41,41,41,41,0.0
N07-Vincent2D,36,0.001,3,20000,100,17,13,17,100,13,0,69,43,43,43,43,0.0
N07-Vincent2D,36,0.001,4,20000,100,12,12,12,100,12,0,69,43,43,43,43,0.0
N07-Vincent2D,36,1e-05,0,20000,100,17,16,17,100,20,4,76,50,50,50,50,0.0
N07-Vincent2D,36,1e-05,1,20000,100,13,12,13,100,13,1,70,44,44,44,43,0.0
N07-Vincent2D,36,1e-05,2,20000,100,16,15,16,100,16,1,67,41,41,41,41,0.0
N07-Vincent2D,36,1e-05,3,20000,100,13,13,13,100,13,0,69,43,43,43,43,0.0
N07-Vincent2D,36,1e-05,4,20000,100,12,12,12,100,12,0,69,43,43,43,42,0.0
