function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N06-Shubert2D,18,0.1,0,20000,100,11,11,11,100,24,13,73,47,47,47,21,1.4210854715202004e-13
N06-Shubert2D,18,0.1,1,20000,100,16,16,16,100,24,8,74,48,48,48,29,8.526512829121202e-14
N06-Shubert2D,18,0.1,2,20000,100,4,4,4,100,47,43,72,46,46,46,4,8.526512829121202e-14
N06-Shubert2D,18,0.1,3,20000,100,5,5,5,100,45,40,71,45,45,45,6,1.4210854715202004e-13
N06-Shubert2D,18,0.1,4,20000,100,5,5,5,100,46,41,72,46,46,46,5,1.4210854715202004e-13
N06-Shubert2D,18,0.001,0,20000,100,10,10,10,100,24,14,73,47,47,47,20,1.4210854715202004e-13
N06-Shubert2D,18,0.001,1,20000,100,14,14,14,100,24,10,74,48,48,48,27,8.526512829121202e-14
N06-Shubert2D,18,0.001,2,20000,100,4,4,4,100,47,43,72,46,46,46,4,8.526512829121202e-14
N06-Shubert2D,18,0.001,3,20000,100,5,5,5,100,45,40,71,45,45,45,6,1.4210854715202004e-13
N06-Shubert2D,18,0.001,4,20000,100,4,4,4,100,46,42,72,46,46,46,5,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,0,20000,100,8,8,8,100,24,16,73,47,47,47,13,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,1,20000,100,11,11,11,100,24,13,74,48,48,48,17,8.526512829121202e-14
N06-Shubert2D,18,1e-05,2,20000,100,3,3,3,100,47,44,72,46,46,46,3,8.526512829121202e-14
N06-Shubert2D,18,1e-05,3,20000,100,3,3,3,100,45,42,71,45,45,45,4,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,4,20000,100,2,2,2,100,46,44,72,46,46,46,2,1.4210854715202004e-13
N07-Vincent2D,36,0.1,0,20000,100,36,10,36,100,42,32,75,49,49,49,16,0.0
N07-Vincent2D,36,0.1,1,20000,100,36,23,36,100,23,0,76,50,50,50,50,0.0
N07-Vincent2D,36,0.1,2,20000,100,36,18,36,100,18,0,75,49,49,49,49,0.0
N07-Vincent2D,36,0.1,3,20000,100,36,17,36,100,32,15,73,47,47,47,31,0.0
N07-Vincent2D,36,0.1,4,20000,100,36,16,36,100,16,0,76,50,50,50,50,0.0
N07-Vincent2D,36,0.001,0,20000,100,8,8,8,100,42,34,75,49,49,49,13,0.0
N07-Vincent2D,36,0.001,1,20000,100,21,20,21,100,23,3,76,50,50,50,35,0.0
N07-Vincent2D,36,0.001,2,20000,100,14,14,14,100,18,4,75,49,49,49,34,0.0
N07-Vincent2D,36,0.001,3,20000,100,13,13,13,100,32,19,73,47,47,47,19,0.0
N07-Vincent2D,36,0.001,4,20000,100,15,14,15,100,16,2,76,50,50,50,38,0.0
N07-Vincent2D,36,1e-05,0,20000,100,8,8,8,100,42,34,75,49,49,49,10,0.0
N07-Vincent2D,36,1e-05,1,20000,100,16,16,16,100,23,7,76,50,50,50,25,0.0
N07-Vincent2D,36,1e-05,2,20000,100,12,12,12,100,18,6,75,49,49,49,22,0.0
N07-Vincent2D,36,1e-05,3,20000,100,12,12,12,100,32,20,73,47,47,47,16,0.0
N07-Vincent2D,36,1e-05,4,20000,100,13,13,13,100,16,3,76,50,50,50,27,0.0
