function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N06-Shubert2D,18,0.1,0,20000,100,13,13,13,100,25,12,65,39,39,39,34,1.4210854715202004e-13
N06-Shubert2D,18,0.1,1,20000,100,15,15,15,100,31,16,64,38,38,38,28,8.526512829121202e-14
N06-Shubert2D,18,0.1,2,20000,100,15,15,15,100,29,14,67,41,41,41,27,8.526512829121202e-14
N06-Shubert2D,18,0.1,3,20000,100,17,15,17,100,22,7,65,39,39,39,33,1.4210854715202004e-13
N06-Shubert2D,18,0.1,4,20000,100,15,15,15,100,26,11,66,40,40,40,29,1.4210854715202004e-13
N06-Shubert2D,18,0.001,0,20000,100,13,13,13,100,25,12,65,39,39,39,34,1.4210854715202004e-13
N06-Shubert2D,18,0.001,1,20000,100,15,15,15,100,31,16,64,38,38,38,28,8.526512829121202e-14
N06-Shubert2D,18,0.001,2,20000,100,15,15,15,100,29,14,67,41,41,41,27,8.526512829121202e-14
N06-Shubert2D,18,0.001,3,20000,100,17,15,17,100,22,7,65,39,39,39,33,1.4210854715202004e-13
N06-Shubert2D,18,0.001,4,20000,100,15,15,15,100,26,11,66,40,40,40,29,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,0,20000,100,4,4,4,100,25,21,65,39,39,39,4,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,1,20000,100,2,2,2,100,31,29,64,38,38,38,2,8.526512829121202e-14
N06-Shubert2D,18,1e-05,2,20000,100,4,4,4,100,29,25,67,41,41,41,4,8.526512829121202e-14
N06-Shubert2D,18,1e-05,3,20000,100,3,3,3,100,22,19,65,39,39,39,3,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,4,20000,100,2,2,2,100,26,24,66,40,40,40,3,1.4210854715202004e-13
N07-Vincent2D,36,0.1,0,20000,100,36,16,36,100,16,0,74,48,48,48,48,0.0
N07-Vincent2D,36,0.1,1,20000,100,36,13,36,100,13,0,71,45,45,45,45,0.0
N07-Vincent2D,36,0.1,2,20000,100,36,12,36,100,25,13,68,42,42,42,42,0.0
N07-Vincent2D,36,0.1,3,20000,100,36,19,36,100,19,0,68,42,42,42,42,0.0
N07-Vincent2D,36,0.1,4,20000,100,36,11,36,100,11,0,69,43,43,43,43,0.0
N07-Vincent2D,36,0.001,0,20000,100,19,16,19,100,16,0,74,48,48,48,48,0.0
N07-Vincent2D,36,0.001,1,20000,100,15,13,15,100,13,0,71,45,45,45,45,0.0
N07-Vincent2D,36,0.001,2,20000,100,14,12,14,100,25,13,68,42,42,42,42,0.0
N07-Vincent2D,36,0.001,3,20000,100,18,15,18,100,19,4,68,42,42,42,42,0.0
N07-Vincent2D,36,0.001,4,20000,100,13,11,13,100,11,0,69,43,43,43,43,0.0
N07-Vincent2D,36,1e-05,0,20000,100,16,16,16,100,16,0,74,48,48,48,48,0.0
N07-Vincent2D,36,1e-05,1,20000,100,13,13,13,100,13,0,71,45,45,45,45,0.0
N07-Vincent2D,36,1e-05,2,20000,100,12,12,12,100,25,13,68,42,42,42,42,0.0
N07-Vincent2D,36,1e-05,3,20000,100,16,15,16,100,19,4,68,42,42,42,41,0.0
N07-Vincent2D,36,1e-05,4,20000,100,11,11,11,100,11,0,69,43,43,43,43,0.0
