function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N06-Shubert2D,18,0.1,0,20000,100,14,14,14,100,28,14,69,43,43,43,23,1.4210854715202004e-13
N06-Shubert2D,18,0.1,1,20000,100,15,15,15,100,24,9,70,44,44,44,30,8.526512829121202e-14
N06-Shubert2D,18,0.1,2,20000,100,12,12,12,100,39,27,70,44,44,44,19,8.526512829121202e-14
N06-Shubert2D,18,0.1,3,20000,100,11,11,11,100,32,21,67,41,41,41,20,1.4210854715202004e-13
N06-Shubert2D,18,0.1,4,20000,100,14,13,14,100,37,24,68,42,42,42,19,1.4210854715202004e-13
N06-Shubert2D,18,0.001,0,20000,100,13,13,13,100,28,15,69,43,43,43,22,1.4210854715202004e-13
N06-Shubert2D,18,0.001,1,20000,100,14,14,14,100,24,10,70,44,44,44,27,8.526512829121202e-14
N06-Shubert2D,18,0.001,2,20000,100,12,12,12,100,39,27,70,44,44,44,19,8.526512829121202e-14
N06-Shubert2D,18,0.001,3,20000,100,11,11,11,100,32,21,67,41,41,41,20,1.4210854715202004e-13
N06-Shubert2D,18,0.001,4,20000,100,13,13,13,100,37,24,68,42,42,42,19,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,0,20000,100,5,5,5,100,28,23,69,43,43,43,7,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,1,20000,100,8,8,8,100,24,16,70,44,44,44,11,8.526512829121202e-14
N06-Shubert2D,18,1e-05,2,20000,100,3,3,3,100,39,36,70,44,44,44,4,8.526512829121202e-14
N06-Shubert2D,18,1e-05,3,20000,100,2,2,2,100,32,30,67,41,41,41,2,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,4,20000,100,2,2,2,100,37,35,68,42,42,42,2,1.4210854715202004e-13
N07-Vincent2D,36,0.1,0,20000,100,36,22,36,100,24,2,79,53,53,53,51,0.0
N07-Vincent2D,36,0.1,1,20000,100,36,20,36,100,20,0,76,50,50,50,50,0.0
N07-Vincent2D,36,0.1,2,20000,100,36,11,36,100,11,0,72,46,46,46,46,0.0
N07-Vincent2D,36,0.1,3,20000,100,36,17,36,100,17,0,75,49,49,49,49,0.0
N07-Vincent2D,36,0.1,4,20000,100,36,19,36,100,22,3,73,47,47,47,47,0.0
N07-Vincent2D,36,0.001,0,20000,100,20,20,20,100,24,4,79,53,53,53,50,0.0
N07-Vincent2D,36,0.001,1,20000,100,19,18,19,100,20,2,76,50,50,50,48,0.0
N07-Vincent2D,36,0.001,2,20000,100,13,11,13,100,11,0,72,46,46,46,46,0.0
N07-Vincent2D,36,0.001,3,20000,100,19,17,19,100,17,0,75,49,49,49,49,0.0
N07-Vincent2D,36,0.001,4,20000,100,19,16,19,100,22,6,73,47,47,47,44,0.0
N07-Vincent2D,36,1e-05,0,20000,100,19,19,19,100,24,5,79,53,53,53,49,0.0
N07-Vincent2D,36,1e-05,1,20000,100,17,17,17,100,20,3,76,50,50,50,45,0.0
N07-Vincent2D,36,1e-05,2,20000,100,11,10,11,100,11,1,72,46,46,46,42,0.0
N07-Vincent2D,36,1e-05,3,20000,100,17,17,17,100,17,0,75,49,49,49,49,0.0
N07-Vincent2D,36,1e-05,4,20000,100,15,15,15,100,22,7,73,47,47,47,40,0.0
