function,quantile,k_all,k_big,area,r_max
F01-Sphere,0.001,1,1,0.00100,0.01504
F01-Sphere,0.01,1,1,0.01000,0.05514
F01-Sphere,0.05,1,1,0.05000,0.12531
F01-Sphere,0.1,1,1,0.10000,0.17544
F02-EllipsoidalSep,0.001,1,1,0.00100,0.00000
F02-EllipsoidalSep,0.01,1,1,0.01000,0.00251
F02-EllipsoidalSep,0.05,1,1,0.05000,0.02256
F02-EllipsoidalSep,0.1,1,1,0.10000,0.04762
F03-RastriginSep,0.001,9,9,0.00100,0.00501
F03-RastriginSep,0.01,34,27,0.01000,0.01003
F03-RastriginSep,0.05,45,20,0.05000,0.02506
F03-RastriginSep,0.1,37,3,0.10000,0.04010
F04-BucheRastrigin,0.001,15,12,0.00100,0.00251
F04-BucheRastrigin,0.01,43,21,0.01000,0.00752
F04-BucheRastrigin,0.05,47,9,0.05000,0.03258
F04-BucheRastrigin,0.1,48,3,0.10000,0.05514
F05-LinearSlope,0.001,1,1,0.00101,0.00501
F05-LinearSlope,0.01,1,1,0.01001,0.02005
F05-LinearSlope,0.05,1,1,0.05000,0.04511
F05-LinearSlope,0.1,1,1,0.10000,0.07018
F06-AttractiveSector,0.001,1,1,0.00100,0.01003
F06-AttractiveSector,0.01,1,1,0.01000,0.03258
F06-AttractiveSector,0.05,1,1,0.05000,0.07268
F06-AttractiveSector,0.1,1,1,0.10000,0.11529
F07-StepEllipsoidal,0.001,3,1,0.00105,0.00752
F07-StepEllipsoidal,0.01,1,1,0.01027,0.01754
F07-StepEllipsoidal,0.05,3,3,0.05347,0.03759
F07-StepEllipsoidal,0.1,3,2,0.10013,0.05013
F08-Rosenbrock,0.001,7,6,0.00100,0.00251
F08-Rosenbrock,0.01,1,1,0.01000,0.01504
F08-Rosenbrock,0.05,1,1,0.05000,0.05013
F08-Rosenbrock,0.1,1,1,0.10000,0.09774
F09-RosenbrockRot,0.001,10,8,0.00100,0.00251
F09-RosenbrockRot,0.01,1,1,0.01000,0.01754
F09-RosenbrockRot,0.05,1,1,0.05000,0.06266
F09-RosenbrockRot,0.1,1,1,0.10000,0.11028
F10-EllipsoidalRot,0.001,79,67,0.00100,0.00000
F10-EllipsoidalRot,0.01,1,1,0.01000,0.00501
F10-EllipsoidalRot,0.05,1,1,0.05000,0.02256
F10-EllipsoidalRot,0.1,1,1,0.10000,0.04762
F11-Discus,0.001,117,43,0.00100,0.00000
F11-Discus,0.01,1,1,0.01000,0.00501
F11-Discus,0.05,1,1,0.05000,0.02506
F11-Discus,0.1,1,1,0.10000,0.05013
F12-BentCigar,0.001,2,2,0.00100,0.00000
F12-BentCigar,0.01,1,1,0.01000,0.00501
F12-BentCigar,0.05,1,1,0.05000,0.02506
F12-BentCigar,0.1,1,1,0.10000,0.05013
F13-SharpRidge,0.001,17,12,0.00100,0.00000
F13-SharpRidge,0.01,3,1,0.01000,0.00752
F13-SharpRidge,0.05,1,1,0.05000,0.03008
F13-SharpRidge,0.1,1,1,0.10000,0.05514
F14-DiffPowers,0.001,1,1,0.00100,0.00501
F14-DiffPowers,0.01,1,1,0.01000,0.03759
F14-DiffPowers,0.05,1,1,0.05000,0.11028
F14-DiffPowers,0.1,1,1,0.10000,0.13033
F15-RastriginRot,0.001,9,9,0.00100,0.00501
F15-RastriginRot,0.01,36,23,0.01000,0.01003
F15-RastriginRot,0.05,45,20,0.05000,0.02005
F15-RastriginRot,0.1,35,4,0.10000,0.03509
F16-Weierstrass,0.001,15,13,0.00100,0.00251
F16-Weierstrass,0.01,48,12,0.01000,0.01253
F16-Weierstrass,0.05,207,9,0.05000,0.02005
F16-Weierstrass,0.1,118,11,0.10000,0.03258
F17-SchafferF7,0.001,19,13,0.00100,0.00752
F17-SchafferF7,0.01,27,7,0.01000,0.01754
F17-SchafferF7,0.05,17,5,0.05000,0.04010
F17-SchafferF7,0.1,39,8,0.10000,0.06015
F18-SchafferF7ill,0.001,52,16,0.00100,0.00251
F18-SchafferF7ill,0.01,193,8,0.01000,0.00752
F18-SchafferF7ill,0.05,453,2,0.05000,0.02005
F18-SchafferF7ill,0.1,127,10,0.10000,0.03759
F19-GriewankRosenbrock,0.001,107,8,0.00100,0.00000
F19-GriewankRosenbrock,0.01,1192,2,0.01000,0.00251
F19-GriewankRosenbrock,0.05,4875,2,0.05000,0.00251
F19-GriewankRosenbrock,0.1,7666,2,0.10000,0.00501
F20-Schwefel,0.001,7,5,0.00100,0.00501
F20-Schwefel,0.01,26,17,0.01000,0.01253
F20-Schwefel,0.05,8,4,0.05000,0.03509
F20-Schwefel,0.1,1,1,0.10000,0.08772
F21-Gallagher101,0.001,1,1,0.00100,0.00752
F21-Gallagher101,0.01,1,1,0.01000,0.03008
F21-Gallagher101,0.05,7,6,0.05000,0.04010
F21-Gallagher101,0.1,10,9,0.10000,0.05764
F22-Gallagher21,0.001,4,4,0.00100,0.00251
F22-Gallagher21,0.01,2,1,0.01000,0.01003
F22-Gallagher21,0.05,3,3,0.05000,0.04511
F22-Gallagher21,0.1,4,4,0.10000,0.07018
F23-Katsuura,0.001,160,0,0.00100,0.00000
F23-Katsuura,0.01,1600,0,0.01000,0.00000
F23-Katsuura,0.05,8000,0,0.05000,0.00000
F23-Katsuura,0.1,15999,0,0.10000,0.00000
F24-LunacekRastrigin,0.001,159,1,0.00100,0.00000
F24-LunacekRastrigin,0.01,1483,0,0.01000,0.00000
F24-LunacekRastrigin,0.05,5278,0,0.05000,0.00000
F24-LunacekRastrigin,0.1,7115,0,0.10000,0.00000
