function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N07-Vincent2D,36,0.1,0,28000,100,36,13,36,100,13,0,82,56,56,56,56,0.0
N07-Vincent2D,36,0.1,1,28000,100,36,10,36,100,10,0,76,50,50,50,50,0.0
N07-Vincent2D,36,0.1,2,28000,100,36,9,36,100,28,19,75,49,49,49,49,0.0
N07-Vincent2D,36,0.1,3,28000,100,36,11,36,100,11,0,77,51,51,51,51,0.0
N07-Vincent2D,36,0.1,4,28000,100,36,11,36,100,11,0,76,50,50,50,50,0.0
N07-Vincent2D,36,0.1,5,28000,100,36,10,36,100,10,0,80,54,54,54,54,0.0
N07-Vincent2D,36,0.1,6,28000,100,36,16,36,100,21,5,81,55,55,55,55,0.0
N07-Vincent2D,36,0.1,7,28000,100,36,13,36,100,18,5,74,48,48,48,48,0.0
N07-Vincent2D,36,0.1,8,28000,100,36,9,36,100,9,0,85,59,59,59,59,0.0
N07-Vincent2D,36,0.1,9,28000,100,36,8,36,100,8,0,73,47,47,47,47,0.0
N07-Vincent2D,36,0.1,10,28000,100,36,15,36,100,15,0,81,55,55,55,55,0.0
N07-Vincent2D,36,0.1,11,28000,100,36,11,36,100,27,16,77,51,51,51,51,0.0
N07-Vincent2D,36,0.1,12,28000,100,36,17,36,100,17,0,69,43,43,43,43,0.0
N07-Vincent2D,36,0.1,13,28000,100,36,10,36,100,10,0,80,54,54,54,54,0.0
N07-Vincent2D,36,0.1,14,28000,100,36,8,36,100,8,0,76,50,50,50,50,0.0
N07-Vincent2D,36,0.001,0,28000,100,14,10,14,100,13,3,82,56,56,56,56,0.0
N07-Vincent2D,36,0.001,1,28000,100,14,10,14,100,10,0,76,50,50,50,50,0.0
N07-Vincent2D,36,0.001,2,28000,100,9,8,9,100,28,20,75,49,49,49,49,0.0
N07-Vincent2D,36,0.001,3,28000,100,13,7,13,100,11,4,77,51,51,51,51,0.0
N07-Vincent2D,36,0.001,4,28000,100,17,11,17,100,11,0,76,50,50,50,50,0.0
N07-Vincent2D,36,0.001,5,28000,100,14,10,14,100,10,0,80,54,54,54,54,0.0
N07-Vincent2D,36,0.001,6,28000,100,13,11,13,100,21,10,81,55,55,55,55,0.0
N07-Vincent2D,36,0.001,7,28000,100,15,8,15,100,18,10,74,48,48,48,48,0.0
N07-Vincent2D,36,0.001,8,28000,100,12,9,12,100,9,0,85,59,59,59,59,0.0
N07-Vincent2D,36,0.001,9,28000,100,11,8,11,100,8,0,73,47,47,47,46,0.0
N07-Vincent2D,36,0.001,10,28000,100,11,11,11,100,15,4,81,55,55,55,55,0.0
N07-Vincent2D,36,0.001,11,28000,100,15,9,15,100,27,18,77,51,51,51,51,0.0
N07-Vincent2D,36,0.001,12,28000,100,12,9,12,100,17,8,69,43,43,43,43,0.0
N07-Vincent2D,36,0.001,13,28000,100,16,10,16,100,10,0,80,54,54,54,54,0.0
N07-Vincent2D,36,0.001,14,28000,100,14,8,14,100,8,0,76,50,50,50,50,0.0
N07-Vincent2D,36,1e-05,0,28000,100,12,10,12,100,13,3,82,56,56,56,56,0.0
N07-Vincent2D,36,1e-05,1,28000,100,11,10,11,100,10,0,76,50,50,50,49,0.0
N07-Vincent2D,36,1e-05,2,28000,100,8,8,8,100,28,20,75,49,49,49,49,0.0
N07-Vincent2D,36,1e-05,3,28000,100,7,7,7,100,11,4,77,51,51,51,51,0.0
N07-Vincent2D,36,1e-05,4,28000,100,12,11,12,100,11,0,76,50,50,50,50,0.0
N07-Vincent2D,36,1e-05,5,28000,100,10,10,10,100,10,0,80,54,54,54,54,0.0
N07-Vincent2D,36,1e-05,6,28000,100,11,11,11,100,21,10,81,55,55,55,55,0.0
N07-Vincent2D,36,1e-05,7,28000,100,8,8,8,100,18,10,74,48,48,48,48,0.0
N07-Vincent2D,36,1e-05,8,28000,100,9,8,9,100,9,1,85,59,59,59,59,0.0
N07-Vincent2D,36,1e-05,9,28000,100,8,8,8,100,8,0,73,47,47,47,46,0.0
N07-Vincent2D,36,1e-05,10,28000,100,11,11,11,100,15,4,81,55,55,55,55,0.0
N07-Vincent2D,36,1e-05,11,28000,100,10,9,10,100,27,18,77,51,51,51,49,0.0
N07-Vincent2D,36,1e-05,12,28000,100,9,9,9,100,17,8,69,43,43,43,43,0.0
N07-Vincent2D,36,1e-05,13,28000,100,11,10,11,100,10,0,80,54,54,54,54,0.0
N07-Vincent2D,36,1e-05,14,28000,100,10,8,10,100,8,0,76,50,50,50,50,0.0
