function,reference,method,n,win_count,tie_count,p_value_two_sided,p_value_ref_better,a12,a12_magnitude
F01-Sphere,MC-ESO,sigma_only,20,0,20,nan,nan,0.5000,negligible
F02-EllipsoidalSep,MC-ESO,sigma_only,20,0,20,nan,nan,0.5000,negligible
F03-RastriginSep,MC-ESO,sigma_only,20,0,20,nan,nan,0.5000,negligible
F04-BucheRastrigin,MC-ESO,sigma_only,20,0,20,nan,nan,0.5000,negligible
F05-LinearSlope,MC-ESO,sigma_only,20,0,20,nan,nan,0.5000,negligible
F06-AttractiveSector,MC-ESO,sigma_only,20,0,20,nan,nan,0.5000,negligible
F07-StepEllipsoidal,MC-ESO,sigma_only,20,0,20,nan,nan,0.5000,negligible
F08-Rosenbrock,MC-ESO,sigma_only,20,0,20,nan,nan,0.5000,negligible
F09-RosenbrockRot,MC-ESO,sigma_only,20,0,20,nan,nan,0.5000,negligible
F10-EllipsoidalRot,MC-ESO,sigma_only,20,0,20,nan,nan,0.5000,negligible
F11-Discus,MC-ESO,sigma_only,20,0,20,nan,nan,0.5000,negligible
F12-BentCigar,MC-ESO,sigma_only,20,0,20,nan,nan,0.5000,negligible
F13-SharpRidge,MC-ESO,sigma_only,20,0,20,nan,nan,0.5000,negligible
F14-DiffPowers,MC-ESO,sigma_only,20,0,20,nan,nan,0.5000,negligible
F15-RastriginRot,MC-ESO,sigma_only,20,0,20,nan,nan,0.5000,negligible
F16-Weierstrass,MC-ESO,sigma_only,20,0,20,nan,nan,0.5000,negligible
F17-SchafferF7,MC-ESO,sigma_only,20,0,20,nan,nan,0.5000,negligible
F18-SchafferF7ill,MC-ESO,sigma_only,20,0,20,nan,nan,0.5000,negligible
F19-GriewankRosenbrock,MC-ESO,sigma_only,20,0,20,nan,nan,0.5000,negligible
F20-Schwefel,MC-ESO,sigma_only,20,0,20,nan,nan,0.5000,negligible
F21-Gallagher101,MC-ESO,sigma_only,20,0,20,nan,nan,0.5000,negligible
F22-Gallagher21,MC-ESO,sigma_only,20,0,20,nan,nan,0.5000,negligible
F23-Katsuura,MC-ESO,sigma_only,20,0,20,nan,nan,0.5000,negligible
F24-LunacekRastrigin,MC-ESO,sigma_only,20,0,20,nan,nan,0.5000,negligible
