function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N06-Shubert2D,18,0.1,0,20000,100,14,14,14,100,28,14,69,43,43,43,23,1.4210854715202004e-13
N06-Shubert2D,18,0.1,1,20000,100,15,15,15,100,24,9,70,44,44,44,30,8.526512829121202e-14
N06-Shubert2D,18,0.1,2,20000,100,12,12,12,100,39,27,70,44,44,44,19,8.526512829121202e-14
N06-Shubert2D,18,0.1,3,20000,100,11,11,11,100,32,21,67,41,41,41,20,1.4210854715202004e-13
N06-Shubert2D,18,0.1,4,20000,100,14,13,14,100,37,24,68,42,42,42,19,1.4210854715202004e-13
N06-Shubert2D,18,0.1,5,20000,100,13,12,13,100,36,24,69,43,43,43,20,8.526512829121202e-14
N06-Shubert2D,18,0.1,6,20000,100,15,15,15,100,29,14,71,45,45,45,28,1.1368683772161603e-13
N06-Shubert2D,18,0.1,7,20000,100,15,15,15,100,22,7,69,43,43,43,32,1.1368683772161603e-13
N06-Shubert2D,18,0.1,8,20000,100,17,16,17,100,27,11,69,43,43,43,28,8.526512829121202e-14
N06-Shubert2D,18,0.1,9,20000,100,12,12,12,100,24,12,70,44,44,44,25,8.526512829121202e-14
N06-Shubert2D,18,0.1,10,20000,100,16,16,16,100,20,4,68,42,42,42,35,8.526512829121202e-14
N06-Shubert2D,18,0.1,11,20000,100,12,12,12,100,25,13,72,46,46,46,26,8.526512829121202e-14
N06-Shubert2D,18,0.1,12,20000,100,16,16,16,100,27,11,72,46,46,46,32,1.4210854715202004e-13
N06-Shubert2D,18,0.1,13,20000,100,13,13,13,100,32,19,71,45,45,45,24,8.526512829121202e-14
N06-Shubert2D,18,0.1,14,20000,100,12,12,12,100,35,23,66,40,40,40,17,1.4210854715202004e-13
N06-Shubert2D,18,0.001,0,20000,100,13,13,13,100,28,15,69,43,43,43,22,1.4210854715202004e-13
N06-Shubert2D,18,0.001,1,20000,100,14,14,14,100,24,10,70,44,44,44,27,8.526512829121202e-14
N06-Shubert2D,18,0.001,2,20000,100,12,12,12,100,39,27,70,44,44,44,19,8.526512829121202e-14
N06-Shubert2D,18,0.001,3,20000,100,11,11,11,100,32,21,67,41,41,41,20,1.4210854715202004e-13
N06-Shubert2D,18,0.001,4,20000,100,13,13,13,100,37,24,68,42,42,42,19,1.4210854715202004e-13
N06-Shubert2D,18,0.001,5,20000,100,12,12,12,100,36,24,69,43,43,43,20,8.526512829121202e-14
N06-Shubert2D,18,0.001,6,20000,100,15,15,15,100,29,14,71,45,45,45,27,1.1368683772161603e-13
N06-Shubert2D,18,0.001,7,20000,100,15,15,15,100,22,7,69,43,43,43,32,1.1368683772161603e-13
N06-Shubert2D,18,0.001,8,20000,100,16,16,16,100,27,11,69,43,43,43,27,8.526512829121202e-14
N06-Shubert2D,18,0.001,9,20000,100,12,12,12,100,24,12,70,44,44,44,24,8.526512829121202e-14
N06-Shubert2D,18,0.001,10,20000,100,16,16,16,100,20,4,68,42,42,42,35,8.526512829121202e-14
N06-Shubert2D,18,0.001,11,20000,100,12,12,12,100,25,13,72,46,46,46,26,8.526512829121202e-14
N06-Shubert2D,18,0.001,12,20000,100,15,15,15,100,27,12,72,46,46,46,30,1.4210854715202004e-13
N06-Shubert2D,18,0.001,13,20000,100,13,13,13,100,32,19,71,45,45,45,23,8.526512829121202e-14
N06-Shubert2D,18,0.001,14,20000,100,12,12,12,100,35,23,66,40,40,40,17,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,0,20000,100,5,5,5,100,28,23,69,43,43,43,7,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,1,20000,100,8,8,8,100,24,16,70,44,44,44,11,8.526512829121202e-14
N06-Shubert2D,18,1e-05,2,20000,100,3,3,3,100,39,36,70,44,44,44,4,8.526512829121202e-14
N06-Shubert2D,18,1e-05,3,20000,100,2,2,2,100,32,30,67,41,41,41,2,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,4,20000,100,2,2,2,100,37,35,68,42,42,42,2,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,5,20000,100,1,1,1,100,36,35,69,43,43,43,1,8.526512829121202e-14
