function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N06-Shubert2D,18,0.1,0,20000,100,15,15,15,100,17,2,56,30,30,30,28,1.4210854715202004e-13
N06-Shubert2D,18,0.1,1,20000,100,16,14,16,100,29,15,56,30,30,30,29,8.526512829121202e-14
N06-Shubert2D,18,0.1,2,20000,100,14,14,14,100,15,1,58,32,32,32,31,8.526512829121202e-14
N06-Shubert2D,18,0.1,3,20000,100,17,16,17,100,19,3,55,29,29,29,29,1.4210854715202004e-13
N06-Shubert2D,18,0.1,4,20000,100,17,16,17,100,17,1,58,32,32,32,31,1.4210854715202004e-13
N06-Shubert2D,18,0.001,0,20000,100,15,15,15,100,17,2,56,30,30,30,28,1.4210854715202004e-13
N06-Shubert2D,18,0.001,1,20000,100,14,14,14,100,29,15,56,30,30,30,29,8.526512829121202e-14
N06-Shubert2D,18,0.001,2,20000,100,14,14,14,100,15,1,58,32,32,32,31,8.526512829121202e-14
N06-Shubert2D,18,0.001,3,20000,100,16,16,16,100,19,3,55,29,29,29,29,1.4210854715202004e-13
N06-Shubert2D,18,0.001,4,20000,100,15,15,15,100,17,2,58,32,32,32,31,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,0,20000,100,3,3,3,100,17,14,56,30,30,30,3,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,1,20000,100,4,4,4,100,29,25,56,30,30,30,5,8.526512829121202e-14
N06-Shubert2D,18,1e-05,2,20000,100,2,2,2,100,15,13,58,32,32,32,3,8.526512829121202e-14
N06-Shubert2D,18,1e-05,3,20000,100,5,5,5,100,19,14,55,29,29,29,5,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,4,20000,100,2,2,2,100,17,15,58,32,32,32,2,1.4210854715202004e-13
N07-Vincent2D,36,0.1,0,20000,100,36,10,36,100,28,18,66,40,40,40,40,0.0
N07-Vincent2D,36,0.1,1,20000,100,36,17,36,100,22,5,63,37,37,37,37,0.0
N07-Vincent2D,36,0.1,2,20000,100,36,13,36,100,13,0,61,35,35,35,35,0.0
N07-Vincent2D,36,0.1,3,20000,100,36,11,36,100,24,13,61,35,35,35,35,0.0
N07-Vincent2D,36,0.1,4,20000,100,36,8,36,100,8,0,60,34,34,34,34,0.0
N07-Vincent2D,36,0.001,0,20000,100,11,10,11,100,28,18,66,40,40,40,40,0.0
N07-Vincent2D,36,0.001,1,20000,100,17,13,17,100,22,9,63,37,37,37,37,0.0
N07-Vincent2D,36,0.001,2,20000,100,14,9,14,100,13,4,61,35,35,35,35,0.0
N07-Vincent2D,36,0.001,3,20000,100,13,9,13,100,24,15,61,35,35,35,35,0.0
N07-Vincent2D,36,0.001,4,20000,100,11,8,11,100,8,0,60,34,34,34,34,0.0
N07-Vincent2D,36,1e-05,0,20000,100,10,10,10,100,28,18,66,40,40,40,40,0.0
N07-Vincent2D,36,1e-05,1,20000,100,13,13,13,100,22,9,63,37,37,37,37,0.0
N07-Vincent2D,36,1e-05,2,20000,100,9,9,9,100,13,4,61,35,35,35,35,0.0
N07-Vincent2D,36,1e-05,3,20000,100,11,9,11,100,24,15,61,35,35,35,35,0.0
N07-Vincent2D,36,1e-05,4,20000,100,8,8,8,100,8,0,60,34,34,34,34,0.0
