function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N06-Shubert2D,18,0.1,0,20000,100,14,14,14,100,30,16,72,46,46,46,18,1.4210854715202004e-13
N06-Shubert2D,18,0.1,1,20000,100,15,15,15,100,36,21,74,48,48,48,26,8.526512829121202e-14
N06-Shubert2D,18,0.1,2,20000,100,4,4,4,100,46,42,71,45,45,45,4,8.526512829121202e-14
N06-Shubert2D,18,0.1,3,20000,100,5,5,5,100,43,38,70,44,44,44,6,1.4210854715202004e-13
N06-Shubert2D,18,0.1,4,20000,100,6,6,6,100,45,39,72,46,46,46,7,1.4210854715202004e-13
N06-Shubert2D,18,0.001,0,20000,100,13,13,13,100,30,17,72,46,46,46,17,1.4210854715202004e-13
N06-Shubert2D,18,0.001,1,20000,100,15,15,15,100,36,21,74,48,48,48,26,8.526512829121202e-14
N06-Shubert2D,18,0.001,2,20000,100,4,4,4,100,46,42,71,45,45,45,4,8.526512829121202e-14
N06-Shubert2D,18,0.001,3,20000,100,5,5,5,100,43,38,70,44,44,44,6,1.4210854715202004e-13
N06-Shubert2D,18,0.001,4,20000,100,5,5,5,100,45,40,72,46,46,46,7,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,0,20000,100,8,8,8,100,30,22,72,46,46,46,11,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,1,20000,100,11,11,11,100,36,25,74,48,48,48,16,8.526512829121202e-14
N06-Shubert2D,18,1e-05,2,20000,100,3,3,3,100,46,43,71,45,45,45,3,8.526512829121202e-14
N06-Shubert2D,18,1e-05,3,20000,100,2,2,2,100,43,41,70,44,44,44,2,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,4,20000,100,3,3,3,100,45,42,72,46,46,46,3,1.4210854715202004e-13
N07-Vincent2D,36,0.1,0,20000,100,36,18,36,100,43,25,75,49,49,49,22,0.0
N07-Vincent2D,36,0.1,1,20000,100,36,21,36,100,21,0,76,50,50,50,50,0.0
N07-Vincent2D,36,0.1,2,20000,100,36,19,36,100,19,0,75,49,49,49,49,0.0
N07-Vincent2D,36,0.1,3,20000,100,36,20,36,100,33,13,74,48,48,48,35,0.0
N07-Vincent2D,36,0.1,4,20000,100,36,15,36,100,15,0,75,49,49,49,49,0.0
N07-Vincent2D,36,0.001,0,20000,100,13,13,13,100,43,30,75,49,49,49,15,0.0
N07-Vincent2D,36,0.001,1,20000,100,17,16,17,100,21,5,76,50,50,50,36,0.0
N07-Vincent2D,36,0.001,2,20000,100,17,15,17,100,19,4,75,49,49,49,36,0.0
N07-Vincent2D,36,0.001,3,20000,100,14,14,14,100,33,19,74,48,48,48,22,0.0
N07-Vincent2D,36,0.001,4,20000,100,10,10,10,100,15,5,75,49,49,49,37,0.0
N07-Vincent2D,36,1e-05,0,20000,100,11,11,11,100,43,32,75,49,49,49,13,0.0
N07-Vincent2D,36,1e-05,1,20000,100,15,15,15,100,21,6,76,50,50,50,24,0.0
N07-Vincent2D,36,1e-05,2,20000,100,16,15,16,100,19,4,75,49,49,49,30,0.0
N07-Vincent2D,36,1e-05,3,20000,100,14,14,14,100,33,19,74,48,48,48,21,0.0
N07-Vincent2D,36,1e-05,4,20000,100,9,9,9,100,15,6,75,49,49,49,27,0.0
