function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N06-Shubert2D,18,0.1,0,20000,100,11,10,11,100,27,17,58,32,13,32,30,1.3955059330328368e-11
N06-Shubert2D,18,0.1,1,20000,100,18,15,18,100,31,16,51,25,25,25,24,3.115019353572279e-11
N06-Shubert2D,18,0.1,2,20000,100,16,13,16,100,31,18,52,26,26,26,26,3.186073627148289e-11
N06-Shubert2D,18,0.1,3,20000,100,15,15,15,100,30,15,52,26,26,26,24,2.703757218114333e-10
N06-Shubert2D,18,0.1,4,20000,100,14,13,14,100,31,18,51,25,21,25,23,5.002220859751105e-12
N06-Shubert2D,18,0.1,5,20000,100,16,15,16,100,31,16,53,27,24,27,25,1.4836132322670892e-11
N06-Shubert2D,18,0.1,6,20000,100,14,12,14,100,31,19,51,25,25,25,24,5.030642569181509e-12
N06-Shubert2D,18,0.1,7,20000,100,16,14,16,100,34,20,52,26,26,26,23,5.8179239204037e-11
N06-Shubert2D,18,0.1,8,20000,100,15,14,15,100,32,18,52,26,26,26,24,4.632738637155853e-12
N06-Shubert2D,18,0.1,9,20000,100,17,17,17,100,35,18,52,26,26,26,23,2.1884716261411086e-12
N06-Shubert2D,18,0.1,10,20000,100,14,12,14,100,28,16,56,30,21,30,29,1.63140612130519e-11
N06-Shubert2D,18,0.1,11,20000,100,14,12,14,100,30,18,53,27,24,27,24,3.950617610826157e-12
N06-Shubert2D,18,0.1,12,20000,100,17,16,17,100,34,18,51,25,25,25,24,1.0402345651527867e-11
N06-Shubert2D,18,0.1,13,20000,100,17,12,17,100,33,21,51,25,22,25,20,2.722799763432704e-11
N06-Shubert2D,18,0.1,14,20000,100,14,12,14,100,30,18,52,26,26,26,24,2.6346924641984515e-11
N06-Shubert2D,18,0.001,0,20000,100,5,5,5,100,27,22,58,32,13,32,23,1.3955059330328368e-11
N06-Shubert2D,18,0.001,1,20000,100,12,10,12,100,31,21,51,25,25,25,16,3.115019353572279e-11
N06-Shubert2D,18,0.001,2,20000,100,11,9,11,100,31,22,52,26,26,26,17,3.186073627148289e-11
N06-Shubert2D,18,0.001,3,20000,100,14,14,14,100,30,16,52,26,26,26,20,2.703757218114333e-10
N06-Shubert2D,18,0.001,4,20000,100,10,10,10,100,31,21,51,25,21,25,12,5.002220859751105e-12
