function,cells,cells_identical_best_f_nevals_success,sr_1e-10_base,sr_1e-10_arm,evals_succ_mean_base,evals_succ_mean_arm,pr_1e-4_base,pr_1e-4_arm
F01-Sphere,20,20,100%,100%,216,216,1.00,1.00
F02-EllipsoidalSep,20,20,100%,100%,476,476,1.00,1.00
F03-RastriginSep,20,20,100%,100%,831,831,1.00,1.00
F04-BucheRastrigin,20,20,95%,95%,1984,1984,1.00,1.00
F05-LinearSlope,20,20,100%,100%,394,394,1.00,1.00
F06-AttractiveSector,20,20,95%,95%,519,519,1.00,1.00
F07-StepEllipsoidal,20,20,100%,100%,196,196,1.00,1.00
F08-Rosenbrock,20,20,100%,100%,475,475,1.00,1.00
F09-RosenbrockRot,20,20,100%,100%,420,420,1.00,1.00
F10-EllipsoidalRot,20,20,100%,100%,475,475,1.00,1.00
F11-Discus,20,20,100%,100%,457,457,1.00,1.00
F12-BentCigar,20,20,100%,100%,480,480,1.00,1.00
F13-SharpRidge,20,20,100%,100%,589,589,1.00,1.00
F14-DiffPowers,20,20,100%,100%,314,314,1.00,1.00
F15-RastriginRot,20,20,100%,100%,862,862,1.00,1.00
F16-Weierstrass,20,20,100%,100%,590,590,0.65,0.55
F17-SchafferF7,20,20,60%,60%,1000,1000,1.00,1.00
F18-SchafferF7ill,20,20,90%,90%,930,930,0.95,0.95
F19-GriewankRosenbrock,20,20,100%,100%,1029,1029,1.00,1.00
F20-Schwefel,20,20,95%,95%,1682,1682,0.95,0.95
F21-Gallagher101,20,20,100%,100%,352,352,1.00,1.00
F22-Gallagher21,20,20,100%,100%,189,189,1.00,1.00
F23-Katsuura,20,20,75%,75%,1128,1128,0.00,0.00
F24-LunacekRastrigin,20,20,0%,0%,inf,inf,0.00,0.00
