function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f,reported_uncapped,distinct_uncapped,n_reported_pts_uncapped
N08-Shubert3D,81,1e-05,0,400000,162,1,1,-1,-1,71,70,162,581,579,581,1,-7.73070496506989e-12,1,77,226
N08-Shubert3D,81,1e-05,1,400000,162,1,1,-1,-1,68,67,162,577,577,577,1,-5.9117155615240335e-12,1,72,226
N08-Shubert3D,81,1e-05,2,400000,162,1,1,-1,-1,63,62,162,575,575,575,1,-8.185452315956354e-12,1,68,226
N08-Shubert3D,81,1e-05,3,400000,162,1,1,-1,-1,69,68,162,571,570,571,1,-8.185452315956354e-12,1,72,226
N08-Shubert3D,81,0.001,0,400000,162,53,53,-1,-1,71,18,162,581,579,581,82,-7.73070496506989e-12,53,77,226
N08-Shubert3D,81,0.001,1,400000,162,57,57,-1,-1,68,11,162,577,577,577,90,-5.9117155615240335e-12,57,72,226
N08-Shubert3D,81,0.001,2,400000,162,59,59,-1,-1,63,4,162,575,575,575,136,-8.185452315956354e-12,59,68,226
N08-Shubert3D,81,0.001,3,400000,162,61,61,-1,-1,69,8,162,571,570,571,107,-8.185452315956354e-12,61,72,226
N08-Shubert3D,81,1e-05,4,400000,162,1,1,-1,-1,70,69,162,580,580,580,1,-8.185452315956354e-12,1,95,226
N08-Shubert3D,81,1e-05,5,400000,162,1,1,-1,-1,64,63,162,580,580,580,1,-8.640199666842818e-12,1,86,226
N08-Shubert3D,81,1e-05,6,400000,162,1,1,-1,-1,68,67,162,578,578,578,1,-5.9117155615240335e-12,1,75,226
N08-Shubert3D,81,1e-05,7,400000,162,1,1,-1,-1,70,69,162,579,577,579,1,-9.094947017729282e-12,1,75,226
N08-Shubert3D,81,0.001,4,400000,162,53,53,-1,-1,70,17,162,580,580,580,93,-8.185452315956354e-12,53,95,226
N08-Shubert3D,81,0.001,5,400000,162,58,58,-1,-1,64,6,162,580,580,580,94,-8.640199666842818e-12,58,86,226
N08-Shubert3D,81,0.001,6,400000,162,57,57,-1,-1,68,11,162,578,578,578,97,-5.9117155615240335e-12,57,75,226
N08-Shubert3D,81,0.001,7,400000,162,61,61,-1,-1,70,9,162,579,577,579,94,-9.094947017729282e-12,61,75,226
