function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f,reported_uncapped,distinct_uncapped,n_reported_pts_uncapped
N08-Shubert3D,81,1e-05,0,400000,162,80,80,-1,-1,136,56,162,489,487,489,268,-7.73070496506989e-12,80,200,226
N08-Shubert3D,81,1e-05,1,400000,162,80,80,-1,-1,128,48,162,488,488,488,274,-8.185452315956354e-12,80,192,226
N08-Shubert3D,81,1e-05,2,400000,162,78,78,-1,-1,149,71,162,488,488,488,272,-8.185452315956354e-12,78,194,226
N08-Shubert3D,81,1e-05,3,400000,162,79,79,-1,-1,142,63,162,484,483,484,277,-8.640199666842818e-12,79,187,226
N08-Shubert3D,81,0.001,0,400000,162,81,81,-1,-1,136,55,162,489,487,489,292,-7.73070496506989e-12,81,200,226
N08-Shubert3D,81,0.001,1,400000,162,81,81,-1,-1,128,47,162,488,488,488,299,-8.185452315956354e-12,81,192,226
N08-Shubert3D,81,0.001,2,400000,162,79,79,-1,-1,149,70,162,488,488,488,303,-8.185452315956354e-12,79,194,226
N08-Shubert3D,81,0.001,3,400000,162,79,79,-1,-1,142,63,162,484,483,484,321,-8.640199666842818e-12,79,187,226
N08-Shubert3D,81,1e-05,4,400000,162,78,78,-1,-1,156,78,162,485,485,485,261,-8.185452315956354e-12,78,201,226
N08-Shubert3D,81,1e-05,5,400000,162,78,78,-1,-1,154,76,162,486,486,486,262,-8.640199666842818e-12,78,214,226
N08-Shubert3D,81,1e-05,6,400000,162,76,76,-1,-1,129,53,162,487,487,487,267,-7.73070496506989e-12,76,193,226
N08-Shubert3D,81,1e-05,7,400000,162,79,79,-1,-1,129,50,162,490,488,490,279,-9.094947017729282e-12,79,193,226
N08-Shubert3D,81,0.001,4,400000,162,79,79,-1,-1,156,77,162,485,485,485,283,-8.185452315956354e-12,79,201,226
N08-Shubert3D,81,0.001,5,400000,162,79,79,-1,-1,154,75,162,486,486,486,288,-8.640199666842818e-12,79,214,226
N08-Shubert3D,81,0.001,6,400000,162,76,76,-1,-1,129,53,162,487,487,487,299,-7.73070496506989e-12,76,193,226
N08-Shubert3D,81,0.001,7,400000,162,79,79,-1,-1,129,50,162,490,488,490,320,-9.094947017729282e-12,79,193,226
