function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N06-Shubert2D,18,0.1,0,20000,100,17,17,-1,-1,21,4,69,43,43,43,32,1.4210854715202004e-13
N06-Shubert2D,18,0.1,1,20000,100,13,13,-1,-1,22,9,70,44,44,44,34,8.526512829121202e-14
N06-Shubert2D,18,0.1,2,20000,100,15,15,-1,-1,36,21,70,44,44,44,23,8.526512829121202e-14
N06-Shubert2D,18,0.1,3,20000,100,17,17,-1,-1,24,7,69,43,43,43,36,1.4210854715202004e-13
N06-Shubert2D,18,0.1,4,20000,100,13,12,-1,-1,34,22,70,44,44,44,22,1.4210854715202004e-13
N06-Shubert2D,18,0.1,5,20000,100,14,14,-1,-1,48,34,71,45,45,45,25,8.526512829121202e-14
N06-Shubert2D,18,0.1,6,20000,100,16,16,-1,-1,39,23,71,45,45,45,24,1.1368683772161603e-13
N06-Shubert2D,18,0.1,7,20000,100,16,16,-1,-1,22,6,67,41,41,41,31,1.1368683772161603e-13
N06-Shubert2D,18,0.1,8,20000,100,16,14,-1,-1,22,8,67,41,41,41,29,8.526512829121202e-14
N06-Shubert2D,18,0.1,9,20000,100,14,14,-1,-1,37,23,69,43,43,43,27,8.526512829121202e-14
N06-Shubert2D,18,0.1,10,20000,100,15,15,-1,-1,26,11,71,45,45,45,26,8.526512829121202e-14
N06-Shubert2D,18,0.1,11,20000,100,14,14,-1,-1,24,10,73,47,47,47,27,8.526512829121202e-14
N06-Shubert2D,18,0.1,12,20000,100,15,15,-1,-1,27,12,71,45,45,45,31,1.4210854715202004e-13
N06-Shubert2D,18,0.1,13,20000,100,16,16,-1,-1,26,10,72,46,46,46,31,8.526512829121202e-14
N06-Shubert2D,18,0.1,14,20000,100,14,14,-1,-1,31,17,69,43,43,43,25,1.4210854715202004e-13
N06-Shubert2D,18,0.1,15,20000,100,12,12,-1,-1,20,8,69,43,43,43,30,8.526512829121202e-14
N06-Shubert2D,18,0.1,16,20000,100,14,14,-1,-1,32,18,69,43,43,43,22,1.4210854715202004e-13
N06-Shubert2D,18,0.1,17,20000,100,15,15,-1,-1,28,13,70,44,44,44,29,1.1368683772161603e-13
N06-Shubert2D,18,0.1,18,20000,100,16,16,-1,-1,23,7,69,43,43,43,33,8.526512829121202e-14
N06-Shubert2D,18,0.1,19,20000,100,15,15,-1,-1,25,10,69,43,43,43,31,5.684341886080802e-14
N06-Shubert2D,18,0.001,0,20000,100,16,16,-1,-1,21,5,69,43,43,43,32,1.4210854715202004e-13
N06-Shubert2D,18,0.001,1,20000,100,13,13,-1,-1,22,9,70,44,44,44,32,8.526512829121202e-14
N06-Shubert2D,18,0.001,2,20000,100,15,15,-1,-1,36,21,70,44,44,44,23,8.526512829121202e-14
N06-Shubert2D,18,0.001,3,20000,100,17,17,-1,-1,24,7,69,43,43,43,35,1.4210854715202004e-13
N06-Shubert2D,18,0.001,4,20000,100,12,12,-1,-1,34,22,70,44,44,44,22,1.4210854715202004e-13
N06-Shubert2D,18,0.001,5,20000,100,14,14,-1,-1,48,34,71,45,45,45,25,8.526512829121202e-14
