function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N06-Shubert2D,18,0.1,0,20000,100,16,15,-1,-1,21,6,65,39,39,39,28,1.4210854715202004e-13
N06-Shubert2D,18,0.1,1,20000,100,17,17,-1,-1,39,22,64,38,38,38,31,8.526512829121202e-14
N06-Shubert2D,18,0.1,2,20000,100,15,15,-1,-1,23,8,65,39,39,39,32,8.526512829121202e-14
N06-Shubert2D,18,0.1,3,20000,100,17,16,-1,-1,21,5,63,37,37,37,32,1.4210854715202004e-13
N06-Shubert2D,18,0.1,4,20000,100,17,17,-1,-1,26,9,66,40,40,40,30,1.4210854715202004e-13
N06-Shubert2D,18,0.1,5,20000,100,16,15,-1,-1,37,22,64,38,38,38,27,8.526512829121202e-14
N06-Shubert2D,18,0.1,6,20000,100,17,17,-1,-1,19,2,64,38,38,38,32,1.1368683772161603e-13
N06-Shubert2D,18,0.1,7,20000,100,16,16,-1,-1,19,3,61,35,35,35,31,1.1368683772161603e-13
N06-Shubert2D,18,0.1,8,20000,100,13,13,-1,-1,15,2,64,38,38,38,32,8.526512829121202e-14
N06-Shubert2D,18,0.1,9,20000,100,16,15,-1,-1,27,12,65,39,39,39,30,8.526512829121202e-14
N06-Shubert2D,18,0.1,10,20000,100,15,15,-1,-1,25,10,65,39,39,39,36,8.526512829121202e-14
N06-Shubert2D,18,0.1,11,20000,100,17,15,-1,-1,34,19,66,40,40,40,28,8.526512829121202e-14
N06-Shubert2D,18,0.1,12,20000,100,16,16,-1,-1,37,21,63,37,37,37,29,1.4210854715202004e-13
N06-Shubert2D,18,0.1,13,20000,100,17,17,-1,-1,21,4,66,40,40,40,35,8.526512829121202e-14
N06-Shubert2D,18,0.1,14,20000,100,17,17,-1,-1,27,10,67,41,41,41,31,1.4210854715202004e-13
N06-Shubert2D,18,0.1,15,20000,100,18,18,-1,-1,34,16,67,41,41,41,31,8.526512829121202e-14
N06-Shubert2D,18,0.1,16,20000,100,16,15,-1,-1,22,7,61,35,35,35,27,1.4210854715202004e-13
N06-Shubert2D,18,0.1,17,20000,100,16,16,-1,-1,21,5,65,39,39,39,33,1.1368683772161603e-13
N06-Shubert2D,18,0.1,18,20000,100,15,15,-1,-1,29,14,62,36,36,36,27,8.526512829121202e-14
N06-Shubert2D,18,0.1,19,20000,100,17,16,-1,-1,18,2,64,38,38,38,35,5.684341886080802e-14
N06-Shubert2D,18,0.001,0,20000,100,15,15,-1,-1,21,6,65,39,39,39,28,1.4210854715202004e-13
N06-Shubert2D,18,0.001,1,20000,100,16,16,-1,-1,39,23,64,38,38,38,30,8.526512829121202e-14
N06-Shubert2D,18,0.001,2,20000,100,15,15,-1,-1,23,8,65,39,39,39,32,8.526512829121202e-14
N06-Shubert2D,18,0.001,3,20000,100,15,15,-1,-1,21,6,63,37,37,37,32,1.4210854715202004e-13
N06-Shubert2D,18,0.001,4,20000,100,17,17,-1,-1,26,9,66,40,40,40,30,1.4210854715202004e-13
N06-Shubert2D,18,0.001,5,20000,100,16,15,-1,-1,37,22,64,38,38,38,27,8.526512829121202e-14
N06-Shubert2D,18,0.001,6,20000,100,17,17,-1,-1,19,2,64,38,38,38,32,1.1368683772161603e-13
N06-Shubert2D,18,0.001,7,20000,100,16,16,-1,-1,19,3,61,35,35,35,29,1.1368683772161603e-13
N06-Shubert2D,18,0.001,8,20000,100,13,13,-1,-1,15,2,64,38,38,38,32,8.526512829121202e-14
N06-Shubert2D,18,0.001,9,20000,100,15,15,-1,-1,27,12,65,39,39,39,30,8.526512829121202e-14
N06-Shubert2D,18,0.001,10,20000,100,15,15,-1,-1,25,10,65,39,39,39,36,8.526512829121202e-14
N06-Shubert2D,18,0.001,11,20000,100,16,15,-1,-1,34,19,66,40,40,40,28,8.526512829121202e-14
N06-Shubert2D,18,0.001,12,20000,100,16,16,-1,-1,37,21,63,37,37,37,29,1.4210854715202004e-13
N06-Shubert2D,18,0.001,13,20000,100,17,17,-1,-1,21,4,66,40,40,40,35,8.526512829121202e-14
N06-Shubert2D,18,0.001,14,20000,100,17,17,-1,-1,27,10,67,41,41,41,31,1.4210854715202004e-13
N06-Shubert2D,18,0.001,15,20000,100,18,18,-1,-1,34,16,67,41,41,41,31,8.526512829121202e-14
N06-Shubert2D,18,0.001,16,20000,100,16,15,-1,-1,22,7,61,35,35,35,27,1.4210854715202004e-13
N06-Shubert2D,18,0.001,17,20000,100,16,16,-1,-1,21,5,65,39,39,39,33,1.1368683772161603e-13
N06-Shubert2D,18,0.001,18,20000,100,15,15,-1,-1,29,14,62,36,36,36,27,8.526512829121202e-14
N06-Shubert2D,18,0.001,19,20000,100,16,16,-1,-1,18,2,64,38,38,38,34,5.684341886080802e-14
N06-Shubert2D,18,1e-05,0,20000,100,4,4,-1,-1,21,17,65,39,39,39,4,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,1,20000,100,6,6,-1,-1,39,33,64,38,38,38,6,8.526512829121202e-14
N06-Shubert2D,18,1e-05,2,20000,100,3,3,-1,-1,23,20,65,39,39,39,3,8.526512829121202e-14
N06-Shubert2D,18,1e-05,3,20000,100,4,4,-1,-1,21,17,63,37,37,37,5,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,4,20000,100,2,2,-1,-1,26,24,66,40,40,40,2,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,5,20000,100,1,1,-1,-1,37,36,64,38,38,38,1,8.526512829121202e-14
N06-Shubert2D,18,1e-05,6,20000,100,2,2,-1,-1,19,17,64,38,38,38,2,1.1368683772161603e-13
N06-Shubert2D,18,1e-05,7,20000,100,3,3,-1,-1,19,16,61,35,35,35,3,1.1368683772161603e-13
N06-Shubert2D,18,1e-05,8,20000,100,3,3,-1,-1,15,12,64,38,38,38,3,8.526512829121202e-14
N06-Shubert2D,18,1e-05,9,20000,100,3,3,-1,-1,27,24,65,39,39,39,4,8.526512829121202e-14
N06-Shubert2D,18,1e-05,10,20000,100,3,3,-1,-1,25,22,65,39,39,39,3,8.526512829121202e-14
N06-Shubert2D,18,1e-05,11,20000,100,2,2,-1,-1,34,32,66,40,40,40,3,8.526512829121202e-14
N06-Shubert2D,18,1e-05,12,20000,100,3,3,-1,-1,37,34,63,37,37,37,3,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,13,20000,100,3,3,-1,-1,21,18,66,40,40,40,4,8.526512829121202e-14
N06-Shubert2D,18,1e-05,14,20000,100,5,5,-1,-1,27,22,67,41,41,41,5,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,15,20000,100,3,3,-1,-1,34,31,67,41,41,41,3,8.526512829121202e-14
N06-Shubert2D,18,1e-05,16,20000,100,2,2,-1,-1,22,20,61,35,35,35,3,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,17,20000,100,4,4,-1,-1,21,17,65,39,39,39,4,1.1368683772161603e-13
N06-Shubert2D,18,1e-05,18,20000,100,15,15,-1,-1,29,14,62,36,36,36,27,8.526512829121202e-14
N06-Shubert2D,18,1e-05,19,20000,100,3,3,-1,-1,18,15,64,38,38,38,4,5.684341886080802e-14
