function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N08-Shubert3D,81,0.1,0,40000,162,21,21,-1,-1,61,40,92,66,64,66,24,-7.73070496506989e-12
N08-Shubert3D,81,0.1,1,40000,162,29,29,-1,-1,64,35,91,65,65,65,30,-5.9117155615240335e-12
N08-Shubert3D,81,0.1,2,40000,162,21,21,-1,-1,64,43,93,67,67,67,24,-8.185452315956354e-12
N08-Shubert3D,81,0.1,3,40000,162,20,20,-1,-1,62,42,92,66,65,66,23,-8.185452315956354e-12
N08-Shubert3D,81,0.1,4,40000,162,23,23,-1,-1,62,39,93,67,67,67,29,-8.185452315956354e-12
N08-Shubert3D,81,0.1,5,40000,162,23,23,-1,-1,73,50,91,65,65,65,29,-8.640199666842818e-12
N08-Shubert3D,81,0.1,6,40000,162,17,17,-1,-1,61,44,91,65,65,65,20,-5.9117155615240335e-12
N08-Shubert3D,81,0.1,7,40000,162,24,24,-1,-1,63,39,94,68,66,68,28,-9.094947017729282e-12
N08-Shubert3D,81,0.1,8,40000,162,23,23,-1,-1,58,35,91,65,63,65,28,-5.9117155615240335e-12
N08-Shubert3D,81,0.1,9,40000,162,18,18,-1,-1,68,50,94,68,68,68,18,2.091837814077735e-11
N08-Shubert3D,81,0.1,10,40000,162,20,20,-1,-1,71,51,90,64,64,64,24,-3.183231456205249e-12
N08-Shubert3D,81,0.1,11,40000,162,21,21,-1,-1,68,47,94,68,68,68,22,-5.9117155615240335e-12
N08-Shubert3D,81,0.1,12,40000,162,22,22,-1,-1,63,41,93,67,65,67,23,2.2737367544323206e-12
N08-Shubert3D,81,0.1,13,40000,162,21,21,-1,-1,68,47,95,69,68,69,21,-6.366462912410498e-12
N08-Shubert3D,81,0.1,14,40000,162,18,18,-1,-1,62,44,91,65,63,65,18,-8.185452315956354e-12
N08-Shubert3D,81,0.1,15,40000,162,20,20,-1,-1,63,43,93,67,65,67,22,4.547473508864641e-13
N08-Shubert3D,81,0.1,16,40000,162,25,25,-1,-1,64,39,91,65,65,65,27,-6.366462912410498e-12
N08-Shubert3D,81,0.1,17,40000,162,11,11,-1,-1,64,53,93,67,65,67,12,-7.73070496506989e-12
N08-Shubert3D,81,0.1,18,40000,162,14,14,-1,-1,66,52,94,68,66,68,15,-5.002220859751105e-12
N08-Shubert3D,81,0.1,19,40000,162,22,22,-1,-1,67,45,93,67,67,67,23,-8.640199666842818e-12
N08-Shubert3D,81,0.001,0,40000,162,6,6,-1,-1,61,55,92,66,64,66,6,-7.73070496506989e-12
N08-Shubert3D,81,0.001,1,40000,162,7,7,-1,-1,64,57,91,65,65,65,7,-5.9117155615240335e-12
N08-Shubert3D,81,0.001,2,40000,162,9,9,-1,-1,64,55,93,67,67,67,10,-8.185452315956354e-12
N08-Shubert3D,81,0.001,3,40000,162,12,12,-1,-1,62,50,92,66,65,66,12,-8.185452315956354e-12
N08-Shubert3D,81,0.001,4,40000,162,13,13,-1,-1,62,49,93,67,67,67,14,-8.185452315956354e-12
N08-Shubert3D,81,0.001,5,40000,162,14,14,-1,-1,73,59,91,65,65,65,14,-8.640199666842818e-12
N08-Shubert3D,81,0.001,6,40000,162,6,6,-1,-1,61,55,91,65,65,65,8,-5.9117155615240335e-12
N08-Shubert3D,81,0.001,7,40000,162,7,7,-1,-1,63,56,94,68,66,68,7,-9.094947017729282e-12
N08-Shubert3D,81,0.001,8,40000,162,7,7,-1,-1,58,51,91,65,63,65,7,-5.9117155615240335e-12
N08-Shubert3D,81,0.001,9,40000,162,6,6,-1,-1,68,62,94,68,68,68,6,2.091837814077735e-11
N08-Shubert3D,81,0.001,10,40000,162,9,9,-1,-1,71,62,90,64,64,64,10,-3.183231456205249e-12
N08-Shubert3D,81,0.001,11,40000,162,7,7,-1,-1,68,61,94,68,68,68,7,-5.9117155615240335e-12
N08-Shubert3D,81,0.001,12,40000,162,10,10,-1,-1,63,53,93,67,65,67,11,2.2737367544323206e-12
N08-Shubert3D,81,0.001,13,40000,162,11,11,-1,-1,68,57,95,69,68,69,11,-6.366462912410498e-12
N08-Shubert3D,81,0.001,14,40000,162,5,5,-1,-1,62,57,91,65,63,65,5,-8.185452315956354e-12
