function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N04-Himmelblau,4,0.1,0,20000,100,4,4,-1,-1,24,20,65,41,41,41,41,0.0
N04-Himmelblau,4,0.1,1,20000,100,4,4,-1,-1,24,20,64,40,40,40,40,0.0
N04-Himmelblau,4,0.1,2,20000,100,4,4,-1,-1,24,20,63,39,39,39,39,0.0
N04-Himmelblau,4,0.1,3,20000,100,4,4,-1,-1,12,8,62,38,38,38,38,0.0
N04-Himmelblau,4,0.1,4,20000,100,4,4,-1,-1,23,19,67,43,43,43,43,0.0
N04-Himmelblau,4,0.001,0,20000,100,4,4,-1,-1,24,20,65,41,41,41,41,0.0
N04-Himmelblau,4,0.001,1,20000,100,4,4,-1,-1,24,20,64,40,40,40,40,0.0
N04-Himmelblau,4,0.001,2,20000,100,4,4,-1,-1,24,20,63,39,39,39,39,0.0
N04-Himmelblau,4,0.001,3,20000,100,4,4,-1,-1,12,8,62,38,38,38,37,0.0
N04-Himmelblau,4,0.001,4,20000,100,4,4,-1,-1,23,19,67,43,43,43,43,0.0
N04-Himmelblau,4,1e-05,0,20000,100,4,4,-1,-1,24,20,65,41,41,41,12,0.0
N04-Himmelblau,4,1e-05,1,20000,100,3,3,-1,-1,24,21,64,40,40,40,28,0.0
N04-Himmelblau,4,1e-05,2,20000,100,4,4,-1,-1,24,20,63,39,39,39,27,0.0
N04-Himmelblau,4,1e-05,3,20000,100,4,4,-1,-1,12,8,62,38,38,38,31,0.0
N04-Himmelblau,4,1e-05,4,20000,100,3,3,-1,-1,23,20,67,43,43,43,18,0.0
N05-SixHumpCamel,2,0.1,0,20000,100,2,2,-1,-1,2,0,52,30,30,30,30,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,1,20000,100,2,2,-1,-1,2,0,69,47,47,47,47,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,2,20000,100,2,2,-1,-1,11,9,60,38,38,38,38,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,3,20000,100,2,2,-1,-1,2,0,55,33,33,33,33,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,4,20000,100,2,2,-1,-1,7,5,65,43,43,43,43,-4.440892098500626e-16
N05-SixHumpCamel,2,0.001,0,20000,100,2,2,-1,-1,2,0,52,30,30,30,30,-4.440892098500626e-16
N05-SixHumpCamel,2,0.001,1,20000,100,2,2,-1,-1,2,0,69,47,47,47,47,-4.440892098500626e-16
N05-SixHumpCamel,2,0.001,2,20000,100,2,2,-1,-1,11,9,60,38,38,38,38,-4.440892098500626e-16
N05-SixHumpCamel,2,0.001,3,20000,100,2,2,-1,-1,2,0,55,33,33,33,33,-4.440892098500626e-16
N05-SixHumpCamel,2,0.001,4,20000,100,2,2,-1,-1,7,5,65,43,43,43,43,-4.440892098500626e-16
N05-SixHumpCamel,2,1e-05,0,20000,100,2,2,-1,-1,2,0,52,30,30,30,30,-4.440892098500626e-16
N05-SixHumpCamel,2,1e-05,1,20000,100,2,2,-1,-1,2,0,69,47,47,47,47,-4.440892098500626e-16
N05-SixHumpCamel,2,1e-05,2,20000,100,2,2,-1,-1,11,9,60,38,38,38,38,-4.440892098500626e-16
N05-SixHumpCamel,2,1e-05,3,20000,100,2,2,-1,-1,2,0,55,33,33,33,33,-4.440892098500626e-16
N05-SixHumpCamel,2,1e-05,4,20000,100,2,2,-1,-1,7,5,65,43,43,43,43,-4.440892098500626e-16
N07-Vincent2D,36,0.1,0,20000,100,36,9,-1,-1,9,0,64,38,38,38,38,0.0
N07-Vincent2D,36,0.1,1,20000,100,36,9,-1,-1,9,0,60,34,34,34,34,0.0
N07-Vincent2D,36,0.1,2,20000,100,36,9,-1,-1,9,0,59,33,33,33,33,0.0
N07-Vincent2D,36,0.1,3,20000,100,36,7,-1,-1,7,0,61,35,35,35,35,0.0
N07-Vincent2D,36,0.1,4,20000,100,36,11,-1,-1,11,0,61,35,35,35,35,0.0
N07-Vincent2D,36,0.001,0,20000,100,14,9,-1,-1,9,0,64,38,38,38,38,0.0
N07-Vincent2D,36,0.001,1,20000,100,12,9,-1,-1,9,0,60,34,34,34,34,0.0
N07-Vincent2D,36,0.001,2,20000,100,9,8,-1,-1,9,1,59,33,33,33,33,0.0
N07-Vincent2D,36,0.001,3,20000,100,11,7,-1,-1,7,0,61,35,35,35,35,0.0
N07-Vincent2D,36,0.001,4,20000,100,14,10,-1,-1,11,1,61,35,35,35,35,0.0
N07-Vincent2D,36,1e-05,0,20000,100,11,9,-1,-1,9,0,64,38,38,38,38,0.0
N07-Vincent2D,36,1e-05,1,20000,100,10,9,-1,-1,9,0,60,34,34,34,33,0.0
N07-Vincent2D,36,1e-05,2,20000,100,8,8,-1,-1,9,1,59,33,33,33,33,0.0
N07-Vincent2D,36,1e-05,3,20000,100,7,7,-1,-1,7,0,61,35,35,35,35,0.0
N07-Vincent2D,36,1e-05,4,20000,100,10,10,-1,-1,11,1,61,35,35,35,35,0.0
N10-ModRastrigin2D,12,0.1,0,20000,100,12,10,-1,-1,26,16,58,32,32,32,32,0.0
N10-ModRastrigin2D,12,0.1,1,20000,100,12,12,-1,-1,32,20,58,32,32,32,32,0.0
N10-ModRastrigin2D,12,0.1,2,20000,100,12,12,-1,-1,12,0,56,30,30,30,30,0.0
