function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N09-Vincent3D,216,0.1,0,40000,432,216,28,-1,-1,42,14,88,62,62,62,62,0.0
N09-Vincent3D,216,0.1,1,40000,432,216,28,-1,-1,48,20,91,65,65,65,65,0.0
N09-Vincent3D,216,0.1,2,40000,432,216,25,-1,-1,25,0,85,59,59,59,59,0.0
N09-Vincent3D,216,0.1,3,40000,432,216,25,-1,-1,44,19,89,63,63,63,63,0.0
N09-Vincent3D,216,0.1,4,40000,432,216,23,-1,-1,43,20,90,64,64,64,64,0.0
N09-Vincent3D,216,0.1,5,40000,432,216,20,-1,-1,20,0,94,68,68,68,68,0.0
N09-Vincent3D,216,0.1,6,40000,432,216,20,-1,-1,20,0,86,60,60,60,60,0.0
N09-Vincent3D,216,0.1,7,40000,432,216,23,-1,-1,23,0,90,64,63,64,64,0.0
N09-Vincent3D,216,0.1,8,40000,432,216,24,-1,-1,24,0,86,60,60,60,60,0.0
N09-Vincent3D,216,0.1,9,40000,432,216,26,-1,-1,31,5,91,65,65,65,65,0.0
N09-Vincent3D,216,0.1,10,40000,432,216,26,-1,-1,26,0,88,62,62,62,62,0.0
N09-Vincent3D,216,0.1,11,40000,432,216,25,-1,-1,25,0,91,65,65,65,65,0.0
N09-Vincent3D,216,0.1,12,40000,432,216,23,-1,-1,23,0,82,56,56,56,56,0.0
N09-Vincent3D,216,0.1,13,40000,432,216,23,-1,-1,43,20,90,64,64,64,64,0.0
N09-Vincent3D,216,0.1,14,40000,432,216,29,-1,-1,29,0,90,64,64,64,64,0.0
N09-Vincent3D,216,0.1,15,40000,432,216,27,-1,-1,45,18,91,65,65,65,65,0.0
N09-Vincent3D,216,0.1,16,40000,432,216,33,-1,-1,41,8,89,63,63,63,63,0.0
N09-Vincent3D,216,0.1,17,40000,432,216,23,-1,-1,23,0,89,63,63,63,63,0.0
N09-Vincent3D,216,0.1,18,40000,432,216,28,-1,-1,28,0,88,62,62,62,62,0.0
N09-Vincent3D,216,0.1,19,40000,432,216,22,-1,-1,22,0,90,64,64,64,64,0.0
N09-Vincent3D,216,0.1,20,40000,432,216,24,-1,-1,24,0,91,65,65,65,65,0.0
N09-Vincent3D,216,0.1,21,40000,432,216,29,-1,-1,48,19,86,60,60,60,60,0.0
N09-Vincent3D,216,0.1,22,40000,432,216,22,-1,-1,22,0,89,63,63,63,63,0.0
N09-Vincent3D,216,0.1,23,40000,432,216,32,-1,-1,38,6,89,63,63,63,63,0.0
N09-Vincent3D,216,0.1,24,40000,432,216,30,-1,-1,30,0,90,64,64,64,64,0.0
N09-Vincent3D,216,0.1,25,40000,432,216,26,-1,-1,26,0,89,63,63,63,63,0.0
N09-Vincent3D,216,0.1,26,40000,432,216,18,-1,-1,18,0,90,64,64,64,64,1.1102230246251565e-16
N09-Vincent3D,216,0.1,27,40000,432,216,25,-1,-1,45,20,92,66,66,66,66,0.0
N09-Vincent3D,216,0.1,28,40000,432,216,24,-1,-1,24,0,88,62,62,62,62,0.0
N09-Vincent3D,216,0.1,29,40000,432,216,26,-1,-1,26,0,88,62,62,62,62,3.3306690738754696e-16
