function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N09-Vincent3D,216,0.1,0,43500,432,216,28,-1,-1,42,14,94,68,68,68,68,0.0
N09-Vincent3D,216,0.1,1,43500,432,216,36,-1,-1,45,9,97,71,71,71,71,0.0
N09-Vincent3D,216,0.1,2,43500,432,216,27,-1,-1,27,0,91,65,65,65,65,0.0
N09-Vincent3D,216,0.1,3,43500,432,216,26,-1,-1,26,0,95,69,69,69,69,0.0
N09-Vincent3D,216,0.1,4,43500,432,216,24,-1,-1,24,0,95,69,69,69,69,0.0
N09-Vincent3D,216,0.1,5,43500,432,216,23,-1,-1,41,18,101,75,75,75,75,0.0
N09-Vincent3D,216,0.1,6,43500,432,216,20,-1,-1,20,0,92,66,66,66,66,0.0
N09-Vincent3D,216,0.1,7,43500,432,216,25,-1,-1,25,0,96,70,69,70,70,0.0
N09-Vincent3D,216,0.1,8,43500,432,216,26,-1,-1,26,0,92,66,66,66,66,0.0
N09-Vincent3D,216,0.1,9,43500,432,216,26,-1,-1,45,19,97,71,71,71,71,0.0
N09-Vincent3D,216,0.1,10,43500,432,216,29,-1,-1,48,19,94,68,68,68,68,0.0
N09-Vincent3D,216,0.1,11,43500,432,216,26,-1,-1,26,0,97,71,71,71,71,0.0
N09-Vincent3D,216,0.1,12,43500,432,216,28,-1,-1,28,0,88,62,62,62,62,0.0
N09-Vincent3D,216,0.1,13,43500,432,216,25,-1,-1,45,20,96,70,70,70,70,0.0
N09-Vincent3D,216,0.1,14,43500,432,216,23,-1,-1,23,0,96,70,70,70,70,0.0
N09-Vincent3D,216,0.1,15,43500,432,216,35,-1,-1,40,5,97,71,71,71,71,0.0
N09-Vincent3D,216,0.1,16,43500,432,216,27,-1,-1,27,0,95,69,69,69,69,0.0
N09-Vincent3D,216,0.1,17,43500,432,216,26,-1,-1,26,0,95,69,69,69,69,0.0
N09-Vincent3D,216,0.1,18,43500,432,216,31,-1,-1,49,18,95,69,69,69,69,0.0
