function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N05-SixHumpCamel,2,0.1,0,20000,100,2,2,-1,-1,2,0,52,30,30,30,30,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,1,20000,100,2,2,-1,-1,2,0,69,47,47,47,47,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,2,20000,100,2,2,-1,-1,11,9,60,38,38,38,38,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,3,20000,100,2,2,-1,-1,2,0,55,33,33,33,33,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,4,20000,100,2,2,-1,-1,7,5,65,43,43,43,43,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,5,20000,100,2,2,-1,-1,2,0,61,39,39,39,39,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,6,20000,100,2,2,-1,-1,7,5,66,44,44,44,44,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,7,20000,100,2,2,-1,-1,2,0,61,39,39,39,39,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,8,20000,100,2,2,-1,-1,2,0,59,37,37,37,37,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,9,20000,100,2,2,-1,-1,4,2,60,38,38,38,38,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,10,20000,100,2,2,-1,-1,2,0,65,43,43,43,43,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,11,20000,100,2,2,-1,-1,9,7,60,38,38,38,38,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,12,20000,100,2,2,-1,-1,2,0,65,43,43,43,43,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,13,20000,100,2,2,-1,-1,6,4,65,43,43,43,43,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,14,20000,100,2,2,-1,-1,2,0,61,39,39,39,39,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,15,20000,100,2,2,-1,-1,2,0,62,40,40,40,40,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,16,20000,100,2,2,-1,-1,2,0,66,44,44,44,44,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,17,20000,100,2,2,-1,-1,2,0,61,39,39,39,39,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,18,20000,100,2,2,-1,-1,2,0,61,39,39,39,39,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,19,20000,100,2,2,-1,-1,8,6,63,41,41,41,41,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,20,20000,100,2,2,-1,-1,2,0,64,42,42,42,42,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,21,20000,100,2,2,-1,-1,2,0,61,39,39,39,39,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,22,20000,100,2,2,-1,-1,2,0,58,36,36,36,36,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,23,20000,100,2,2,-1,-1,2,0,65,43,43,43,43,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,24,20000,100,2,2,-1,-1,2,0,67,45,45,45,45,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,25,20000,100,2,2,-1,-1,2,0,60,38,38,38,38,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,26,20000,100,2,2,-1,-1,2,0,66,44,44,44,44,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,27,20000,100,2,2,-1,-1,2,0,68,46,46,46,46,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,28,20000,100,2,2,-1,-1,7,5,66,44,44,44,44,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,29,20000,100,2,2,-1,-1,2,0,60,38,38,38,38,-4.440892098500626e-16
