function,dim,evals,seed,exhausted,f_at_exh,best_f,post_gain,n_level_release,div_t07,div_t08,f_init_scale,eff_tol
F01-Sphere,2,5000,0,True,0.0,0.0,0.0,132,110,132,0.5487574044533261,1e-06
F01-Sphere,2,5000,1,True,0.0,0.0,0.0,213,213,213,2.1241142329923974,1e-06
F01-Sphere,2,5000,2,True,0.0,0.0,0.0,132,132,132,0.010424072842837973,1e-06
F01-Sphere,2,5000,3,True,0.0,0.0,0.0,132,110,132,0.4428064799789837,1e-06
F01-Sphere,2,5000,4,True,0.0,0.0,0.0,156,112,134,1.0119973735606465,1e-06
F01-Sphere,2,5000,5,True,0.0,0.0,0.0,185,160,185,1.3714947191156313,1e-06
F01-Sphere,2,5000,6,True,0.0,0.0,0.0,241,175,241,3.8764153751901063,1e-06
F01-Sphere,2,5000,7,True,0.0,0.0,0.0,154,110,132,0.5964166223054121,1e-06
F01-Sphere,2,5000,8,True,0.0,0.0,0.0,256,200,226,3.4537723484049536,1e-06
F01-Sphere,2,5000,9,True,0.0,0.0,0.0,135,111,135,0.26636779667235544,1e-06
F01-Sphere,2,5000,10,True,0.0,0.0,0.0,211,189,211,2.475438632036017,1e-06
F01-Sphere,2,5000,11,True,0.0,0.0,0.0,176,132,176,2.257429018837499,1e-06
F01-Sphere,2,5000,12,True,0.0,0.0,0.0,271,247,271,3.3282249798519246,1e-06
F01-Sphere,2,5000,13,True,0.0,0.0,0.0,218,134,218,2.4589645119141608,1e-06
F01-Sphere,2,5000,14,True,0.0,0.0,0.0,155,155,155,0.4255201255914187,1e-06
F01-Sphere,2,5000,15,True,0.0,0.0,0.0,176,154,176,0.7548288627095872,1e-06
F01-Sphere,2,5000,16,True,0.0,0.0,0.0,184,184,184,1.6425592896374468,1e-06
F01-Sphere,2,5000,17,True,0.0,0.0,0.0,154,132,154,1.1052812572277446,1e-06
F01-Sphere,2,5000,18,True,0.0,0.0,0.0,154,132,154,0.15609307161575714,1e-06
F01-Sphere,2,5000,19,True,0.0,0.0,0.0,192,159,192,0.46636616792714847,1e-06
F17-SchafferF7,2,5000,0,True,3.552713678800501e-15,3.552713678800501e-15,0.0,0,0,0,3.599569581236363,1e-06
F17-SchafferF7,2,5000,1,False,,2.8777666198465113e-05,nan,0,0,0,0.6879042542414275,1e-06
F17-SchafferF7,2,5000,2,False,,2.87776661949124e-05,nan,0,0,0,0.26334237346425127,1e-06
F17-SchafferF7,2,5000,3,True,3.552713678800501e-15,3.552713678800501e-15,0.0,0,0,0,2.768055057041895,1e-06
F17-SchafferF7,2,5000,4,False,,2.8777732861584582e-05,nan,0,0,0,2.466854237468038,1e-06
F17-SchafferF7,2,5000,5,True,4.92034146759579e-09,4.92034146759579e-09,0.0,0,0,0,4.513611805906297,1e-06
F17-SchafferF7,2,5000,6,True,3.552713678800501e-15,3.552713678800501e-15,0.0,0,0,0,1.3954662836688048,1e-06
F17-SchafferF7,2,5000,7,True,3.552713678800501e-15,3.552713678800501e-15,0.0,0,0,0,3.7798606388564426,1e-06
F17-SchafferF7,2,5000,8,True,1.2434497875801753e-13,1.2434497875801753e-13,0.0,0,0,0,5.055774645128832,1e-06
F17-SchafferF7,2,5000,9,False,,2.1724844145865063e-11,nan,0,0,0,5.113594963778782,1e-06
F17-SchafferF7,2,5000,10,True,7.765876830490015e-11,7.765876830490015e-11,0.0,44,44,44,8.234578539971176,1e-06
F17-SchafferF7,2,5000,11,False,,1.823038620329953e-05,nan,0,0,0,4.765351354813635,1e-06
F17-SchafferF7,2,5000,12,True,4.391154106997419e-12,4.391154106997419e-12,0.0,0,0,0,2.4229199487051005,1e-06
F17-SchafferF7,2,5000,13,True,2.902424967032857e-10,2.902424967032857e-10,0.0,0,0,0,5.667697176611611,1e-06
F17-SchafferF7,2,5000,14,True,9.312373094871873e-11,9.312373094871873e-11,0.0,0,0,0,3.6372815317754394,1e-06
F17-SchafferF7,2,5000,15,True,3.552713678800501e-15,3.552713678800501e-15,0.0,22,22,22,7.078187749716651,1e-06
F17-SchafferF7,2,5000,16,True,3.410605131648481e-13,3.410605131648481e-13,0.0,22,22,22,7.015982152923721,1e-06
F17-SchafferF7,2,5000,17,True,1.7434892640721955e-08,1.7434892640721955e-08,0.0,22,22,22,4.016806118071575,1e-06
F17-SchafferF7,2,5000,18,True,3.552713678800501e-15,3.552713678800501e-15,0.0,22,22,22,6.667870465899664,1e-06
F17-SchafferF7,2,5000,19,False,,1.6727597085264279e-10,nan,0,0,0,3.57672245702841,1e-06
