function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N04-Himmelblau,4,0.1,0,20000,100,4,4,-1,-1,7,3,62,38,38,38,38,0.0
N04-Himmelblau,4,0.1,1,20000,100,4,4,-1,-1,23,19,62,38,38,38,38,0.0
N04-Himmelblau,4,0.1,2,20000,100,4,4,-1,-1,18,14,61,37,37,37,37,0.0
N04-Himmelblau,4,0.1,3,20000,100,4,4,-1,-1,24,20,62,38,38,38,38,0.0
N04-Himmelblau,4,0.1,4,20000,100,4,4,-1,-1,4,0,66,42,42,42,42,0.0
N04-Himmelblau,4,0.1,5,20000,100,4,4,-1,-1,23,19,64,40,40,40,40,0.0
N04-Himmelblau,4,0.1,6,20000,100,4,4,-1,-1,19,15,66,42,42,42,42,0.0
N04-Himmelblau,4,0.1,7,20000,100,4,4,-1,-1,24,20,63,39,39,39,39,0.0
N04-Himmelblau,4,0.1,8,20000,100,4,4,-1,-1,21,17,63,39,39,39,39,0.0
N04-Himmelblau,4,0.1,9,20000,100,4,4,-1,-1,4,0,60,36,36,36,36,0.0
N04-Himmelblau,4,0.1,10,20000,100,4,4,-1,-1,13,9,62,38,38,38,38,0.0
N04-Himmelblau,4,0.1,11,20000,100,4,4,-1,-1,18,14,63,39,39,39,39,0.0
N04-Himmelblau,4,0.1,12,20000,100,4,4,-1,-1,22,18,63,39,39,39,39,0.0
N04-Himmelblau,4,0.1,13,20000,100,4,4,-1,-1,5,1,62,38,38,38,38,0.0
N04-Himmelblau,4,0.1,14,20000,100,4,4,-1,-1,24,20,62,38,38,38,38,0.0
N04-Himmelblau,4,0.1,15,20000,100,4,4,-1,-1,17,13,63,39,39,39,39,0.0
N04-Himmelblau,4,0.1,16,20000,100,4,4,-1,-1,24,20,62,38,38,38,38,0.0
N04-Himmelblau,4,0.1,17,20000,100,4,4,-1,-1,24,20,64,40,40,40,40,0.0
N04-Himmelblau,4,0.1,18,20000,100,4,4,-1,-1,23,19,64,40,40,40,40,0.0
N04-Himmelblau,4,0.1,19,20000,100,4,4,-1,-1,23,19,62,38,38,38,38,0.0
N04-Himmelblau,4,0.1,20,20000,100,4,4,-1,-1,14,10,64,40,40,40,40,0.0
N04-Himmelblau,4,0.1,21,20000,100,4,4,-1,-1,9,5,63,39,39,39,39,0.0
N04-Himmelblau,4,0.1,22,20000,100,4,4,-1,-1,24,20,65,41,41,41,41,0.0
N04-Himmelblau,4,0.1,23,20000,100,4,4,-1,-1,24,20,65,41,41,41,41,0.0
N04-Himmelblau,4,0.1,24,20000,100,4,4,-1,-1,19,15,62,38,38,38,38,0.0
N04-Himmelblau,4,0.1,25,20000,100,4,4,-1,-1,19,15,62,38,38,38,38,0.0
N04-Himmelblau,4,0.1,26,20000,100,4,4,-1,-1,20,16,61,37,37,37,37,0.0
N04-Himmelblau,4,0.1,27,20000,100,4,4,-1,-1,11,7,61,37,37,37,37,0.0
N04-Himmelblau,4,0.1,28,20000,100,4,4,-1,-1,24,20,61,37,37,37,37,0.0
