function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N07-Vincent2D,36,0.1,0,20000,100,36,8,-1,-1,8,0,75,49,49,49,49,0.0
N07-Vincent2D,36,0.1,1,20000,100,36,14,-1,-1,28,14,71,45,45,45,45,0.0
N07-Vincent2D,36,0.1,2,20000,100,36,11,-1,-1,28,17,67,41,41,41,41,0.0
N07-Vincent2D,36,0.1,3,20000,100,36,15,-1,-1,15,0,71,45,45,45,45,0.0
N07-Vincent2D,36,0.1,4,20000,100,36,16,-1,-1,16,0,69,43,43,43,43,0.0
N07-Vincent2D,36,0.1,5,20000,100,36,7,-1,-1,7,0,72,46,46,46,46,0.0
N07-Vincent2D,36,0.1,6,20000,100,36,11,-1,-1,28,17,76,50,50,50,50,0.0
N07-Vincent2D,36,0.1,7,20000,100,36,10,-1,-1,10,0,68,42,42,42,42,0.0
N07-Vincent2D,36,0.1,8,20000,100,36,11,-1,-1,11,0,74,48,48,48,48,0.0
N07-Vincent2D,36,0.1,9,20000,100,36,11,-1,-1,26,15,68,42,42,42,42,0.0
N07-Vincent2D,36,0.1,10,20000,100,36,15,-1,-1,21,6,76,50,50,50,50,0.0
N07-Vincent2D,36,0.1,11,20000,100,36,22,-1,-1,22,0,70,44,44,44,44,0.0
N07-Vincent2D,36,0.1,12,20000,100,36,12,-1,-1,12,0,69,43,43,43,43,0.0
N07-Vincent2D,36,0.1,13,20000,100,36,15,-1,-1,22,7,71,45,45,45,45,0.0
N07-Vincent2D,36,0.1,14,20000,100,36,8,-1,-1,8,0,72,46,46,46,46,0.0
N07-Vincent2D,36,0.1,15,20000,100,36,11,-1,-1,26,15,71,45,45,45,45,0.0
N07-Vincent2D,36,0.1,16,20000,100,36,6,-1,-1,6,0,72,46,46,46,46,0.0
N07-Vincent2D,36,0.1,17,20000,100,36,9,-1,-1,9,0,69,43,43,43,43,0.0
N07-Vincent2D,36,0.1,18,20000,100,36,12,-1,-1,17,5,70,44,44,44,44,0.0
N07-Vincent2D,36,0.1,19,20000,100,36,8,-1,-1,27,19,71,45,45,45,45,0.0
N07-Vincent2D,36,0.1,20,20000,100,36,7,-1,-1,7,0,69,43,43,43,43,0.0
N07-Vincent2D,36,0.1,21,20000,100,36,8,-1,-1,8,0,66,40,40,40,40,0.0
