function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N09-Vincent3D,216,0.1,0,40000,432,216,24,-1,-1,24,0,100,74,74,74,74,0.0
N09-Vincent3D,216,0.1,1,40000,432,216,27,-1,-1,27,0,97,71,71,71,71,0.0
N09-Vincent3D,216,0.1,2,40000,432,216,27,-1,-1,43,16,98,72,72,72,72,0.0
N09-Vincent3D,216,0.1,3,40000,432,216,25,-1,-1,25,0,100,74,74,74,74,0.0
N09-Vincent3D,216,0.1,4,40000,432,216,29,-1,-1,29,0,99,73,73,73,73,0.0
N09-Vincent3D,216,0.1,5,40000,432,216,31,-1,-1,51,20,103,77,77,77,77,0.0
N09-Vincent3D,216,0.1,6,40000,432,216,23,-1,-1,43,20,101,75,75,75,75,0.0
N09-Vincent3D,216,0.1,7,40000,432,216,27,-1,-1,27,0,97,71,70,71,71,0.0
N09-Vincent3D,216,0.1,8,40000,432,216,28,-1,-1,28,0,99,73,73,73,73,0.0
N09-Vincent3D,216,0.1,9,40000,432,216,31,-1,-1,46,15,101,75,75,75,75,0.0
N09-Vincent3D,216,0.1,10,40000,432,216,30,-1,-1,46,16,99,73,73,73,73,0.0
N09-Vincent3D,216,0.1,11,40000,432,216,25,-1,-1,45,20,100,74,74,74,74,0.0
N09-Vincent3D,216,0.1,12,40000,432,216,25,-1,-1,44,19,100,74,74,74,74,0.0
N09-Vincent3D,216,0.1,13,40000,432,216,30,-1,-1,48,18,100,74,74,74,74,0.0
N09-Vincent3D,216,0.1,14,40000,432,216,34,-1,-1,36,2,99,73,73,73,73,0.0
N09-Vincent3D,216,0.1,15,40000,432,216,31,-1,-1,31,0,99,73,73,73,73,0.0
N09-Vincent3D,216,0.1,16,40000,432,216,26,-1,-1,26,0,100,74,74,74,74,0.0
N09-Vincent3D,216,0.1,17,40000,432,216,30,-1,-1,30,0,100,74,74,74,74,0.0
N09-Vincent3D,216,0.1,18,40000,432,216,31,-1,-1,50,19,99,73,73,73,73,0.0
N09-Vincent3D,216,0.1,19,40000,432,216,32,-1,-1,32,0,100,74,74,74,74,0.0
N09-Vincent3D,216,0.1,20,40000,432,216,26,-1,-1,26,0,96,70,70,70,70,0.0
N09-Vincent3D,216,0.1,21,40000,432,216,33,-1,-1,33,0,101,75,75,75,75,0.0
N09-Vincent3D,216,0.1,22,40000,432,216,20,-1,-1,20,0,99,73,73,73,73,0.0
N09-Vincent3D,216,0.1,23,40000,432,216,29,-1,-1,29,0,100,74,74,74,74,0.0
N09-Vincent3D,216,0.1,24,40000,432,216,26,-1,-1,26,0,99,73,73,73,73,0.0
N09-Vincent3D,216,0.1,25,40000,432,216,30,-1,-1,46,16,101,75,75,75,75,0.0
N09-Vincent3D,216,0.1,26,40000,432,216,27,-1,-1,47,20,101,75,75,75,75,1.1102230246251565e-16
N09-Vincent3D,216,0.1,27,40000,432,216,27,-1,-1,27,0,100,74,74,74,74,0.0
N09-Vincent3D,216,0.1,28,40000,432,216,25,-1,-1,25,0,100,74,74,74,74,0.0
N09-Vincent3D,216,0.1,29,40000,432,216,27,-1,-1,27,0,96,70,70,70,70,3.3306690738754696e-16
N09-Vincent3D,216,0.001,0,40000,432,26,23,-1,-1,24,1,100,74,74,74,72,0.0
N09-Vincent3D,216,0.001,1,40000,432,27,27,-1,-1,27,0,97,71,71,71,69,0.0
N09-Vincent3D,216,0.001,2,40000,432,27,26,-1,-1,43,17,98,72,72,72,70,0.0
N09-Vincent3D,216,0.001,3,40000,432,26,25,-1,-1,25,0,100,74,74,74,73,0.0
N09-Vincent3D,216,0.001,4,40000,432,30,29,-1,-1,29,0,99,73,73,73,73,0.0
N09-Vincent3D,216,0.001,5,40000,432,34,31,-1,-1,51,20,103,77,77,77,77,0.0
N09-Vincent3D,216,0.001,6,40000,432,26,23,-1,-1,43,20,101,75,75,75,75,0.0
N09-Vincent3D,216,0.001,7,40000,432,29,25,-1,-1,27,2,97,71,70,71,69,0.0
N09-Vincent3D,216,0.001,8,40000,432,31,28,-1,-1,28,0,99,73,73,73,73,0.0
N09-Vincent3D,216,0.001,9,40000,432,28,28,-1,-1,46,18,101,75,75,75,75,0.0
N09-Vincent3D,216,0.001,10,40000,432,26,25,-1,-1,46,21,99,73,73,73,72,0.0
N09-Vincent3D,216,0.001,11,40000,432,25,25,-1,-1,45,20,100,74,74,74,74,0.0
N09-Vincent3D,216,0.001,12,40000,432,24,24,-1,-1,44,20,100,74,74,74,73,0.0
N09-Vincent3D,216,0.001,13,40000,432,30,28,-1,-1,48,20,100,74,74,74,74,0.0
N09-Vincent3D,216,0.001,14,40000,432,22,21,-1,-1,36,15,99,73,73,73,71,0.0
N09-Vincent3D,216,0.001,15,40000,432,30,30,-1,-1,31,1,99,73,73,73,72,0.0
N09-Vincent3D,216,0.001,16,40000,432,23,23,-1,-1,26,3,100,74,74,74,71,0.0
N09-Vincent3D,216,0.001,17,40000,432,30,28,-1,-1,30,2,100,74,74,74,74,0.0
N09-Vincent3D,216,0.001,18,40000,432,29,29,-1,-1,50,21,99,73,73,73,72,0.0
N09-Vincent3D,216,0.001,19,40000,432,24,23,-1,-1,32,9,100,74,74,74,74,0.0
N09-Vincent3D,216,0.001,20,40000,432,27,25,-1,-1,26,1,96,70,70,70,69,0.0
