function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N09-Vincent3D,216,0.1,0,40000,432,216,28,-1,-1,42,14,88,62,62,62,62,0.0
N09-Vincent3D,216,0.1,1,40000,432,216,28,-1,-1,48,20,91,65,65,65,65,0.0
N09-Vincent3D,216,0.1,2,40000,432,216,25,-1,-1,25,0,85,59,59,59,59,0.0
N09-Vincent3D,216,0.1,3,40000,432,216,25,-1,-1,44,19,89,63,63,63,63,0.0
N09-Vincent3D,216,0.1,4,40000,432,216,23,-1,-1,43,20,90,64,64,64,64,0.0
N09-Vincent3D,216,0.001,0,40000,432,25,24,-1,-1,42,18,88,62,62,62,62,0.0
N09-Vincent3D,216,0.001,1,40000,432,30,28,-1,-1,48,20,91,65,65,65,65,0.0
N09-Vincent3D,216,0.001,2,40000,432,28,25,-1,-1,25,0,85,59,59,59,57,0.0
N09-Vincent3D,216,0.001,3,40000,432,26,24,-1,-1,44,20,89,63,63,63,63,0.0
N09-Vincent3D,216,0.001,4,40000,432,25,23,-1,-1,43,20,90,64,64,64,64,0.0
N09-Vincent3D,216,1e-05,0,40000,432,25,24,-1,-1,42,18,88,62,62,62,61,0.0
N09-Vincent3D,216,1e-05,1,40000,432,27,27,-1,-1,48,21,91,65,65,65,62,0.0
N09-Vincent3D,216,1e-05,2,40000,432,22,21,-1,-1,25,4,85,59,59,59,52,0.0
N09-Vincent3D,216,1e-05,3,40000,432,22,22,-1,-1,44,22,89,63,63,63,59,0.0
N09-Vincent3D,216,1e-05,4,40000,432,21,21,-1,-1,43,22,90,64,64,64,59,0.0
