function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N04-Himmelblau,4,0.1,0,20000,100,4,4,-1,-1,4,0,58,34,34,34,34,0.0
N04-Himmelblau,4,0.1,1,20000,100,4,4,-1,-1,24,20,58,34,34,34,34,0.0
N04-Himmelblau,4,0.1,2,20000,100,4,3,-1,-1,23,20,57,34,34,34,34,0.0
N04-Himmelblau,4,0.1,3,20000,100,4,4,-1,-1,22,18,57,33,33,33,33,0.0
N04-Himmelblau,4,0.1,4,20000,100,4,4,-1,-1,8,4,58,34,34,34,34,0.0
N04-Himmelblau,4,0.001,0,20000,100,4,4,-1,-1,4,0,58,34,34,34,34,0.0
N04-Himmelblau,4,0.001,1,20000,100,4,4,-1,-1,24,20,58,34,34,34,34,0.0
N04-Himmelblau,4,0.001,2,20000,100,3,3,-1,-1,23,20,57,34,34,34,34,0.0
N04-Himmelblau,4,0.001,3,20000,100,4,4,-1,-1,22,18,57,33,33,33,33,0.0
N04-Himmelblau,4,0.001,4,20000,100,4,4,-1,-1,8,4,58,34,34,34,34,0.0
N04-Himmelblau,4,1e-05,0,20000,100,4,4,-1,-1,4,0,58,34,34,34,34,0.0
N04-Himmelblau,4,1e-05,1,20000,100,4,4,-1,-1,24,20,58,34,34,34,34,0.0
N04-Himmelblau,4,1e-05,2,20000,100,3,3,-1,-1,23,20,57,34,34,34,34,0.0
N04-Himmelblau,4,1e-05,3,20000,100,4,4,-1,-1,22,18,57,33,33,33,33,0.0
N04-Himmelblau,4,1e-05,4,20000,100,4,4,-1,-1,8,4,58,34,34,34,34,0.0
N05-SixHumpCamel,2,0.1,0,20000,100,2,2,-1,-1,3,1,67,45,45,45,45,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,1,20000,100,2,2,-1,-1,2,0,69,47,47,47,47,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,2,20000,100,2,2,-1,-1,2,0,66,44,44,44,44,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,3,20000,100,2,2,-1,-1,2,0,66,44,44,44,44,-4.440892098500626e-16
N05-SixHumpCamel,2,0.1,4,20000,100,2,2,-1,-1,2,0,67,45,45,45,45,-4.440892098500626e-16
N05-SixHumpCamel,2,0.001,0,20000,100,2,2,-1,-1,3,1,67,45,45,45,45,-4.440892098500626e-16
N05-SixHumpCamel,2,0.001,1,20000,100,2,2,-1,-1,2,0,69,47,47,47,47,-4.440892098500626e-16
N05-SixHumpCamel,2,0.001,2,20000,100,2,2,-1,-1,2,0,66,44,44,44,44,-4.440892098500626e-16
N05-SixHumpCamel,2,0.001,3,20000,100,2,2,-1,-1,2,0,66,44,44,44,44,-4.440892098500626e-16
N05-SixHumpCamel,2,0.001,4,20000,100,2,2,-1,-1,2,0,67,45,45,45,45,-4.440892098500626e-16
