function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N09-Vincent3D,216,0.1,0,40000,432,216,27,-1,-1,27,0,93,67,67,67,67,0.0
N09-Vincent3D,216,0.1,1,40000,432,216,25,-1,-1,43,18,94,68,68,68,68,0.0
N09-Vincent3D,216,0.1,2,40000,432,216,29,-1,-1,29,0,94,68,68,68,68,0.0
N09-Vincent3D,216,0.1,3,40000,432,216,27,-1,-1,27,0,96,70,70,70,70,0.0
N09-Vincent3D,216,0.1,4,40000,432,216,25,-1,-1,25,0,95,69,69,69,69,0.0
N09-Vincent3D,216,0.001,0,40000,432,27,23,-1,-1,27,4,93,67,67,67,67,0.0
N09-Vincent3D,216,0.001,1,40000,432,25,24,-1,-1,43,19,94,68,68,68,65,0.0
N09-Vincent3D,216,0.001,2,40000,432,29,28,-1,-1,29,1,94,68,68,68,66,0.0
N09-Vincent3D,216,0.001,3,40000,432,29,26,-1,-1,27,1,96,70,70,70,69,0.0
N09-Vincent3D,216,0.001,4,40000,432,25,24,-1,-1,25,1,95,69,69,69,67,0.0
N09-Vincent3D,216,1e-05,0,40000,432,23,23,-1,-1,27,4,93,67,67,67,66,0.0
N09-Vincent3D,216,1e-05,1,40000,432,24,24,-1,-1,43,19,94,68,68,68,63,0.0
N09-Vincent3D,216,1e-05,2,40000,432,27,27,-1,-1,29,2,94,68,68,68,62,0.0
N09-Vincent3D,216,1e-05,3,40000,432,26,26,-1,-1,27,1,96,70,70,70,69,0.0
N09-Vincent3D,216,1e-05,4,40000,432,24,24,-1,-1,25,1,95,69,69,69,65,0.0
