function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
N06-Shubert2D,MC-ESO,current,0,20000,18,55,0.8333,0.8333,0.8333,0.6111,0.1667
N06-Shubert2D,MC-ESO,current,1,20000,18,54,0.8333,0.8333,0.8333,0.8333,0.2222
N06-Shubert2D,MC-ESO,current,2,20000,18,57,0.8889,0.8889,0.8889,0.7778,0.1111
N06-Shubert2D,MC-ESO,current,3,20000,18,54,0.6667,0.6667,0.6667,0.5000,0.3333
N06-Shubert2D,MC-ESO,current,4,20000,18,58,0.8333,0.8333,0.8333,0.6667,0.1667
N06-Shubert2D,MC-ESO,current,5,20000,18,57,0.8889,0.8889,0.8889,0.6667,0.1667
N06-Shubert2D,MC-ESO,current,6,20000,18,56,0.7778,0.7778,0.7778,0.4444,0.1111
N06-Shubert2D,MC-ESO,current,7,20000,18,54,0.8333,0.8333,0.8333,0.7778,0.1667
N06-Shubert2D,MC-ESO,current,8,20000,18,55,0.7222,0.7222,0.7222,0.7222,0.2778
N06-Shubert2D,MC-ESO,current,9,20000,18,55,0.7222,0.6667,0.6667,0.5556,0.2222
N06-Shubert2D,MC-ESO,current,10,20000,18,55,0.9444,0.9444,0.9444,0.9444,0.1667
N06-Shubert2D,MC-ESO,current,11,20000,18,56,0.7778,0.7778,0.7778,0.6111,0.1111
N06-Shubert2D,MC-ESO,current,12,20000,18,55,0.8889,0.8889,0.8889,0.7222,0.1667
N06-Shubert2D,MC-ESO,current,13,20000,18,56,0.8889,0.8889,0.8889,0.7778,0.1111
N06-Shubert2D,MC-ESO,current,14,20000,18,56,0.8333,0.8333,0.8333,0.7778,0.1111
N06-Shubert2D,NMMSO,current,0,20000,18,77,0.7778,0.6667,0.6667,0.6667,0.6667
N06-Shubert2D,NMMSO,current,1,20000,18,70,0.8889,0.8333,0.8333,0.7222,0.7222
N06-Shubert2D,NMMSO,current,2,20000,18,72,0.8889,0.8333,0.7778,0.7222,0.5556
N06-Shubert2D,NMMSO,current,3,20000,18,57,0.9444,0.9444,0.8333,0.6667,0.4444
N06-Shubert2D,NMMSO,current,4,20000,18,61,0.7778,0.7778,0.7222,0.7222,0.6111
N06-Shubert2D,NMMSO,current,5,20000,18,60,0.9444,0.8889,0.8333,0.8333,0.8333
N06-Shubert2D,NMMSO,current,6,20000,18,63,1.0000,0.9444,0.9444,0.8889,0.7778
N06-Shubert2D,NMMSO,current,7,20000,18,69,0.9444,0.9444,0.9444,0.9444,0.6667
N06-Shubert2D,NMMSO,current,8,20000,18,80,0.9444,0.8889,0.8889,0.7778,0.7778
N06-Shubert2D,NMMSO,current,9,20000,18,66,0.9444,0.8889,0.7778,0.7222,0.6111
N06-Shubert2D,NMMSO,current,10,20000,18,66,0.8889,0.8889,0.8889,0.8889,0.8333
N06-Shubert2D,NMMSO,current,11,20000,18,72,0.9444,0.8889,0.8889,0.8333,0.8333
N06-Shubert2D,NMMSO,current,12,20000,18,67,0.8889,0.8333,0.6667,0.6667,0.6111
N06-Shubert2D,NMMSO,current,13,20000,18,60,0.7222,0.7222,0.7222,0.7222,0.7222
N06-Shubert2D,NMMSO,current,14,20000,18,67,0.8889,0.8889,0.8889,0.8333,0.7222
N08-Shubert3D,MC-ESO,current,0,40000,81,82,0.3210,0.3086,0.0494,0.0123,0.0123
N08-Shubert3D,MC-ESO,current,1,40000,81,79,0.3333,0.3333,0.1235,0.0123,0.0123
N08-Shubert3D,MC-ESO,current,2,40000,81,80,0.3457,0.3457,0.1605,0.0123,0.0123
N08-Shubert3D,MC-ESO,current,3,40000,81,79,0.3704,0.3580,0.1235,0.0123,0.0123
N08-Shubert3D,MC-ESO,current,4,40000,81,78,0.3333,0.3333,0.1481,0.0370,0.0123
N08-Shubert3D,MC-ESO,current,5,40000,81,79,0.3704,0.3704,0.1111,0.0123,0.0123
N08-Shubert3D,MC-ESO,current,6,40000,81,79,0.3333,0.3333,0.0864,0.0123,0.0123
N08-Shubert3D,MC-ESO,current,7,40000,81,81,0.2840,0.2840,0.1235,0.0123,0.0123
N08-Shubert3D,MC-ESO,current,8,40000,81,81,0.3333,0.3333,0.1358,0.0247,0.0123
