function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
N08-Shubert3D,MC-ESO-rel,current,0,400000,81,162,0.8765,0.8765,0.8765,0.8765,0.7531
N08-Shubert3D,MC-ESO-rel,current,1,400000,81,162,0.8395,0.8395,0.8395,0.8395,0.7531
N08-Shubert3D,MC-ESO-rel,current,2,400000,81,162,0.8519,0.8519,0.8519,0.8519,0.8025
N08-Shubert3D,MC-ESO-rel,current,3,400000,81,162,0.8765,0.8765,0.8765,0.8765,0.4815
N08-Shubert3D,MC-ESO-rel,current,4,400000,81,162,0.8272,0.8272,0.8272,0.8272,0.8025
N08-Shubert3D,MC-ESO-rel,current,5,400000,81,162,0.8765,0.8765,0.8765,0.8765,0.8272
N08-Shubert3D,MC-ESO-rel,current,6,400000,81,162,0.8889,0.8889,0.8889,0.8889,0.7654
N08-Shubert3D,MC-ESO-rel,current,7,400000,81,162,0.8519,0.8519,0.8519,0.8519,0.8148
N08-Shubert3D,MC-ESO-rel,current,8,400000,81,162,0.8272,0.8272,0.8272,0.8272,0.7160
N08-Shubert3D,MC-ESO-rel,current,9,400000,81,162,0.8642,0.8642,0.8642,0.8642,0.7901
N08-Shubert3D,MC-ESO-rel,current,10,400000,81,162,0.8272,0.8272,0.8272,0.8272,0.7531
N08-Shubert3D,MC-ESO-rel,current,11,400000,81,162,0.8642,0.8642,0.8642,0.8642,0.7901
N08-Shubert3D,MC-ESO-rel,current,12,400000,81,162,0.8519,0.8519,0.8519,0.8519,0.7284
N08-Shubert3D,MC-ESO-rel,current,13,400000,81,162,0.9012,0.9012,0.9012,0.9012,0.7654
N08-Shubert3D,MC-ESO-rel,current,14,400000,81,162,0.8765,0.8765,0.8765,0.8765,0.7654
