function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
N08-Shubert3D,MC-ESO,current,0,400000,81,162,0.8765,0.8765,0.6543,0.0741,0.0123
N08-Shubert3D,MC-ESO,current,1,400000,81,162,0.8395,0.8395,0.7037,0.0247,0.0123
N08-Shubert3D,MC-ESO,current,2,400000,81,162,0.7778,0.7778,0.7284,0.0494,0.0123
N08-Shubert3D,MC-ESO,current,3,400000,81,162,0.8519,0.8519,0.7531,0.0617,0.0123
N08-Shubert3D,MC-ESO,current,4,400000,81,162,0.8642,0.8642,0.6543,0.0864,0.0123
N08-Shubert3D,MC-ESO,current,5,400000,81,162,0.7901,0.7901,0.7160,0.0494,0.0123
N08-Shubert3D,MC-ESO,current,6,400000,81,162,0.8395,0.8395,0.7037,0.0370,0.0123
N08-Shubert3D,MC-ESO,current,7,400000,81,162,0.8642,0.8642,0.7531,0.0494,0.0123
N08-Shubert3D,MC-ESO,current,8,400000,81,162,0.8889,0.8889,0.8148,0.0741,0.0123
N08-Shubert3D,MC-ESO,current,9,400000,81,162,0.8272,0.8272,0.5802,0.0494,0.0247
N08-Shubert3D,MC-ESO,current,10,400000,81,162,0.8272,0.8272,0.7160,0.0741,0.0123
N08-Shubert3D,MC-ESO,current,11,400000,81,162,0.8519,0.8519,0.6296,0.0370,0.0123
N08-Shubert3D,MC-ESO,current,12,400000,81,162,0.8272,0.8272,0.7037,0.0370,0.0123
N08-Shubert3D,MC-ESO,current,13,400000,81,162,0.8148,0.8148,0.5802,0.0370,0.0123
N08-Shubert3D,MC-ESO,current,14,400000,81,162,0.8765,0.8765,0.6420,0.0494,0.0123
