function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
N08-Shubert3D,MC-ESO-rel6,current,0,400000,81,162,0.8395,0.8395,0.8395,0.8395,0.8025
N08-Shubert3D,MC-ESO-rel6,current,1,400000,81,162,0.8025,0.8025,0.8025,0.8025,0.7654
N08-Shubert3D,MC-ESO-rel6,current,2,400000,81,162,0.8395,0.8395,0.8395,0.8395,0.7778
N08-Shubert3D,MC-ESO-rel6,current,3,400000,81,162,0.8025,0.8025,0.8025,0.8025,0.5185
N08-Shubert3D,MC-ESO-rel6,current,4,400000,81,162,0.7901,0.7901,0.7901,0.7901,0.6790
N08-Shubert3D,MC-ESO-rel6,current,5,400000,81,162,0.8889,0.8889,0.8889,0.8889,0.8148
N08-Shubert3D,MC-ESO-rel6,current,6,400000,81,162,0.7778,0.7778,0.7778,0.7778,0.7037
N08-Shubert3D,MC-ESO-rel6,current,7,400000,81,162,0.7901,0.7901,0.7901,0.7901,0.6543
N08-Shubert3D,MC-ESO-rel6,current,8,400000,81,162,0.8519,0.8519,0.8519,0.8519,0.8025
N08-Shubert3D,MC-ESO-rel6,current,9,400000,81,162,0.8642,0.8642,0.8642,0.8642,0.7284
N08-Shubert3D,MC-ESO-rel6,current,10,400000,81,162,0.7901,0.7901,0.7901,0.7901,0.7160
N08-Shubert3D,MC-ESO-rel6,current,11,400000,81,162,0.7778,0.7778,0.7778,0.7778,0.7654
N08-Shubert3D,MC-ESO-rel6,current,12,400000,81,162,0.8025,0.8025,0.8025,0.8025,0.7531
N08-Shubert3D,MC-ESO-rel6,current,13,400000,81,162,0.8519,0.8519,0.8519,0.8519,0.7160
N08-Shubert3D,MC-ESO-rel6,current,14,400000,81,162,0.8519,0.8519,0.8519,0.8519,0.7037
