seed,f,source,kind,near_deep,released,level_ok,sigma_floor_ok,stagnated,basin_best,level,sigma_over_floor,no_improve,stag_need,spill_i,spill_evals,binding,hunt_start,first_sigma,first_level,first_stag
0,1.003884e-05,sol_archive,depth,0,True,False,True,True,1.003884e-05,1.000e-05,1.449,720,225,36,28753,depth,28038,28753,,28258
0,1.060986e-05,sol_archive,depth,0,True,False,True,True,1.060986e-05,1.000e-05,1.449,720,225,160,120243,depth,119528,120243,,119748
0,1.076740e-05,sol_archive,depth,0,True,False,True,True,1.076740e-05,1.000e-05,1.449,720,225,414,307533,depth,306818,307533,,307038
0,1.098132e-05,sol_archive,depth,0,True,False,True,True,1.098132e-05,1.000e-05,1.449,720,225,463,343738,depth,343023,343738,,343243
0,1.123075e-05,sol_archive,depth,0,True,False,True,True,1.123075e-05,1.000e-05,1.449,720,225,481,356988,depth,356273,356988,,356493
0,1.219524e-05,sol_archive,depth,0,True,False,True,True,1.219524e-05,1.000e-05,1.449,720,225,462,342998,depth,342283,342998,,342503
0,1.255115e-05,sol_archive,depth,0,True,False,True,True,1.255115e-05,1.000e-05,1.449,720,225,347,258153,depth,257438,258153,,257658
0,1.304079e-05,sol_archive,depth,0,True,False,True,True,1.304079e-05,1.000e-05,1.449,720,225,503,373248,depth,372533,373248,,372753
0,1.325744e-05,sol_archive,depth,0,True,False,True,True,1.325744e-05,1.000e-05,1.449,720,225,214,160033,depth,159318,160033,,159538
0,1.629907e-05,sol_archive,depth,0,True,False,True,True,1.629907e-05,1.000e-05,1.449,720,225,154,115803,depth,115088,115803,,115308
1,1.017536e-05,sol_archive,depth,0,True,False,True,True,1.017536e-05,1.000e-05,1.449,720,225,61,48940,depth,48225,48940,,48445
1,1.124680e-05,sol_archive,depth,0,True,False,True,True,1.124680e-05,1.000e-05,1.449,720,225,365,273090,depth,272375,273090,,272595
1,1.164708e-05,sol_archive,depth,0,True,False,True,True,1.164708e-05,1.000e-05,1.449,720,225,159,121185,depth,120470,121185,,120690
1,1.177092e-05,sol_archive,depth,0,True,False,True,True,1.177092e-05,1.000e-05,1.449,720,225,220,166080,depth,165365,166080,,165585
1,1.243297e-05,sol_archive,depth,0,True,False,True,True,1.243297e-05,1.000e-05,1.449,720,225,345,258350,depth,257635,258350,,257855
1,1.318747e-05,sol_archive,depth,0,True,False,True,True,1.318747e-05,1.000e-05,1.449,720,225,510,380010,depth,379295,380010,,379515
1,1.396448e-05,sol_archive,depth,0,True,False,True,True,1.396448e-05,1.000e-05,1.449,720,225,49,40095,depth,39380,40095,,39600
2,1.032585e-05,sol_archive,depth,0,True,False,True,True,1.032585e-05,1.000e-05,1.449,720,225,405,301625,depth,300910,301625,,301130
2,1.080000e-05,sol_archive,depth,0,True,False,True,True,1.080000e-05,1.000e-05,1.449,720,225,65,50995,depth,50280,50995,,50500
2,1.232127e-05,sol_archive,depth,0,True,False,True,True,1.232127e-05,1.000e-05,1.449,720,225,20,17895,depth,17180,17895,,17400
2,1.247514e-05,sol_archive,depth,0,True,False,True,True,1.247514e-05,1.000e-05,1.449,720,225,353,263285,depth,262570,263285,,262790
