seed,f,source,kind,near_deep,released,level_ok,sigma_floor_ok,stagnated,basin_best,level,sigma_over_floor,no_improve,stag_need,spill_i,spill_evals,binding,hunt_start,first_sigma,first_level,first_stag
5,1.056582e-05,sol_archive,depth,0,True,False,True,True,1.056582e-05,1.000e-05,1.449,720,225,448,333945,depth,333230,333945,,333450
5,1.240836e-05,sol_archive,depth,0,True,False,True,True,1.240836e-05,1.000e-05,1.449,720,225,354,264660,depth,263945,264660,,264165
5,1.242535e-05,sol_archive,depth,0,True,False,True,True,1.242535e-05,1.000e-05,1.449,720,225,111,85565,depth,84850,85565,,85070
5,1.371994e-05,sol_archive,depth,0,True,False,True,True,1.371994e-05,1.000e-05,1.449,720,225,115,88525,depth,87810,88525,,88030
6,1.042610e-05,sol_archive,depth,0,True,False,True,True,1.042610e-05,1.000e-05,1.449,720,225,307,230405,depth,229690,230405,,229910
6,1.103966e-05,sol_archive,depth,0,True,False,True,True,1.103966e-05,1.000e-05,1.449,720,225,344,257680,depth,256965,257680,,257185
6,1.118018e-05,sol_archive,depth,0,True,False,True,True,1.118018e-05,1.000e-05,1.449,720,225,427,318780,depth,318065,318780,,318285
6,1.125963e-05,sol_archive,depth,0,True,False,True,True,1.125963e-05,1.000e-05,1.449,720,225,238,179465,depth,178750,179465,,178970
6,1.139862e-05,sol_archive,depth,0,True,False,True,True,1.139862e-05,1.000e-05,1.449,720,225,365,273095,depth,272380,273095,,272600
6,1.196476e-05,sol_archive,depth,0,True,False,True,True,1.196476e-05,1.000e-05,1.449,720,225,317,237750,depth,237035,237750,,237255
6,1.216130e-05,sol_archive,depth,0,True,False,True,True,1.216130e-05,1.000e-05,1.449,720,225,125,96055,depth,95340,96055,,95560
6,1.226863e-05,sol_archive,depth,0,True,False,True,True,1.226863e-05,1.000e-05,1.449,720,225,21,19340,depth,18625,19340,,18845
6,1.232703e-05,sol_archive,depth,0,True,False,True,True,1.232703e-05,1.000e-05,1.449,720,225,160,121840,depth,121125,121840,,121345
6,1.234016e-05,sol_archive,depth,0,True,False,True,True,1.234016e-05,1.000e-05,1.449,720,225,11,11950,depth,11235,11950,,11455
7,1.124369e-05,sol_archive,depth,0,True,False,True,True,1.124369e-05,1.000e-05,1.449,720,225,44,34733,depth,34018,34733,,34238
7,1.151289e-05,sol_archive,depth,0,True,False,True,True,1.151289e-05,1.000e-05,1.449,720,225,182,136563,depth,135848,136563,,136068
7,1.331829e-05,sol_archive,depth,0,True,False,True,True,1.331829e-05,1.000e-05,1.449,720,225,83,63428,depth,62713,63428,,62933
8,1.022533e-05,sol_archive,depth,0,True,False,True,True,1.022533e-05,1.000e-05,1.449,720,225,333,248168,depth,247453,248168,,247673
8,1.025991e-05,sol_archive,depth,0,True,False,True,True,1.025991e-05,1.000e-05,1.449,720,225,308,229848,depth,229133,229848,,229353
8,1.069735e-05,sol_archive,depth,0,True,False,True,True,1.069735e-05,1.000e-05,1.449,720,225,404,300523,depth,299808,300523,,300028
8,1.075112e-05,sol_archive,depth,0,True,False,True,True,1.075112e-05,1.000e-05,1.449,720,225,318,237168,depth,236453,237168,,236673
8,1.089035e-05,sol_archive,depth,0,True,False,True,True,1.089035e-05,1.000e-05,1.449,720,225,281,209953,depth,209238,209953,,209458
8,1.120408e-05,sol_archive,depth,0,True,False,True,True,1.120408e-05,1.000e-05,1.449,720,225,249,186333,depth,185618,186333,,185838
8,1.148520e-05,sol_archive,depth,0,True,False,True,True,1.148520e-05,1.000e-05,1.449,720,225,400,297563,depth,296848,297563,,297068
8,1.189236e-05,sol_archive,depth,0,True,False,True,True,1.189236e-05,1.000e-05,1.449,720,225,317,236428,depth,235713,236428,,235933
8,1.233429e-05,sol_archive,depth,0,True,False,True,True,1.233429e-05,1.000e-05,1.449,720,225,277,206993,depth,206278,206993,,206498
9,1.011436e-05,sol_archive,depth,0,True,False,True,True,1.011436e-05,1.000e-05,1.449,720,225,381,284150,depth,283435,284150,,283655
9,1.062372e-05,sol_archive,depth,0,True,False,True,True,1.062372e-05,1.000e-05,1.449,720,225,337,251720,depth,251005,251720,,251225
9,1.093594e-05,sol_archive,depth,0,True,False,True,True,1.093594e-05,1.000e-05,1.449,720,225,204,153720,depth,153005,153720,,153225
9,1.121883e-05,sol_archive,depth,0,True,False,True,True,1.121883e-05,1.000e-05,1.449,720,225,228,171365,depth,170650,171365,,170870
9,1.141659e-05,sol_archive,depth,0,True,False,True,True,1.141659e-05,1.000e-05,1.449,720,225,241,180860,depth,180145,180860,,180365
9,1.196802e-05,sol_archive,depth,0,True,False,True,True,1.196802e-05,1.000e-05,1.449,720,225,98,75415,depth,74700,75415,,74920
