seed,f,source,kind,near_deep,released,level_ok,sigma_floor_ok,stagnated,basin_best,level,sigma_over_floor,no_improve,stag_need,spill_i,spill_evals,binding,hunt_start,first_sigma,first_level,first_stag
10,1.068696e-05,sol_archive,depth,0,True,False,True,True,1.068696e-05,1.000e-05,1.449,720,225,446,332980,depth,332265,332980,,332485
10,1.071061e-05,sol_archive,depth,0,True,False,True,True,1.071061e-05,1.000e-05,1.449,720,225,121,93355,depth,92640,93355,,92860
10,1.080001e-05,sol_archive,depth,0,True,False,True,True,1.080001e-05,1.000e-05,1.449,720,225,68,54285,depth,53570,54285,,53790
10,1.130276e-05,sol_archive,depth,0,True,False,True,True,1.130276e-05,1.000e-05,1.449,720,225,165,125765,depth,125050,125765,,125270
10,1.199101e-05,sol_archive,depth,0,True,False,True,True,1.199101e-05,1.000e-05,1.449,720,225,156,119130,depth,118415,119130,,118635
10,1.342038e-05,sol_archive,depth,0,True,False,True,True,1.342038e-05,1.000e-05,1.449,720,225,277,208270,depth,207555,208270,,207775
11,1.041405e-05,sol_archive,depth,0,True,False,True,True,1.041405e-05,1.000e-05,1.449,720,225,239,179390,depth,178675,179390,,178895
11,1.066321e-05,sol_archive,depth,0,True,False,True,True,1.066321e-05,1.000e-05,1.449,720,225,319,238375,depth,237660,238375,,237880
11,1.217748e-05,sol_archive,depth,0,True,False,True,True,1.217748e-05,1.000e-05,1.449,720,225,477,354980,depth,354265,354980,,354485
11,1.220012e-05,sol_archive,depth,0,True,False,True,True,1.220012e-05,1.000e-05,1.449,720,225,513,381480,depth,380765,381480,,380985
11,1.236759e-05,sol_archive,depth,0,True,False,True,True,1.236759e-05,1.000e-05,1.449,720,225,523,388855,depth,388140,388855,,388360
11,1.238223e-05,sol_archive,depth,0,True,False,True,True,1.238223e-05,1.000e-05,1.449,720,225,397,295965,depth,295250,295965,,295470
12,1.047019e-05,sol_archive,depth,0,True,False,True,True,1.047019e-05,1.000e-05,1.449,720,225,165,124788,depth,124073,124788,,124293
