function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N08-Shubert3D,81,0.1,0,400000,162,80,68,-1,-1,68,0,162,492,490,492,321,-7.73070496506989e-12
N08-Shubert3D,81,0.1,1,400000,162,77,70,-1,-1,70,0,162,489,489,489,314,-8.185452315956354e-12
N08-Shubert3D,81,0.1,2,400000,162,79,70,-1,-1,70,0,162,490,490,490,319,-8.185452315956354e-12
N08-Shubert3D,81,0.1,3,400000,162,80,70,-1,-1,70,0,162,483,482,483,314,-8.640199666842818e-12
N08-Shubert3D,81,0.1,4,400000,162,80,71,-1,-1,71,0,162,490,490,490,334,-8.185452315956354e-12
N08-Shubert3D,81,0.1,5,400000,162,78,70,-1,-1,70,0,162,490,490,490,310,-8.640199666842818e-12
N08-Shubert3D,81,0.1,6,400000,162,81,74,-1,-1,74,0,162,488,488,488,304,-7.73070496506989e-12
N08-Shubert3D,81,0.1,7,400000,162,78,68,-1,-1,68,0,162,492,490,492,317,-9.094947017729282e-12
N08-Shubert3D,81,0.1,8,400000,162,81,68,-1,-1,68,0,162,492,490,492,319,-8.185452315956354e-12
N08-Shubert3D,81,0.1,9,400000,162,78,69,-1,-1,69,0,162,490,490,490,314,-7.73070496506989e-12
N08-Shubert3D,81,0.1,10,400000,162,79,72,-1,-1,72,0,162,491,491,491,321,-8.640199666842818e-12
N08-Shubert3D,81,0.1,11,400000,162,81,69,-1,-1,69,0,162,490,490,490,319,-8.640199666842818e-12
N08-Shubert3D,81,0.1,12,400000,162,79,65,-1,-1,65,0,162,489,487,489,303,-7.73070496506989e-12
N08-Shubert3D,81,0.1,13,400000,162,80,72,-1,-1,72,0,162,491,490,491,313,-7.73070496506989e-12
N08-Shubert3D,81,0.1,14,400000,162,80,72,-1,-1,72,0,162,491,489,491,322,-8.185452315956354e-12
N08-Shubert3D,81,0.001,0,400000,162,79,68,-1,-1,68,0,162,492,490,492,308,-7.73070496506989e-12
N08-Shubert3D,81,0.001,1,400000,162,77,70,-1,-1,70,0,162,489,489,489,297,-8.185452315956354e-12
N08-Shubert3D,81,0.001,2,400000,162,79,70,-1,-1,70,0,162,490,490,490,301,-8.185452315956354e-12
N08-Shubert3D,81,0.001,3,400000,162,80,70,-1,-1,70,0,162,483,482,483,296,-8.640199666842818e-12
N08-Shubert3D,81,0.001,4,400000,162,80,71,-1,-1,71,0,162,490,490,490,316,-8.185452315956354e-12
N08-Shubert3D,81,0.001,5,400000,162,78,70,-1,-1,70,0,162,490,490,490,298,-8.640199666842818e-12
N08-Shubert3D,81,0.001,6,400000,162,81,74,-1,-1,74,0,162,488,488,488,286,-7.73070496506989e-12
N08-Shubert3D,81,0.001,7,400000,162,78,68,-1,-1,68,0,162,492,490,492,301,-9.094947017729282e-12
N08-Shubert3D,81,0.001,8,400000,162,80,68,-1,-1,68,0,162,492,490,492,304,-8.185452315956354e-12
N08-Shubert3D,81,0.001,9,400000,162,77,69,-1,-1,69,0,162,490,490,490,298,-7.73070496506989e-12
N08-Shubert3D,81,0.001,10,400000,162,79,72,-1,-1,72,0,162,491,491,491,307,-8.640199666842818e-12
N08-Shubert3D,81,0.001,11,400000,162,81,69,-1,-1,69,0,162,490,490,490,299,-8.640199666842818e-12
N08-Shubert3D,81,0.001,12,400000,162,79,65,-1,-1,65,0,162,489,487,489,287,-7.73070496506989e-12
N08-Shubert3D,81,0.001,13,400000,162,80,72,-1,-1,72,0,162,491,490,491,301,-7.73070496506989e-12
N08-Shubert3D,81,0.001,14,400000,162,80,72,-1,-1,72,0,162,491,489,491,304,-8.185452315956354e-12
N08-Shubert3D,81,0.0001,0,400000,162,79,68,-1,-1,68,0,162,492,490,492,293,-7.73070496506989e-12
N08-Shubert3D,81,0.0001,1,400000,162,77,70,-1,-1,70,0,162,489,489,489,279,-8.185452315956354e-12
N08-Shubert3D,81,0.0001,2,400000,162,78,70,-1,-1,70,0,162,490,490,490,285,-8.185452315956354e-12
N08-Shubert3D,81,0.0001,3,400000,162,78,70,-1,-1,70,0,162,483,482,483,281,-8.640199666842818e-12
N08-Shubert3D,81,0.0001,4,400000,162,80,71,-1,-1,71,0,162,490,490,490,302,-8.185452315956354e-12
N08-Shubert3D,81,0.0001,5,400000,162,78,70,-1,-1,70,0,162,490,490,490,282,-8.640199666842818e-12
N08-Shubert3D,81,0.0001,6,400000,162,81,74,-1,-1,74,0,162,488,488,488,275,-7.73070496506989e-12
N08-Shubert3D,81,0.0001,7,400000,162,78,68,-1,-1,68,0,162,492,490,492,287,-9.094947017729282e-12
N08-Shubert3D,81,0.0001,8,400000,162,79,68,-1,-1,68,0,162,492,490,492,294,-8.185452315956354e-12
N08-Shubert3D,81,0.0001,9,400000,162,76,69,-1,-1,69,0,162,490,490,490,283,-7.73070496506989e-12
N08-Shubert3D,81,0.0001,10,400000,162,79,72,-1,-1,72,0,162,491,491,491,293,-8.640199666842818e-12
N08-Shubert3D,81,0.0001,11,400000,162,81,69,-1,-1,69,0,162,490,490,490,291,-8.640199666842818e-12
N08-Shubert3D,81,0.0001,12,400000,162,78,65,-1,-1,65,0,162,489,487,489,275,-7.73070496506989e-12
N08-Shubert3D,81,0.0001,13,400000,162,80,72,-1,-1,72,0,162,491,490,491,290,-7.73070496506989e-12
N08-Shubert3D,81,0.0001,14,400000,162,80,72,-1,-1,72,0,162,491,489,491,294,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,0,400000,162,76,68,-1,-1,68,0,162,492,490,492,271,-7.73070496506989e-12
N08-Shubert3D,81,1e-05,1,400000,162,76,70,-1,-1,70,0,162,489,489,489,262,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,2,400000,162,78,70,-1,-1,70,0,162,490,490,490,268,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,3,400000,162,78,70,-1,-1,70,0,162,483,482,483,257,-8.640199666842818e-12
N08-Shubert3D,81,1e-05,4,400000,162,79,71,-1,-1,71,0,162,490,490,490,278,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,5,400000,162,78,70,-1,-1,70,0,162,490,490,490,268,-8.640199666842818e-12
