function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N08-Shubert3D,81,0.1,0,400000,162,80,66,-1,-1,66,0,162,532,530,532,337,-7.73070496506989e-12
N08-Shubert3D,81,0.1,1,400000,162,81,67,-1,-1,67,0,162,530,530,530,362,-5.9117155615240335e-12
N08-Shubert3D,81,0.1,2,400000,162,80,68,-1,-1,68,0,162,530,530,530,331,-8.185452315956354e-12
N08-Shubert3D,81,0.1,3,400000,162,79,70,-1,-1,70,0,162,528,527,528,367,-8.185452315956354e-12
N08-Shubert3D,81,0.1,4,400000,162,81,69,-1,-1,69,0,162,529,529,529,354,-8.185452315956354e-12
N08-Shubert3D,81,0.1,5,400000,162,77,69,-1,-1,69,0,162,529,529,529,334,-8.640199666842818e-12
N08-Shubert3D,81,0.1,6,400000,162,80,69,-1,-1,69,0,162,529,529,529,317,-5.9117155615240335e-12
N08-Shubert3D,81,0.1,7,400000,162,80,70,-1,-1,70,0,162,532,530,532,335,-9.094947017729282e-12
N08-Shubert3D,81,0.1,8,400000,162,80,67,-1,-1,67,0,162,532,530,532,349,-5.9117155615240335e-12
N08-Shubert3D,81,0.1,9,400000,162,80,72,-1,-1,72,0,162,531,531,531,350,2.091837814077735e-11
N08-Shubert3D,81,0.1,10,400000,162,79,67,-1,-1,67,0,162,529,529,529,354,-3.183231456205249e-12
N08-Shubert3D,81,0.1,11,400000,162,77,69,-1,-1,69,0,162,530,530,530,292,-5.9117155615240335e-12
N08-Shubert3D,81,0.1,12,400000,162,79,68,-1,-1,68,0,162,531,529,531,335,2.2737367544323206e-12
N08-Shubert3D,81,0.1,13,400000,162,79,68,-1,-1,68,0,162,531,530,531,338,-6.366462912410498e-12
N08-Shubert3D,81,0.1,14,400000,162,75,67,-1,-1,67,0,162,530,528,530,333,-8.185452315956354e-12
N08-Shubert3D,81,0.001,0,400000,162,80,66,-1,-1,66,0,162,532,530,532,314,-7.73070496506989e-12
N08-Shubert3D,81,0.001,1,400000,162,80,67,-1,-1,67,0,162,530,530,530,339,-5.9117155615240335e-12
N08-Shubert3D,81,0.001,2,400000,162,79,68,-1,-1,68,0,162,530,530,530,315,-8.185452315956354e-12
N08-Shubert3D,81,0.001,3,400000,162,78,70,-1,-1,70,0,162,528,527,528,339,-8.185452315956354e-12
N08-Shubert3D,81,0.001,4,400000,162,81,69,-1,-1,69,0,162,529,529,529,343,-8.185452315956354e-12
N08-Shubert3D,81,0.001,5,400000,162,77,69,-1,-1,69,0,162,529,529,529,323,-8.640199666842818e-12
N08-Shubert3D,81,0.001,6,400000,162,79,69,-1,-1,69,0,162,529,529,529,292,-5.9117155615240335e-12
N08-Shubert3D,81,0.001,7,400000,162,80,70,-1,-1,70,0,162,532,530,532,322,-9.094947017729282e-12
