function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f,reported_uncapped,distinct_uncapped,n_reported_pts_uncapped
N09-Vincent3D,216,0.1,0,400000,432,216,34,-1,-1,34,0,226,679,679,679,679,0.0,34,34,226
N09-Vincent3D,216,0.1,1,400000,432,216,46,-1,-1,46,0,226,700,700,700,700,0.0,46,46,226
N09-Vincent3D,216,0.1,2,400000,432,216,39,-1,-1,39,0,226,638,638,638,638,0.0,39,39,226
N09-Vincent3D,216,0.1,3,400000,432,216,42,-1,-1,42,0,226,685,685,685,685,0.0,42,42,226
N09-Vincent3D,216,0.1,4,400000,432,216,48,-1,-1,57,9,226,700,700,700,700,0.0,48,57,226
N09-Vincent3D,216,0.001,0,400000,432,59,34,-1,-1,34,0,226,679,679,679,672,0.0,34,34,226
N09-Vincent3D,216,0.001,1,400000,432,75,37,-1,-1,46,9,226,700,700,700,689,0.0,37,46,226
N09-Vincent3D,216,0.001,2,400000,432,62,39,-1,-1,39,0,226,638,638,638,621,0.0,39,39,226
N09-Vincent3D,216,0.001,3,400000,432,65,42,-1,-1,42,0,226,685,685,685,670,0.0,42,42,226
N09-Vincent3D,216,0.001,4,400000,432,63,40,-1,-1,57,17,226,700,700,700,685,0.0,40,57,226
N09-Vincent3D,216,1e-05,0,400000,432,57,33,-1,-1,34,1,226,679,679,679,652,0.0,33,34,226
N09-Vincent3D,216,1e-05,1,400000,432,62,37,-1,-1,46,9,226,700,700,700,646,0.0,37,46,226
N09-Vincent3D,216,1e-05,2,400000,432,57,39,-1,-1,39,0,226,638,638,638,575,0.0,39,39,226
N09-Vincent3D,216,1e-05,3,400000,432,61,42,-1,-1,42,0,226,685,685,685,650,0.0,42,42,226
N09-Vincent3D,216,1e-05,4,400000,432,58,40,-1,-1,57,17,226,700,700,700,651,0.0,40,57,226
