function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f,reported_uncapped,distinct_uncapped,n_reported_pts_uncapped
N09-Vincent3D,216,0.1,10,40000,432,216,26,-1,-1,26,0,88,62,62,62,62,0.0,26,26,88
N09-Vincent3D,216,0.1,11,40000,432,216,25,-1,-1,25,0,91,65,65,65,65,0.0,25,25,91
N09-Vincent3D,216,0.1,12,40000,432,216,23,-1,-1,23,0,82,56,56,56,56,0.0,23,23,82
N09-Vincent3D,216,0.1,13,40000,432,216,23,-1,-1,43,20,90,64,64,64,64,0.0,23,43,90
N09-Vincent3D,216,0.1,14,40000,432,216,29,-1,-1,29,0,90,64,64,64,64,0.0,29,29,90
N09-Vincent3D,216,0.001,10,40000,432,26,26,-1,-1,26,0,88,62,62,62,61,0.0,26,26,88
N09-Vincent3D,216,0.001,11,40000,432,27,25,-1,-1,25,0,91,65,65,65,65,0.0,25,25,91
N09-Vincent3D,216,0.001,12,40000,432,24,23,-1,-1,23,0,82,56,56,56,55,0.0,23,23,82
N09-Vincent3D,216,0.001,13,40000,432,23,23,-1,-1,43,20,90,64,64,64,63,0.0,23,43,90
N09-Vincent3D,216,0.001,14,40000,432,24,23,-1,-1,29,6,90,64,64,64,63,0.0,23,29,90
N09-Vincent3D,216,1e-05,10,40000,432,25,25,-1,-1,26,1,88,62,62,62,59,0.0,25,26,88
N09-Vincent3D,216,1e-05,11,40000,432,23,23,-1,-1,25,2,91,65,65,65,63,0.0,23,25,91
N09-Vincent3D,216,1e-05,12,40000,432,21,21,-1,-1,23,2,82,56,56,56,50,0.0,21,23,82
N09-Vincent3D,216,1e-05,13,40000,432,23,23,-1,-1,43,20,90,64,64,64,60,0.0,23,43,90
N09-Vincent3D,216,1e-05,14,40000,432,22,22,-1,-1,29,7,90,64,64,64,60,0.0,22,29,90
