function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f,reported_uncapped,distinct_uncapped,n_reported_pts_uncapped
N07-Vincent2D,36,0.1,0,200000,100,36,9,-1,-1,9,0,100,424,424,424,424,0.0,17,17,226
N07-Vincent2D,36,0.1,1,200000,100,36,10,-1,-1,10,0,100,391,391,391,391,0.0,22,33,226
N07-Vincent2D,36,0.1,2,200000,100,36,11,-1,-1,11,0,100,371,371,371,371,0.0,16,35,226
N07-Vincent2D,36,0.1,3,200000,100,36,9,-1,-1,9,0,100,391,391,391,391,0.0,14,14,226
N07-Vincent2D,36,0.1,4,200000,100,36,11,-1,-1,11,0,100,381,381,381,381,0.0,20,20,226
N07-Vincent2D,36,0.001,0,200000,100,18,9,-1,-1,9,0,100,424,424,424,424,0.0,17,17,226
N07-Vincent2D,36,0.001,1,200000,100,23,10,-1,-1,10,0,100,391,391,391,391,0.0,17,33,226
N07-Vincent2D,36,0.001,2,200000,100,19,11,-1,-1,11,0,100,371,371,371,371,0.0,16,35,226
N07-Vincent2D,36,0.001,3,200000,100,24,9,-1,-1,9,0,100,391,391,391,391,0.0,14,14,226
N07-Vincent2D,36,0.001,4,200000,100,25,11,-1,-1,11,0,100,381,381,381,381,0.0,19,20,226
N07-Vincent2D,36,1e-05,0,200000,100,17,9,-1,-1,9,0,100,424,424,424,424,0.0,17,17,226
N07-Vincent2D,36,1e-05,1,200000,100,17,10,-1,-1,10,0,100,391,391,391,390,0.0,17,33,226
N07-Vincent2D,36,1e-05,2,200000,100,16,11,-1,-1,11,0,100,371,371,371,370,0.0,16,35,226
N07-Vincent2D,36,1e-05,3,200000,100,14,9,-1,-1,9,0,100,391,391,391,391,0.0,14,14,226
N07-Vincent2D,36,1e-05,4,200000,100,19,11,-1,-1,11,0,100,381,381,381,378,0.0,18,20,226
