function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f,reported_uncapped,distinct_uncapped,n_reported_pts_uncapped
N09-Vincent3D,216,0.1,10,400000,432,216,54,-1,-1,54,0,432,669,669,669,669,0.0,66,66,695
N09-Vincent3D,216,0.1,11,400000,432,216,47,-1,-1,47,0,432,685,685,685,685,0.0,65,82,711
N09-Vincent3D,216,0.1,12,400000,432,216,54,-1,-1,54,0,432,607,607,607,607,0.0,75,75,633
N09-Vincent3D,216,0.1,13,400000,432,216,50,-1,-1,50,0,432,686,686,686,686,0.0,64,64,712
N09-Vincent3D,216,0.1,14,400000,432,216,50,-1,-1,50,0,432,700,700,700,700,0.0,76,76,726
N09-Vincent3D,216,0.001,10,400000,432,68,54,-1,-1,54,0,432,669,669,669,659,0.0,63,66,695
N09-Vincent3D,216,0.001,11,400000,432,62,47,-1,-1,47,0,432,685,685,685,668,0.0,61,82,711
N09-Vincent3D,216,0.001,12,400000,432,66,54,-1,-1,54,0,432,607,607,607,595,0.0,66,75,633
N09-Vincent3D,216,0.001,13,400000,432,64,50,-1,-1,50,0,432,686,686,686,671,0.0,62,64,712
N09-Vincent3D,216,0.001,14,400000,432,66,50,-1,-1,50,0,432,700,700,700,684,0.0,63,76,726
N09-Vincent3D,216,1e-05,10,400000,432,62,54,-1,-1,54,0,432,669,669,669,633,0.0,62,66,695
N09-Vincent3D,216,1e-05,11,400000,432,52,47,-1,-1,47,0,432,685,685,685,639,0.0,52,82,711
N09-Vincent3D,216,1e-05,12,400000,432,62,54,-1,-1,54,0,432,607,607,607,564,0.0,62,75,633
N09-Vincent3D,216,1e-05,13,400000,432,59,50,-1,-1,50,0,432,686,686,686,648,0.0,59,64,712
N09-Vincent3D,216,1e-05,14,400000,432,58,50,-1,-1,50,0,432,700,700,700,645,0.0,58,76,726
