function,seed,div_ev,bank_ev,base_best_f,var_best_f,base_succ_ev,var_succ_ev,same
F02-EllipsoidalSep,0,-1,1423,0.0,0.0,978,978,True
F02-EllipsoidalSep,1,-1,1394,0.0,0.0,929,929,True
F02-EllipsoidalSep,2,-1,1464,0.0,0.0,958,958,True
F02-EllipsoidalSep,3,-1,1333,0.0,0.0,819,819,True
F02-EllipsoidalSep,4,-1,1318,0.0,0.0,983,983,True
F02-EllipsoidalSep,5,-1,1199,0.0,0.0,944,944,True
F02-EllipsoidalSep,6,-1,1324,0.0,0.0,942,942,True
F02-EllipsoidalSep,7,-1,1443,0.0,0.0,978,978,True
F02-EllipsoidalSep,8,-1,1329,0.0,0.0,927,927,True
F02-EllipsoidalSep,9,-1,1399,0.0,0.0,938,938,True
F02-EllipsoidalSep,10,-1,1434,0.0,0.0,914,914,True
F02-EllipsoidalSep,11,-1,1428,0.0,0.0,1003,1003,True
F02-EllipsoidalSep,12,-1,1354,0.0,0.0,1014,1014,True
F02-EllipsoidalSep,13,-1,1489,0.0,0.0,1017,1017,True
F02-EllipsoidalSep,14,-1,1294,0.0,0.0,1126,1126,True
F02-EllipsoidalSep,15,-1,1568,0.0,0.0,974,974,True
F02-EllipsoidalSep,16,-1,1259,0.0,0.0,844,844,True
F02-EllipsoidalSep,17,-1,1448,0.0,0.0,1088,1088,True
F02-EllipsoidalSep,18,-1,1469,0.0,0.0,958,958,True
F02-EllipsoidalSep,19,-1,1504,0.0,0.0,988,988,True
F05-LinearSlope,0,-1,222,0.0,0.0,222,222,True
F05-LinearSlope,1,-1,151,0.0,0.0,151,151,True
F05-LinearSlope,2,-1,407,0.0,0.0,407,407,True
F05-LinearSlope,3,-1,396,0.0,0.0,396,396,True
F05-LinearSlope,4,-1,746,0.0,0.0,746,746,True
F05-LinearSlope,5,-1,341,0.0,0.0,341,341,True
F05-LinearSlope,6,-1,296,0.0,0.0,296,296,True
F05-LinearSlope,7,-1,421,0.0,0.0,421,421,True
F05-LinearSlope,8,-1,342,0.0,0.0,342,342,True
F05-LinearSlope,9,-1,332,0.0,0.0,332,332,True
F05-LinearSlope,10,-1,466,0.0,0.0,466,466,True
F05-LinearSlope,11,-1,620,0.0,0.0,620,620,True
F05-LinearSlope,12,-1,297,0.0,0.0,297,297,True
