function,seed,div_ev,bank_ev,base_best_f,var_best_f,base_succ_ev,var_succ_ev,same
F01-Sphere,0,-1,1619,0.0,0.0,1363,1363,True
F01-Sphere,1,-1,907,0.0,0.0,717,717,True
F01-Sphere,2,-1,836,0.0,0.0,596,596,True
F01-Sphere,3,-1,1641,0.0,0.0,656,656,True
F01-Sphere,4,-1,1368,0.0,0.0,616,616,True
F01-Sphere,5,-1,976,0.0,0.0,737,737,True
F01-Sphere,6,-1,886,0.0,0.0,681,681,True
F01-Sphere,7,-1,816,0.0,0.0,667,667,True
F01-Sphere,8,-1,966,0.0,0.0,652,652,True
F01-Sphere,9,-1,1189,0.0,0.0,566,566,True
F01-Sphere,10,-1,929,0.0,0.0,706,706,True
F01-Sphere,11,-1,897,0.0,0.0,651,651,True
F01-Sphere,12,-1,906,0.0,0.0,616,616,True
F01-Sphere,13,-1,922,0.0,0.0,567,567,True
F01-Sphere,14,-1,1012,0.0,0.0,642,642,True
F01-Sphere,15,-1,893,0.0,0.0,536,536,True
F01-Sphere,16,-1,971,0.0,0.0,672,672,True
F01-Sphere,17,-1,1006,0.0,0.0,652,652,True
F01-Sphere,18,-1,812,0.0,0.0,572,572,True
F01-Sphere,19,-1,1041,0.0,0.0,651,651,True
F02-EllipsoidalSep,0,-1,1423,0.0,0.0,978,978,True
F02-EllipsoidalSep,1,-1,1394,0.0,0.0,929,929,True
F02-EllipsoidalSep,2,-1,1464,0.0,0.0,958,958,True
F02-EllipsoidalSep,3,-1,1333,0.0,0.0,819,819,True
F02-EllipsoidalSep,4,-1,1318,0.0,0.0,983,983,True
F02-EllipsoidalSep,5,-1,1199,0.0,0.0,944,944,True
F02-EllipsoidalSep,6,-1,1324,0.0,0.0,942,942,True
F02-EllipsoidalSep,7,-1,1443,0.0,0.0,978,978,True
F02-EllipsoidalSep,8,-1,1329,0.0,0.0,927,927,True
F02-EllipsoidalSep,9,-1,1399,0.0,0.0,938,938,True
F02-EllipsoidalSep,10,-1,1434,0.0,0.0,914,914,True
F02-EllipsoidalSep,11,-1,1428,0.0,0.0,1003,1003,True
F02-EllipsoidalSep,12,-1,1354,0.0,0.0,1014,1014,True
F02-EllipsoidalSep,13,-1,1489,0.0,0.0,1017,1017,True
F02-EllipsoidalSep,14,-1,1294,0.0,0.0,1126,1126,True
F02-EllipsoidalSep,15,-1,1568,0.0,0.0,974,974,True
F02-EllipsoidalSep,16,-1,1259,0.0,0.0,844,844,True
F02-EllipsoidalSep,17,-1,1448,0.0,0.0,1088,1088,True
F02-EllipsoidalSep,18,-1,1469,0.0,0.0,958,958,True
F02-EllipsoidalSep,19,-1,1504,0.0,0.0,988,988,True
F03-RastriginSep,0,-1,1638,0.0,0.0,1415,1415,True
F03-RastriginSep,1,-1,1517,0.0,0.0,1243,1243,True
F03-RastriginSep,2,-1,1759,0.0,0.0,1584,1584,True
F03-RastriginSep,3,-1,1987,0.0,0.0,1704,1704,True
F03-RastriginSep,4,-1,1198,0.0,0.0,1014,1014,True
F03-RastriginSep,5,-1,2296,5.684341886080802e-14,5.684341886080802e-14,2021,2021,True
F03-RastriginSep,6,-1,1303,0.0,0.0,792,792,True
F03-RastriginSep,7,-1,1243,0.0,0.0,1022,1022,True
F03-RastriginSep,8,-1,1797,0.0,0.0,1423,1423,True
F03-RastriginSep,9,-1,1653,0.0,0.0,1407,1407,True
F03-RastriginSep,10,-1,1248,0.0,0.0,872,872,True
F03-RastriginSep,11,-1,1718,0.0,0.0,1451,1451,True
F03-RastriginSep,12,-1,1229,0.0,0.0,934,934,True
F03-RastriginSep,13,-1,2142,0.0,0.0,1911,1911,True
F03-RastriginSep,14,-1,2178,0.0,0.0,954,954,True
F03-RastriginSep,15,-1,1178,0.0,0.0,929,929,True
F03-RastriginSep,16,-1,1213,0.0,0.0,894,894,True
F03-RastriginSep,17,-1,2226,0.0,0.0,2006,2006,True
F03-RastriginSep,18,-1,2418,0.0,0.0,1719,1719,True
F03-RastriginSep,19,-1,2386,0.0,0.0,2131,2131,True
F04-BucheRastrigin,0,-1,3797,0.0,0.0,3570,3570,True
F04-BucheRastrigin,1,-1,2443,0.0,0.0,2232,2232,True
F04-BucheRastrigin,2,-1,2592,0.0,0.0,2247,2247,True
F04-BucheRastrigin,3,-1,3972,0.0,0.0,3602,3602,True
F04-BucheRastrigin,4,-1,2982,0.0,0.0,2572,2572,True
F04-BucheRastrigin,5,-1,3462,0.0,0.0,3155,3155,True
F04-BucheRastrigin,6,-1,2721,0.0,0.0,2512,2512,True
F04-BucheRastrigin,7,-1,3776,9.250554171558178e-07,9.250554171558178e-07,-1,-1,True
F04-BucheRastrigin,8,-1,1853,0.0,0.0,1338,1338,True
F04-BucheRastrigin,9,-1,1768,0.0,0.0,1313,1313,True
F04-BucheRastrigin,10,-1,3116,0.0,0.0,2761,2761,True
F04-BucheRastrigin,11,-1,3302,0.0,0.0,2837,2837,True
F04-BucheRastrigin,12,-1,3771,0.0,0.0,3522,3522,True
F04-BucheRastrigin,13,-1,2246,1.1368683772161603e-13,1.1368683772161603e-13,1959,1959,True
F04-BucheRastrigin,14,-1,4822,0.0,0.0,4512,4512,True
F04-BucheRastrigin,15,-1,1828,0.0,0.0,1469,1469,True
F04-BucheRastrigin,16,-1,2886,0.0,0.0,2402,2402,True
F04-BucheRastrigin,17,-1,2262,0.0,0.0,2002,2002,True
F04-BucheRastrigin,18,-1,2887,0.0,0.0,2682,2682,True
F04-BucheRastrigin,19,-1,4307,0.0,0.0,3991,3991,True
F05-LinearSlope,0,-1,222,0.0,0.0,222,222,True
F05-LinearSlope,1,-1,151,0.0,0.0,151,151,True
F05-LinearSlope,2,-1,407,0.0,0.0,407,407,True
F05-LinearSlope,3,-1,396,0.0,0.0,396,396,True
F05-LinearSlope,4,-1,746,0.0,0.0,746,746,True
F05-LinearSlope,5,-1,341,0.0,0.0,341,341,True
F05-LinearSlope,6,-1,296,0.0,0.0,296,296,True
F05-LinearSlope,7,-1,421,0.0,0.0,421,421,True
F05-LinearSlope,8,-1,342,0.0,0.0,342,342,True
F05-LinearSlope,9,-1,332,0.0,0.0,332,332,True
F05-LinearSlope,10,-1,466,0.0,0.0,466,466,True
F05-LinearSlope,11,-1,620,0.0,0.0,620,620,True
F05-LinearSlope,12,-1,297,0.0,0.0,297,297,True
F05-LinearSlope,13,-1,415,0.0,0.0,415,415,True
F05-LinearSlope,14,-1,336,0.0,0.0,336,336,True
F05-LinearSlope,15,-1,331,0.0,0.0,331,331,True
F05-LinearSlope,16,-1,638,0.0,0.0,638,638,True
F05-LinearSlope,17,-1,220,0.0,0.0,220,220,True
F05-LinearSlope,18,-1,990,0.0,0.0,990,990,True
F05-LinearSlope,19,-1,272,0.0,0.0,272,272,True
F06-AttractiveSector,0,-1,2349,0.0,0.0,1648,1648,True
F06-AttractiveSector,1,-1,1589,2.842170943040401e-14,2.842170943040401e-14,1084,1084,True
F06-AttractiveSector,2,-1,1942,4.3341344735381426e-08,4.3341344735381426e-08,-1,-1,True
F06-AttractiveSector,3,-1,2899,7.105427357601002e-15,7.105427357601002e-15,2431,2431,True
F06-AttractiveSector,4,-1,2544,1.4210854715202004e-14,1.4210854715202004e-14,2083,2083,True
