function                  runs  differ  bank<div  med_bank  med_div  same_best_f  same_succ_ev
------------------------------------------------------------------------------------------------
F01-Sphere                  20       0         0       948      nan           20            20
F02-EllipsoidalSep          20       0         0      1411      nan           20            20
F03-RastriginSep            20       0         0      1686      nan           20            20
F04-BucheRastrigin          20       0         0      2934      nan           20            20
F05-LinearSlope             20       0         0       342      nan           20            20
F06-AttractiveSector        20       0         0      2571      nan           20            20
F07-StepEllipsoidal         20       0         0       164      nan           20            20
F08-Rosenbrock              20       0         0      1314      nan           20            20
F09-RosenbrockRot           20       0         0      1264      nan           20            20
F10-EllipsoidalRot          20       0         0      1499      nan           20            20
F11-Discus                  20       0         0      1460      nan           20            20
F12-BentCigar               20       0         0      1322      nan           20            20
F13-SharpRidge              20       0         0      3346      nan           20            20
F14-DiffPowers              20       0         0      2059      nan           20            20
F15-RastriginRot            20       0         0      1600      nan           20            20
F16-Weierstrass             20       0         0      1008      nan           20            20
F17-SchafferF7              20       0         0      2489      nan           20            20
F18-SchafferF7ill           20       0         0      2680      nan           20            20
F19-GriewankRosenbrock      20       0         0      1480      nan           20            20
F20-Schwefel                20       0         0      2556      nan           20            20
F21-Gallagher101            20       0         0       546      nan           20            20
F22-Gallagher21             20       0         0       489      nan           20            20
F23-Katsuura                20       0         0      2512      nan           20            20
F24-LunacekRastrigin        20       0         0      1880      nan           20            20

wrote analysis/hm/e61/bbob_gate_5k.csv (480 rows)
