function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f,reported_uncapped,distinct_uncapped,n_reported_pts_uncapped
N08-Shubert3D,81,0.1,0,400000,162,81,71,-1,-1,71,0,162,581,579,581,366,-7.73070496506989e-12,75,77,226
N08-Shubert3D,81,0.1,1,400000,162,76,68,-1,-1,68,0,162,577,577,577,362,-5.9117155615240335e-12,71,72,226
N08-Shubert3D,81,0.1,2,400000,162,79,63,-1,-1,63,0,162,575,575,575,370,-8.185452315956354e-12,67,68,226
N08-Shubert3D,81,0.1,3,400000,162,81,69,-1,-1,69,0,162,571,570,571,374,-8.185452315956354e-12,72,72,226
N08-Shubert3D,81,0.1,4,400000,162,81,70,-1,-1,70,0,162,580,580,580,381,-8.185452315956354e-12,75,95,226
N08-Shubert3D,81,0.1,5,400000,162,78,64,-1,-1,64,0,162,580,580,580,378,-8.640199666842818e-12,70,86,226
N08-Shubert3D,81,0.1,6,400000,162,79,68,-1,-1,68,0,162,578,578,578,367,-5.9117155615240335e-12,70,75,226
N08-Shubert3D,81,0.1,7,400000,162,79,70,-1,-1,70,0,162,579,577,579,359,-9.094947017729282e-12,74,75,226
N08-Shubert3D,81,0.1,8,400000,162,79,72,-1,-1,72,0,162,578,576,578,371,-5.9117155615240335e-12,77,78,226
N08-Shubert3D,81,0.1,9,400000,162,78,67,-1,-1,67,0,162,578,578,578,361,2.091837814077735e-11,70,90,226
N08-Shubert3D,81,0.1,10,400000,162,78,67,-1,-1,67,0,162,577,577,577,373,-3.183231456205249e-12,73,86,226
N08-Shubert3D,81,0.1,11,400000,162,79,69,-1,-1,69,0,162,577,577,577,350,-5.9117155615240335e-12,73,93,226
N08-Shubert3D,81,0.1,12,400000,162,80,67,-1,-1,67,0,162,578,576,578,372,2.2737367544323206e-12,73,74,226
N08-Shubert3D,81,0.1,13,400000,162,78,66,-1,-1,66,0,162,580,579,580,384,-6.366462912410498e-12,73,73,226
N08-Shubert3D,81,0.1,14,400000,162,81,71,-1,-1,71,0,162,578,576,578,367,-8.185452315956354e-12,74,94,226
N08-Shubert3D,81,0.01,0,400000,162,80,71,-1,-1,71,0,162,581,579,581,360,-7.73070496506989e-12,75,77,226
N08-Shubert3D,81,0.01,1,400000,162,76,68,-1,-1,68,0,162,577,577,577,355,-5.9117155615240335e-12,71,72,226
N08-Shubert3D,81,0.01,2,400000,162,77,63,-1,-1,63,0,162,575,575,575,362,-8.185452315956354e-12,67,68,226
N08-Shubert3D,81,0.01,3,400000,162,81,69,-1,-1,69,0,162,571,570,571,367,-8.185452315956354e-12,72,72,226
N08-Shubert3D,81,0.01,4,400000,162,81,70,-1,-1,70,0,162,580,580,580,374,-8.185452315956354e-12,75,95,226
N08-Shubert3D,81,0.01,5,400000,162,78,64,-1,-1,64,0,162,580,580,580,373,-8.640199666842818e-12,70,86,226
N08-Shubert3D,81,0.01,6,400000,162,78,68,-1,-1,68,0,162,578,578,578,356,-5.9117155615240335e-12,70,75,226
N08-Shubert3D,81,0.01,7,400000,162,79,70,-1,-1,70,0,162,579,577,579,357,-9.094947017729282e-12,74,75,226
N08-Shubert3D,81,0.01,8,400000,162,79,72,-1,-1,72,0,162,578,576,578,364,-5.9117155615240335e-12,77,78,226
N08-Shubert3D,81,0.01,9,400000,162,78,67,-1,-1,67,0,162,578,578,578,351,2.091837814077735e-11,70,90,226
N08-Shubert3D,81,0.01,10,400000,162,77,67,-1,-1,67,0,162,577,577,577,367,-3.183231456205249e-12,73,86,226
N08-Shubert3D,81,0.01,11,400000,162,79,69,-1,-1,69,0,162,577,577,577,348,-5.9117155615240335e-12,73,93,226
N08-Shubert3D,81,0.01,12,400000,162,79,67,-1,-1,67,0,162,578,576,578,361,2.2737367544323206e-12,73,74,226
N08-Shubert3D,81,0.01,13,400000,162,78,66,-1,-1,66,0,162,580,579,580,377,-6.366462912410498e-12,73,73,226
N08-Shubert3D,81,0.01,14,400000,162,81,71,-1,-1,71,0,162,578,576,578,362,-8.185452315956354e-12,74,94,226
N08-Shubert3D,81,0.001,0,400000,162,53,53,-1,-1,71,18,162,581,579,581,82,-7.73070496506989e-12,53,77,226
N08-Shubert3D,81,0.001,1,400000,162,57,57,-1,-1,68,11,162,577,577,577,90,-5.9117155615240335e-12,57,72,226
N08-Shubert3D,81,0.001,2,400000,162,59,59,-1,-1,63,4,162,575,575,575,136,-8.185452315956354e-12,59,68,226
