function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f,reported_uncapped,distinct_uncapped,n_reported_pts_uncapped
N08-Shubert3D,81,0.1,0,400000,162,81,81,-1,-1,138,57,162,581,579,581,366,-7.73070496506989e-12,81,202,226
N08-Shubert3D,81,0.1,1,400000,162,76,76,-1,-1,137,61,162,577,577,577,362,-5.9117155615240335e-12,76,201,226
N08-Shubert3D,81,0.1,2,400000,162,79,79,-1,-1,136,57,162,575,575,575,370,-8.185452315956354e-12,79,200,226
N08-Shubert3D,81,0.1,3,400000,162,81,81,-1,-1,136,55,162,571,570,571,374,-8.185452315956354e-12,81,200,226
N08-Shubert3D,81,0.1,4,400000,162,81,81,-1,-1,156,75,162,580,580,580,381,-8.185452315956354e-12,81,219,226
N08-Shubert3D,81,0.1,5,400000,162,78,78,-1,-1,156,78,162,580,580,580,378,-8.640199666842818e-12,78,216,226
N08-Shubert3D,81,0.1,6,400000,162,79,79,-1,-1,141,62,162,578,578,578,367,-5.9117155615240335e-12,79,205,226
N08-Shubert3D,81,0.1,7,400000,162,79,79,-1,-1,156,77,162,579,577,579,359,-9.094947017729282e-12,79,201,226
N08-Shubert3D,81,0.1,8,400000,162,79,79,-1,-1,147,68,162,578,576,578,371,-5.9117155615240335e-12,79,201,226
N08-Shubert3D,81,0.1,9,400000,162,78,78,-1,-1,156,78,162,578,578,578,361,2.091837814077735e-11,78,220,226
N08-Shubert3D,81,0.1,10,400000,162,78,78,-1,-1,154,76,162,577,577,577,373,-3.183231456205249e-12,78,213,226
N08-Shubert3D,81,0.1,11,400000,162,79,79,-1,-1,156,77,162,577,577,577,350,-5.9117155615240335e-12,79,220,226
N08-Shubert3D,81,0.1,12,400000,162,80,80,-1,-1,152,72,162,578,576,578,372,2.2737367544323206e-12,80,201,226
N08-Shubert3D,81,0.1,13,400000,162,78,78,-1,-1,134,56,162,580,579,580,384,-6.366462912410498e-12,78,198,226
