function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f,reported_uncapped,distinct_uncapped,n_reported_pts_uncapped
N07-Vincent2D,36,0.1,10,205000,100,36,9,-1,-1,9,0,100,433,433,433,433,0.0,15,15,226
N07-Vincent2D,36,0.1,11,205000,100,36,10,-1,-1,10,0,100,403,403,403,403,0.0,11,11,226
N07-Vincent2D,36,0.1,12,205000,100,36,12,-1,-1,12,0,100,335,335,335,335,0.0,22,22,226
N07-Vincent2D,36,0.1,13,205000,100,36,12,-1,-1,12,0,100,409,409,409,409,0.0,13,33,226
N07-Vincent2D,36,0.1,14,205000,100,36,9,-1,-1,9,0,100,404,404,404,404,0.0,20,26,226
N07-Vincent2D,36,0.001,10,205000,100,20,9,-1,-1,9,0,100,433,433,433,433,0.0,15,15,226
N07-Vincent2D,36,0.001,11,205000,100,20,10,-1,-1,10,0,100,403,403,403,403,0.0,11,11,226
N07-Vincent2D,36,0.001,12,205000,100,20,12,-1,-1,12,0,100,335,335,335,335,0.0,13,22,226
N07-Vincent2D,36,0.001,13,205000,100,25,12,-1,-1,12,0,100,409,409,409,409,0.0,13,33,226
N07-Vincent2D,36,0.001,14,205000,100,25,9,-1,-1,9,0,100,404,404,404,404,0.0,11,26,226
N07-Vincent2D,36,1e-05,10,205000,100,16,9,-1,-1,9,0,100,433,433,433,432,0.0,14,15,226
N07-Vincent2D,36,1e-05,11,205000,100,16,10,-1,-1,10,0,100,403,403,403,400,0.0,11,11,226
N07-Vincent2D,36,1e-05,12,205000,100,16,12,-1,-1,12,0,100,335,335,335,333,0.0,13,22,226
N07-Vincent2D,36,1e-05,13,205000,100,15,12,-1,-1,12,0,100,409,409,409,407,0.0,13,33,226
N07-Vincent2D,36,1e-05,14,205000,100,18,9,-1,-1,9,0,100,404,404,404,404,0.0,11,26,226
