function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f,reported_uncapped,distinct_uncapped,n_reported_pts_uncapped
N07-Vincent2D,36,0.1,0,200000,100,36,15,-1,-1,15,0,100,438,438,438,438,0.0,15,15,226
N07-Vincent2D,36,0.1,1,200000,100,36,14,-1,-1,14,0,100,402,402,402,402,0.0,20,25,226
N07-Vincent2D,36,0.1,2,200000,100,36,13,-1,-1,13,0,100,381,381,381,381,0.0,16,16,226
N07-Vincent2D,36,0.1,3,200000,100,36,11,-1,-1,11,0,100,405,405,405,405,0.0,14,14,226
N07-Vincent2D,36,0.1,4,200000,100,36,13,-1,-1,13,0,100,392,392,392,392,0.0,18,18,226
N07-Vincent2D,36,0.1,5,200000,100,36,12,-1,-1,12,0,100,441,441,441,441,0.0,16,25,226
N07-Vincent2D,36,0.1,6,200000,100,36,13,-1,-1,13,0,100,413,413,413,413,0.0,17,17,226
N07-Vincent2D,36,0.1,7,200000,100,36,14,-1,-1,14,0,100,367,367,367,367,0.0,17,17,226
N07-Vincent2D,36,0.1,8,200000,100,36,15,-1,-1,15,0,100,466,466,466,466,0.0,22,27,226
N07-Vincent2D,36,0.1,9,200000,100,36,13,-1,-1,13,0,100,384,384,384,384,0.0,17,17,226
N07-Vincent2D,36,0.1,10,200000,100,36,13,-1,-1,13,0,100,423,423,423,423,0.0,16,16,226
N07-Vincent2D,36,0.1,11,200000,100,36,13,-1,-1,13,0,100,399,399,399,399,0.0,16,16,226
N07-Vincent2D,36,0.1,12,200000,100,36,12,-1,-1,12,0,100,331,331,331,331,0.0,17,17,226
N07-Vincent2D,36,0.1,13,200000,100,36,13,-1,-1,13,0,100,410,410,410,410,0.0,15,15,226
N07-Vincent2D,36,0.1,14,200000,100,36,13,-1,-1,13,0,100,404,404,404,404,0.0,17,24,226
N07-Vincent2D,36,0.001,0,200000,100,24,15,-1,-1,15,0,100,438,438,438,438,0.0,15,15,226
N07-Vincent2D,36,0.001,1,200000,100,28,14,-1,-1,14,0,100,402,402,402,402,0.0,19,25,226
N07-Vincent2D,36,0.001,2,200000,100,26,13,-1,-1,13,0,100,381,381,381,381,0.0,16,16,226
N07-Vincent2D,36,0.001,3,200000,100,24,11,-1,-1,11,0,100,405,405,405,405,0.0,14,14,226
N07-Vincent2D,36,0.001,4,200000,100,27,13,-1,-1,13,0,100,392,392,392,392,0.0,16,18,226
N07-Vincent2D,36,0.001,5,200000,100,27,12,-1,-1,12,0,100,441,441,441,441,0.0,16,25,226
N07-Vincent2D,36,0.001,6,200000,100,23,13,-1,-1,13,0,100,413,413,413,413,0.0,16,17,226
N07-Vincent2D,36,0.001,7,200000,100,24,14,-1,-1,14,0,100,367,367,367,367,0.0,16,17,226
N07-Vincent2D,36,0.001,8,200000,100,26,15,-1,-1,15,0,100,466,466,466,466,0.0,18,27,226
N07-Vincent2D,36,0.001,9,200000,100,23,13,-1,-1,13,0,100,384,384,384,384,0.0,17,17,226
N07-Vincent2D,36,0.001,10,200000,100,26,13,-1,-1,13,0,100,423,423,423,423,0.0,16,16,226
N07-Vincent2D,36,0.001,11,200000,100,26,13,-1,-1,13,0,100,399,399,399,399,0.0,16,16,226
N07-Vincent2D,36,0.001,12,200000,100,24,12,-1,-1,12,0,100,331,331,331,330,0.0,17,17,226
N07-Vincent2D,36,0.001,13,200000,100,27,13,-1,-1,13,0,100,410,410,410,410,0.0,15,15,226
N07-Vincent2D,36,0.001,14,200000,100,25,13,-1,-1,13,0,100,404,404,404,404,0.0,16,24,226
N07-Vincent2D,36,1e-05,0,200000,100,19,15,-1,-1,15,0,100,438,438,438,438,0.0,15,15,226
N07-Vincent2D,36,1e-05,1,200000,100,24,14,-1,-1,14,0,100,402,402,402,401,0.0,19,25,226
N07-Vincent2D,36,1e-05,2,200000,100,21,13,-1,-1,13,0,100,381,381,381,378,0.0,16,16,226
N07-Vincent2D,36,1e-05,3,200000,100,20,11,-1,-1,11,0,100,405,405,405,405,0.0,14,14,226
N07-Vincent2D,36,1e-05,4,200000,100,20,13,-1,-1,13,0,100,392,392,392,390,0.0,16,18,226
N07-Vincent2D,36,1e-05,5,200000,100,19,12,-1,-1,12,0,100,441,441,441,439,0.0,16,25,226
N07-Vincent2D,36,1e-05,6,200000,100,19,13,-1,-1,13,0,100,413,413,413,412,0.0,16,17,226
N07-Vincent2D,36,1e-05,7,200000,100,19,14,-1,-1,14,0,100,367,367,367,364,0.0,16,17,226
N07-Vincent2D,36,1e-05,8,200000,100,20,15,-1,-1,15,0,100,466,466,466,466,0.0,18,27,226
N07-Vincent2D,36,1e-05,9,200000,100,19,13,-1,-1,13,0,100,384,384,384,382,0.0,17,17,226
N07-Vincent2D,36,1e-05,10,200000,100,22,13,-1,-1,13,0,100,423,423,423,422,0.0,16,16,226
N07-Vincent2D,36,1e-05,11,200000,100,19,13,-1,-1,13,0,100,399,399,399,398,0.0,16,16,226
N07-Vincent2D,36,1e-05,12,200000,100,20,12,-1,-1,12,0,100,331,331,331,330,0.0,17,17,226
N07-Vincent2D,36,1e-05,13,200000,100,20,13,-1,-1,13,0,100,410,410,410,408,0.0,15,15,226
N07-Vincent2D,36,1e-05,14,200000,100,17,13,-1,-1,13,0,100,404,404,404,403,0.0,16,24,226
