function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f,reported_uncapped,distinct_uncapped,n_reported_pts_uncapped
N09-Vincent3D,216,0.1,10,400000,432,216,51,-1,-1,51,0,226,666,666,666,666,0.0,51,51,226
N09-Vincent3D,216,0.1,11,400000,432,216,51,-1,-1,51,0,226,681,681,681,681,0.0,51,51,226
N09-Vincent3D,216,0.1,12,400000,432,216,53,-1,-1,53,0,226,607,607,607,607,0.0,53,53,226
N09-Vincent3D,216,0.1,13,400000,432,216,51,-1,-1,64,13,226,685,685,685,685,0.0,51,64,226
N09-Vincent3D,216,0.1,14,400000,432,216,42,-1,-1,42,0,226,709,709,709,709,0.0,42,42,226
N09-Vincent3D,216,0.001,10,400000,432,81,51,-1,-1,51,0,226,666,666,666,648,0.0,51,51,226
N09-Vincent3D,216,0.001,11,400000,432,82,51,-1,-1,51,0,226,681,681,681,663,0.0,51,51,226
N09-Vincent3D,216,0.001,12,400000,432,80,53,-1,-1,53,0,226,607,607,607,600,0.0,53,53,226
N09-Vincent3D,216,0.001,13,400000,432,80,51,-1,-1,64,13,226,685,685,685,673,0.0,51,64,226
N09-Vincent3D,216,0.001,14,400000,432,80,42,-1,-1,42,0,226,709,709,709,699,0.0,42,42,226
N09-Vincent3D,216,1e-05,10,400000,432,75,51,-1,-1,51,0,226,666,666,666,620,0.0,51,51,226
N09-Vincent3D,216,1e-05,11,400000,432,74,51,-1,-1,51,0,226,681,681,681,624,0.0,51,51,226
N09-Vincent3D,216,1e-05,12,400000,432,76,53,-1,-1,53,0,226,607,607,607,575,0.0,53,53,226
N09-Vincent3D,216,1e-05,13,400000,432,75,51,-1,-1,64,13,226,685,685,685,643,0.0,51,64,226
N09-Vincent3D,216,1e-05,14,400000,432,76,41,-1,-1,42,1,226,709,709,709,673,0.0,41,42,226
