function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f,reported_uncapped,distinct_uncapped,n_reported_pts_uncapped
N09-Vincent3D,216,0.1,10,400000,432,216,84,-1,-1,84,0,226,666,666,666,666,0.0,84,84,226
N09-Vincent3D,216,0.1,11,400000,432,216,80,-1,-1,80,0,226,681,681,681,681,0.0,80,80,226
N09-Vincent3D,216,0.1,12,400000,432,216,78,-1,-1,78,0,226,607,607,607,607,0.0,78,78,226
N09-Vincent3D,216,0.1,13,400000,432,216,82,-1,-1,95,13,226,685,685,685,685,0.0,82,95,226
N09-Vincent3D,216,0.1,14,400000,432,216,79,-1,-1,79,0,226,709,709,709,709,0.0,79,79,226
N09-Vincent3D,216,0.001,10,400000,432,81,79,-1,-1,84,5,226,666,666,666,648,0.0,79,84,226
N09-Vincent3D,216,0.001,11,400000,432,82,77,-1,-1,80,3,226,681,681,681,663,0.0,77,80,226
N09-Vincent3D,216,0.001,12,400000,432,80,78,-1,-1,78,0,226,607,607,607,600,0.0,78,78,226
N09-Vincent3D,216,0.001,13,400000,432,80,79,-1,-1,95,16,226,685,685,685,673,0.0,79,95,226
N09-Vincent3D,216,0.001,14,400000,432,80,78,-1,-1,79,1,226,709,709,709,699,0.0,78,79,226
N09-Vincent3D,216,1e-05,10,400000,432,75,75,-1,-1,84,9,226,666,666,666,620,0.0,75,84,226
N09-Vincent3D,216,1e-05,11,400000,432,74,74,-1,-1,80,6,226,681,681,681,624,0.0,74,80,226
N09-Vincent3D,216,1e-05,12,400000,432,76,76,-1,-1,78,2,226,607,607,607,575,0.0,76,78,226
N09-Vincent3D,216,1e-05,13,400000,432,75,75,-1,-1,95,20,226,685,685,685,643,0.0,75,95,226
N09-Vincent3D,216,1e-05,14,400000,432,76,76,-1,-1,79,3,226,709,709,709,673,0.0,76,79,226
