function,variant,seed,evals,hunts,match,narrow_draw_wide_land,wide_draw_wide_land,secs
N09-Vincent3D,base,200,400000,637,390,0,612,90.9
N09-Vincent3D,base,300,400000,684,442,0,657,91.6
N09-Vincent3D,base,100,400000,699,412,0,674,93.4
N09-Vincent3D,base,0,400000,678,433,0,660,94.6
N09-Vincent3D,base,400,400000,699,443,0,675,87.8
N09-Vincent3D,base,600,400000,633,381,0,608,88.1
N09-Vincent3D,base,700,400000,693,468,0,671,87.7
N09-Vincent3D,base,500,400000,719,476,0,696,95.9
N09-Vincent3D,base,800,400000,656,416,0,625,87.5
N09-Vincent3D,base,900,400000,694,431,0,662,87.4
N09-Vincent3D,base,1000,400000,668,413,0,646,87.6
N09-Vincent3D,base,1100,400000,684,430,0,660,96.6
N09-Vincent3D,base,1200,400000,606,402,0,581,87.4
N09-Vincent3D,base,1300,400000,685,450,0,661,87.6
N09-Vincent3D,base,1400,400000,699,434,0,670,86.9
N09-Vincent3D,commit_place,0,400000,674,217,64,585,102.0
N09-Vincent3D,commit_place,100,400000,700,222,65,587,94.1
N09-Vincent3D,commit_place,300,400000,694,222,87,561,91.1
N09-Vincent3D,commit_place,200,400000,648,187,59,548,93.6
N09-Vincent3D,commit_place,400,400000,703,194,88,579,102.9
N09-Vincent3D,commit_place,600,400000,634,193,84,521,92.2
N09-Vincent3D,commit_place,500,400000,715,221,73,585,92.9
N09-Vincent3D,commit_place,700,400000,692,224,86,555,94.0
N09-Vincent3D,commit_place,800,400000,651,195,73,542,102.1
N09-Vincent3D,commit_place,900,400000,692,202,89,565,92.8
N09-Vincent3D,commit_place,1000,400000,665,206,77,541,93.2
N09-Vincent3D,commit_place,1100,400000,680,209,81,560,92.6
N09-Vincent3D,commit_place,1200,400000,606,201,68,499,100.8
N09-Vincent3D,commit_place,1300,400000,684,196,81,557,93.1
N09-Vincent3D,commit_place,1400,400000,708,212,58,607,92.8
