function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f,reported_uncapped,distinct_uncapped,n_reported_pts_uncapped
N09-Vincent3D,216,0.1,0,400000,432,216,80,-1,-1,82,2,226,840,840,840,672,0.0,80,82,226
N09-Vincent3D,216,0.1,1,400000,432,216,76,-1,-1,86,10,226,838,838,838,749,0.0,76,86,226
N09-Vincent3D,216,0.1,2,400000,432,216,81,-1,-1,81,0,226,839,839,839,743,0.0,81,81,226
N09-Vincent3D,216,0.1,3,400000,432,216,79,-1,-1,80,1,226,839,839,839,517,0.0,79,80,226
N09-Vincent3D,216,0.1,4,400000,432,216,86,-1,-1,86,0,226,842,842,842,727,0.0,86,86,226
N09-Vincent3D,216,0.001,0,400000,432,110,80,-1,-1,82,2,226,840,840,840,445,0.0,80,82,226
N09-Vincent3D,216,0.001,1,400000,432,77,76,-1,-1,86,10,226,838,838,838,199,0.0,76,86,226
N09-Vincent3D,216,0.001,2,400000,432,75,75,-1,-1,81,6,226,839,839,839,175,0.0,75,81,226
N09-Vincent3D,216,0.001,3,400000,432,86,79,-1,-1,80,1,226,839,839,839,220,0.0,79,80,226
N09-Vincent3D,216,0.001,4,400000,432,86,85,-1,-1,86,1,226,842,842,842,211,0.0,85,86,226
N09-Vincent3D,216,1e-05,0,400000,432,103,80,-1,-1,82,2,226,840,840,840,381,0.0,80,82,226
N09-Vincent3D,216,1e-05,1,400000,432,58,58,-1,-1,86,28,226,838,838,838,123,0.0,58,86,226
N09-Vincent3D,216,1e-05,2,400000,432,59,59,-1,-1,81,22,226,839,839,839,107,0.0,59,81,226
N09-Vincent3D,216,1e-05,3,400000,432,77,77,-1,-1,80,3,226,839,839,839,176,0.0,77,80,226
N09-Vincent3D,216,1e-05,4,400000,432,72,72,-1,-1,86,14,226,842,842,842,122,0.0,72,86,226
N09-Vincent3D,216,0.1,5,400000,432,216,85,-1,-1,86,1,226,840,840,840,537,0.0,85,86,226
N09-Vincent3D,216,0.1,6,400000,432,216,70,-1,-1,70,0,226,840,840,840,687,0.0,70,70,226
N09-Vincent3D,216,0.1,7,400000,432,216,85,-1,-1,86,1,226,837,836,837,752,0.0,85,86,226
N09-Vincent3D,216,0.1,8,400000,432,216,70,-1,-1,72,2,226,839,839,839,694,0.0,70,72,226
N09-Vincent3D,216,0.1,9,400000,432,216,88,-1,-1,88,0,226,841,841,841,743,0.0,88,88,226
N09-Vincent3D,216,0.001,5,400000,432,89,85,-1,-1,86,1,226,840,840,840,239,0.0,85,86,226
N09-Vincent3D,216,0.001,6,400000,432,104,70,-1,-1,70,0,226,840,840,840,447,0.0,70,70,226
N09-Vincent3D,216,0.001,7,400000,432,86,85,-1,-1,86,1,226,837,836,837,209,0.0,85,86,226
N09-Vincent3D,216,0.001,8,400000,432,102,70,-1,-1,72,2,226,839,839,839,464,0.0,70,72,226
N09-Vincent3D,216,0.001,9,400000,432,88,88,-1,-1,88,0,226,841,841,841,199,0.0,88,88,226
N09-Vincent3D,216,1e-05,5,400000,432,84,84,-1,-1,86,2,226,840,840,840,190,0.0,84,86,226
N09-Vincent3D,216,1e-05,6,400000,432,98,70,-1,-1,70,0,226,840,840,840,368,0.0,70,70,226
N09-Vincent3D,216,1e-05,7,400000,432,71,71,-1,-1,86,15,226,837,836,837,129,0.0,71,86,226
N09-Vincent3D,216,1e-05,8,400000,432,93,70,-1,-1,72,2,226,839,839,839,384,0.0,70,72,226
N09-Vincent3D,216,1e-05,9,400000,432,69,69,-1,-1,88,19,226,841,841,841,119,0.0,69,88,226
N09-Vincent3D,216,0.1,10,400000,432,216,86,-1,-1,86,0,226,839,839,839,740,0.0,86,86,226
N09-Vincent3D,216,0.1,11,400000,432,216,86,-1,-1,86,0,226,839,839,839,749,0.0,86,86,226
N09-Vincent3D,216,0.1,12,400000,432,216,87,-1,-1,87,0,226,841,841,841,731,0.0,87,87,226
N09-Vincent3D,216,0.1,13,400000,432,216,82,-1,-1,82,0,226,840,840,840,739,0.0,82,82,226
N09-Vincent3D,216,0.1,14,400000,432,216,86,-1,-1,87,1,226,838,838,838,743,0.0,86,87,226
N09-Vincent3D,216,0.001,10,400000,432,86,86,-1,-1,86,0,226,839,839,839,205,0.0,86,86,226
N09-Vincent3D,216,0.001,11,400000,432,84,84,-1,-1,86,2,226,839,839,839,197,0.0,84,86,226
N09-Vincent3D,216,0.001,12,400000,432,81,81,-1,-1,87,6,226,841,841,841,176,0.0,81,87,226
N09-Vincent3D,216,0.001,13,400000,432,77,77,-1,-1,82,5,226,840,840,840,171,0.0,77,82,226
N09-Vincent3D,216,0.001,14,400000,432,85,85,-1,-1,87,2,226,838,838,838,206,0.0,85,87,226
N09-Vincent3D,216,1e-05,10,400000,432,66,66,-1,-1,86,20,226,839,839,839,122,0.0,66,86,226
N09-Vincent3D,216,1e-05,11,400000,432,68,68,-1,-1,86,18,226,839,839,839,124,0.0,68,86,226
N09-Vincent3D,216,1e-05,12,400000,432,67,67,-1,-1,87,20,226,841,841,841,109,0.0,67,87,226
N09-Vincent3D,216,1e-05,13,400000,432,56,56,-1,-1,82,26,226,840,840,840,93,0.0,56,82,226
N09-Vincent3D,216,1e-05,14,400000,432,67,67,-1,-1,87,20,226,838,838,838,122,0.0,67,87,226
