function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f,reported_uncapped,distinct_uncapped,n_reported_pts_uncapped
N09-Vincent3D,216,0.1,0,400000,432,216,190,-1,-1,195,5,226,840,840,840,672,0.0,190,195,226
N09-Vincent3D,216,0.1,1,400000,432,216,193,-1,-1,203,10,226,838,838,838,749,0.0,193,203,226
N09-Vincent3D,216,0.1,2,400000,432,216,193,-1,-1,193,0,226,839,839,839,743,0.0,193,193,226
N09-Vincent3D,216,0.1,3,400000,432,216,195,-1,-1,196,1,226,839,839,839,517,0.0,195,196,226
N09-Vincent3D,216,0.1,4,400000,432,216,189,-1,-1,189,0,226,842,842,842,727,0.0,189,189,226
N09-Vincent3D,216,0.001,0,400000,432,110,110,-1,-1,195,85,226,840,840,840,445,0.0,110,195,226
N09-Vincent3D,216,0.001,1,400000,432,77,76,-1,-1,203,127,226,838,838,838,199,0.0,76,203,226
N09-Vincent3D,216,0.001,2,400000,432,75,75,-1,-1,193,118,226,839,839,839,175,0.0,75,193,226
N09-Vincent3D,216,0.001,3,400000,432,86,86,-1,-1,196,110,226,839,839,839,220,0.0,86,196,226
N09-Vincent3D,216,0.001,4,400000,432,86,86,-1,-1,189,103,226,842,842,842,211,0.0,86,189,226
N09-Vincent3D,216,1e-05,0,400000,432,103,103,-1,-1,195,92,226,840,840,840,381,0.0,103,195,226
N09-Vincent3D,216,1e-05,1,400000,432,58,58,-1,-1,203,145,226,838,838,838,123,0.0,58,203,226
N09-Vincent3D,216,1e-05,2,400000,432,59,59,-1,-1,193,134,226,839,839,839,107,0.0,59,193,226
N09-Vincent3D,216,1e-05,3,400000,432,77,77,-1,-1,196,119,226,839,839,839,176,0.0,77,196,226
N09-Vincent3D,216,1e-05,4,400000,432,72,72,-1,-1,189,117,226,842,842,842,122,0.0,72,189,226
N09-Vincent3D,216,0.1,5,400000,432,216,198,-1,-1,199,1,226,840,840,840,537,0.0,198,199,226
N09-Vincent3D,216,0.1,6,400000,432,216,192,-1,-1,192,0,226,840,840,840,687,0.0,192,192,226
N09-Vincent3D,216,0.1,7,400000,432,216,191,-1,-1,192,1,226,837,836,837,752,0.0,191,192,226
N09-Vincent3D,216,0.1,8,400000,432,216,179,-1,-1,199,20,226,839,839,839,694,0.0,179,199,226
N09-Vincent3D,216,0.1,9,400000,432,216,195,-1,-1,195,0,226,841,841,841,743,0.0,195,195,226
N09-Vincent3D,216,0.001,5,400000,432,89,89,-1,-1,199,110,226,840,840,840,239,0.0,89,199,226
N09-Vincent3D,216,0.001,6,400000,432,104,104,-1,-1,192,88,226,840,840,840,447,0.0,104,192,226
N09-Vincent3D,216,0.001,7,400000,432,86,86,-1,-1,192,106,226,837,836,837,209,0.0,86,192,226
N09-Vincent3D,216,0.001,8,400000,432,102,101,-1,-1,199,98,226,839,839,839,464,0.0,101,199,226
N09-Vincent3D,216,0.001,9,400000,432,88,88,-1,-1,195,107,226,841,841,841,199,0.0,88,195,226
N09-Vincent3D,216,1e-05,5,400000,432,84,84,-1,-1,199,115,226,840,840,840,190,0.0,84,199,226
N09-Vincent3D,216,1e-05,6,400000,432,98,98,-1,-1,192,94,226,840,840,840,368,0.0,98,192,226
N09-Vincent3D,216,1e-05,7,400000,432,71,71,-1,-1,192,121,226,837,836,837,129,0.0,71,192,226
N09-Vincent3D,216,1e-05,8,400000,432,93,93,-1,-1,199,106,226,839,839,839,384,0.0,93,199,226
N09-Vincent3D,216,1e-05,9,400000,432,69,69,-1,-1,195,126,226,841,841,841,119,0.0,69,195,226
N09-Vincent3D,216,0.1,10,400000,432,216,196,-1,-1,196,0,226,839,839,839,740,0.0,196,196,226
N09-Vincent3D,216,0.1,11,400000,432,216,190,-1,-1,190,0,226,839,839,839,749,0.0,190,190,226
N09-Vincent3D,216,0.1,12,400000,432,216,195,-1,-1,195,0,226,841,841,841,731,0.0,195,195,226
N09-Vincent3D,216,0.1,13,400000,432,216,195,-1,-1,195,0,226,840,840,840,739,0.0,195,195,226
N09-Vincent3D,216,0.1,14,400000,432,216,198,-1,-1,199,1,226,838,838,838,743,0.0,198,199,226
N09-Vincent3D,216,0.001,10,400000,432,86,86,-1,-1,196,110,226,839,839,839,205,0.0,86,196,226
N09-Vincent3D,216,0.001,11,400000,432,84,84,-1,-1,190,106,226,839,839,839,197,0.0,84,190,226
N09-Vincent3D,216,0.001,12,400000,432,81,81,-1,-1,195,114,226,841,841,841,176,0.0,81,195,226
N09-Vincent3D,216,0.001,13,400000,432,77,77,-1,-1,195,118,226,840,840,840,171,0.0,77,195,226
N09-Vincent3D,216,0.001,14,400000,432,85,85,-1,-1,199,114,226,838,838,838,206,0.0,85,199,226
N09-Vincent3D,216,1e-05,10,400000,432,66,66,-1,-1,196,130,226,839,839,839,122,0.0,66,196,226
N09-Vincent3D,216,1e-05,11,400000,432,68,68,-1,-1,190,122,226,839,839,839,124,0.0,68,190,226
N09-Vincent3D,216,1e-05,12,400000,432,67,67,-1,-1,195,128,226,841,841,841,109,0.0,67,195,226
N09-Vincent3D,216,1e-05,13,400000,432,56,56,-1,-1,195,139,226,840,840,840,93,0.0,56,195,226
N09-Vincent3D,216,1e-05,14,400000,432,67,67,-1,-1,199,132,226,838,838,838,122,0.0,67,199,226
