function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f,reported_uncapped,distinct_uncapped,n_reported_pts_uncapped
N09-Vincent3D,216,0.1,0,400000,432,216,194,-1,-1,194,0,226,841,841,841,673,0.0,194,194,226
N09-Vincent3D,216,0.1,1,400000,432,216,194,-1,-1,194,0,226,840,840,840,721,0.0,194,194,226
N09-Vincent3D,216,0.1,2,400000,432,216,194,-1,-1,197,3,226,841,841,841,734,0.0,194,197,226
N09-Vincent3D,216,0.1,3,400000,432,216,197,-1,-1,198,1,226,839,839,839,514,0.0,197,198,226
N09-Vincent3D,216,0.1,4,400000,432,216,195,-1,-1,195,0,226,842,842,842,745,0.0,195,195,226
N09-Vincent3D,216,0.001,0,400000,432,105,105,-1,-1,194,89,226,841,841,841,448,0.0,105,194,226
N09-Vincent3D,216,0.001,1,400000,432,80,80,-1,-1,194,114,226,840,840,840,174,0.0,80,194,226
N09-Vincent3D,216,0.001,2,400000,432,80,80,-1,-1,197,117,226,841,841,841,199,0.0,80,197,226
N09-Vincent3D,216,0.001,3,400000,432,82,82,-1,-1,198,116,226,839,839,839,223,0.0,82,198,226
N09-Vincent3D,216,0.001,4,400000,432,82,81,-1,-1,195,114,226,842,842,842,185,0.0,81,195,226
N09-Vincent3D,216,1e-05,0,400000,432,101,101,-1,-1,194,93,226,841,841,841,379,0.0,101,194,226
N09-Vincent3D,216,1e-05,1,400000,432,61,61,-1,-1,194,133,226,840,840,840,97,0.0,61,194,226
N09-Vincent3D,216,1e-05,2,400000,432,62,62,-1,-1,197,135,226,841,841,841,112,0.0,62,197,226
N09-Vincent3D,216,1e-05,3,400000,432,73,73,-1,-1,198,125,226,839,839,839,164,0.0,73,198,226
N09-Vincent3D,216,1e-05,4,400000,432,63,63,-1,-1,195,132,226,842,842,842,100,0.0,63,195,226
N09-Vincent3D,216,0.1,10,400000,432,216,194,-1,-1,194,0,226,840,840,840,735,0.0,194,194,226
N09-Vincent3D,216,0.1,11,400000,432,216,197,-1,-1,197,0,226,841,841,841,723,0.0,197,197,226
N09-Vincent3D,216,0.1,12,400000,432,216,195,-1,-1,195,0,226,841,841,841,736,0.0,195,195,226
N09-Vincent3D,216,0.1,13,400000,432,216,193,-1,-1,193,0,226,840,840,840,734,0.0,193,193,226
N09-Vincent3D,216,0.1,14,400000,432,216,194,-1,-1,202,8,226,839,839,839,731,0.0,194,202,226
N09-Vincent3D,216,0.001,10,400000,432,87,87,-1,-1,194,107,226,840,840,840,206,0.0,87,194,226
N09-Vincent3D,216,0.001,11,400000,432,83,83,-1,-1,197,114,226,841,841,841,170,0.0,83,197,226
N09-Vincent3D,216,0.001,12,400000,432,88,88,-1,-1,195,107,226,841,841,841,180,0.0,88,195,226
N09-Vincent3D,216,0.001,13,400000,432,83,83,-1,-1,193,110,226,840,840,840,180,0.0,83,193,226
N09-Vincent3D,216,0.001,14,400000,432,84,83,-1,-1,202,119,226,839,839,839,200,0.0,83,202,226
N09-Vincent3D,216,1e-05,10,400000,432,70,70,-1,-1,194,124,226,840,840,840,134,0.0,70,194,226
N09-Vincent3D,216,1e-05,11,400000,432,68,68,-1,-1,197,129,226,841,841,841,108,0.0,68,197,226
N09-Vincent3D,216,1e-05,12,400000,432,67,67,-1,-1,195,128,226,841,841,841,97,0.0,67,195,226
N09-Vincent3D,216,1e-05,13,400000,432,67,67,-1,-1,193,126,226,840,840,840,116,0.0,67,193,226
N09-Vincent3D,216,1e-05,14,400000,432,61,61,-1,-1,202,141,226,839,839,839,120,0.0,61,202,226
N09-Vincent3D,216,0.1,5,400000,432,216,199,-1,-1,199,0,226,840,840,840,524,0.0,199,199,226
N09-Vincent3D,216,0.1,6,400000,432,216,193,-1,-1,197,4,226,842,842,842,655,0.0,193,197,226
N09-Vincent3D,216,0.1,7,400000,432,216,194,-1,-1,194,0,226,839,838,839,744,0.0,194,194,226
N09-Vincent3D,216,0.1,8,400000,432,216,197,-1,-1,197,0,226,841,841,841,662,0.0,197,197,226
N09-Vincent3D,216,0.1,9,400000,432,216,194,-1,-1,194,0,226,839,839,839,739,0.0,194,194,226
N09-Vincent3D,216,0.001,5,400000,432,91,91,-1,-1,199,108,226,840,840,840,236,0.0,91,199,226
N09-Vincent3D,216,0.001,6,400000,432,101,101,-1,-1,197,96,226,842,842,842,431,0.0,101,197,226
N09-Vincent3D,216,0.001,7,400000,432,84,83,-1,-1,194,111,226,839,838,839,220,0.0,83,194,226
N09-Vincent3D,216,0.001,8,400000,432,95,95,-1,-1,197,102,226,841,841,841,402,0.0,95,197,226
N09-Vincent3D,216,0.001,9,400000,432,85,85,-1,-1,194,109,226,839,839,839,208,0.0,85,194,226
N09-Vincent3D,216,1e-05,5,400000,432,78,78,-1,-1,199,121,226,840,840,840,183,0.0,78,199,226
N09-Vincent3D,216,1e-05,6,400000,432,93,93,-1,-1,197,104,226,842,842,842,348,0.0,93,197,226
N09-Vincent3D,216,1e-05,7,400000,432,69,69,-1,-1,194,125,226,839,838,839,140,0.0,69,194,226
N09-Vincent3D,216,1e-05,8,400000,432,85,85,-1,-1,197,112,226,841,841,841,331,0.0,85,197,226
N09-Vincent3D,216,1e-05,9,400000,432,68,68,-1,-1,194,126,226,839,839,839,132,0.0,68,194,226
