function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f,reported_uncapped,distinct_uncapped,n_reported_pts_uncapped
N09-Vincent3D,216,0.1,0,400000,432,216,174,-1,-1,196,22,226,757,757,757,621,0.0,174,196,226
N09-Vincent3D,216,0.1,1,400000,432,216,193,-1,-1,193,0,226,746,746,746,664,0.0,193,193,226
N09-Vincent3D,216,0.1,2,400000,432,216,195,-1,-1,195,0,226,750,750,750,647,0.0,195,195,226
N09-Vincent3D,216,0.1,3,400000,432,216,198,-1,-1,198,0,226,726,726,726,471,0.0,198,198,226
N09-Vincent3D,216,0.1,4,400000,432,216,193,-1,-1,193,0,226,751,751,751,680,0.0,193,193,226
N09-Vincent3D,216,0.001,0,400000,432,93,93,-1,-1,196,103,226,757,757,757,406,0.0,93,196,226
N09-Vincent3D,216,0.001,1,400000,432,67,67,-1,-1,193,126,226,746,746,746,160,0.0,67,193,226
N09-Vincent3D,216,0.001,2,400000,432,77,77,-1,-1,195,118,226,750,750,750,166,0.0,77,195,226
N09-Vincent3D,216,0.001,3,400000,432,90,90,-1,-1,198,108,226,726,726,726,225,0.0,90,198,226
N09-Vincent3D,216,0.001,4,400000,432,76,76,-1,-1,193,117,226,751,751,751,192,0.0,76,193,226
N09-Vincent3D,216,1e-05,0,400000,432,86,86,-1,-1,196,110,226,757,757,757,341,0.0,86,196,226
N09-Vincent3D,216,1e-05,1,400000,432,53,53,-1,-1,193,140,226,746,746,746,101,0.0,53,193,226
N09-Vincent3D,216,1e-05,2,400000,432,62,62,-1,-1,195,133,226,750,750,750,114,0.0,62,195,226
N09-Vincent3D,216,1e-05,3,400000,432,80,80,-1,-1,198,118,226,726,726,726,178,0.0,80,198,226
N09-Vincent3D,216,1e-05,4,400000,432,65,65,-1,-1,193,128,226,751,751,751,130,0.0,65,193,226
N09-Vincent3D,216,0.1,10,400000,432,216,195,-1,-1,195,0,226,745,745,745,650,0.0,195,195,226
N09-Vincent3D,216,0.1,11,400000,432,216,192,-1,-1,192,0,226,747,747,747,665,0.0,192,192,226
N09-Vincent3D,216,0.1,12,400000,432,216,193,-1,-1,193,0,226,748,748,748,665,0.0,193,193,226
N09-Vincent3D,216,0.1,13,400000,432,216,193,-1,-1,193,0,226,742,742,742,670,0.0,193,193,226
N09-Vincent3D,216,0.1,14,400000,432,216,197,-1,-1,197,0,226,743,743,743,648,0.0,197,197,226
N09-Vincent3D,216,0.001,10,400000,432,81,80,-1,-1,195,115,226,745,745,745,165,0.0,80,195,226
N09-Vincent3D,216,0.001,11,400000,432,85,85,-1,-1,192,107,226,747,747,747,195,0.0,85,192,226
N09-Vincent3D,216,0.001,12,400000,432,80,80,-1,-1,193,113,226,748,748,748,199,0.0,80,193,226
N09-Vincent3D,216,0.001,13,400000,432,81,81,-1,-1,193,112,226,742,742,742,169,0.0,81,193,226
N09-Vincent3D,216,0.001,14,400000,432,78,76,-1,-1,197,121,226,743,743,743,161,0.0,76,197,226
N09-Vincent3D,216,1e-05,10,400000,432,62,62,-1,-1,195,133,226,745,745,745,95,0.0,62,195,226
N09-Vincent3D,216,1e-05,11,400000,432,67,67,-1,-1,192,125,226,747,747,747,125,0.0,67,192,226
N09-Vincent3D,216,1e-05,12,400000,432,63,63,-1,-1,193,130,226,748,748,748,127,0.0,63,193,226
N09-Vincent3D,216,1e-05,13,400000,432,61,61,-1,-1,193,132,226,742,742,742,105,0.0,61,193,226
N09-Vincent3D,216,1e-05,14,400000,432,65,65,-1,-1,197,132,226,743,743,743,108,0.0,65,197,226
N09-Vincent3D,216,0.1,5,400000,432,216,198,-1,-1,199,1,226,730,730,730,475,0.0,198,199,226
N09-Vincent3D,216,0.1,6,400000,432,216,196,-1,-1,199,3,226,760,760,760,622,0.0,196,199,226
N09-Vincent3D,216,0.1,7,400000,432,216,193,-1,-1,193,0,226,746,745,746,674,0.0,193,193,226
N09-Vincent3D,216,0.1,8,400000,432,216,192,-1,-1,199,7,226,764,764,764,648,0.0,192,199,226
N09-Vincent3D,216,0.1,9,400000,432,216,191,-1,-1,191,0,226,743,743,743,644,0.0,191,191,226
N09-Vincent3D,216,0.001,5,400000,432,85,85,-1,-1,199,114,226,730,730,730,229,0.0,85,199,226
N09-Vincent3D,216,0.001,6,400000,432,108,108,-1,-1,199,91,226,760,760,760,430,0.0,108,199,226
N09-Vincent3D,216,0.001,7,400000,432,78,78,-1,-1,193,115,226,746,745,746,173,0.0,78,193,226
N09-Vincent3D,216,0.001,8,400000,432,113,111,-1,-1,199,88,226,764,764,764,447,0.0,111,199,226
N09-Vincent3D,216,0.001,9,400000,432,85,84,-1,-1,191,107,226,743,743,743,168,0.0,84,191,226
N09-Vincent3D,216,1e-05,5,400000,432,77,77,-1,-1,199,122,226,730,730,730,187,0.0,77,199,226
N09-Vincent3D,216,1e-05,6,400000,432,93,93,-1,-1,199,106,226,760,760,760,339,0.0,93,199,226
N09-Vincent3D,216,1e-05,7,400000,432,59,59,-1,-1,193,134,226,746,745,746,102,0.0,59,193,226
N09-Vincent3D,216,1e-05,8,400000,432,96,96,-1,-1,199,103,226,764,764,764,376,0.0,96,199,226
N09-Vincent3D,216,1e-05,9,400000,432,66,66,-1,-1,191,125,226,743,743,743,95,0.0,66,191,226
