fid,ioh_name,dim,K_official,K_ioh,rho_official,rho_ioh,maxfes,box_lo,box_hi,f_goptima,n_optima_listed,max_abs_f_at_listed_optima,max_abs_diff_vs_reference,us_per_eval,eval_sec_per_run
F11,CEC2013CF1D2,2,6,6,0.01,0.01,200000,-5.0,5.0,0.0,6,0.0e+00,4.55e-13,11.1,2.2
F12,CEC2013CF2D2,2,8,8,0.01,0.01,200000,-5.0,5.0,0.0,8,0.0e+00,4.55e-13,11.6,2.3
F13,CEC2013CF3D2,2,6,6,0.01,0.01,200000,-5.0,5.0,0.0,6,0.0e+00,3.75e-09,11.8,2.4
F14,CEC2013CF3D3,3,6,6,0.01,0.01,400000,-5.0,5.0,0.0,6,0.0e+00,5.65e-09,15.4,6.2
F15,CEC2013CF4D3,3,8,8,0.01,0.01,400000,-5.0,5.0,0.0,8,0.0e+00,1.81e-08,16.1,6.4
F16,CEC2013CF3D5,5,6,6,0.01,0.01,400000,-5.0,5.0,0.0,6,0.0e+00,2.45e-09,22.3,8.9
F17,CEC2013CF4D5,5,8,8,0.01,0.01,400000,-5.0,5.0,0.0,8,0.0e+00,2.47e-08,23.3,9.3
F18,CEC2013CF3D10,10,6,6,0.01,0.01,400000,-5.0,5.0,0.0,6,0.0e+00,9.06e-09,38.7,15.5
F19,CEC2013CF4D10,10,8,8,0.01,0.01,400000,-5.0,5.0,0.0,8,0.0e+00,3.82e-08,42.5,17.0
F20,CEC2013CF4D20,20,8,8,0.01,0.01,400000,-5.0,5.0,0.0,8,0.0e+00,3.82e-08,79.2,31.7
