function,seed,div_ev,bank_ev,base_best_f,var_best_f,base_succ_ev,var_succ_ev,n_fire,same
F04-BucheRastrigin,20,4638,3117,0.0,0.0,2906,2906,44,True
F04-BucheRastrigin,21,3685,2168,0.0,0.0,1827,1827,53,True
F04-BucheRastrigin,22,-1,1249,0.0,0.0,1025,1025,50,True
F04-BucheRastrigin,23,3180,1539,0.0,0.0,1289,1289,58,True
F04-BucheRastrigin,24,3850,2294,0.0,0.0,1480,1480,56,True
F04-BucheRastrigin,25,1663,4296,0.0,0.0,3959,3366,30,True
F04-BucheRastrigin,26,4528,3006,0.0,0.0,2762,2762,57,True
F04-BucheRastrigin,27,3885,2244,0.0,0.0,1993,1993,43,True
F04-BucheRastrigin,28,1823,4979,0.007497297398913361,0.9949590799153611,-1,-1,49,False
F04-BucheRastrigin,29,1563,3006,0.0,0.0,2887,4352,35,True
F04-BucheRastrigin,30,-1,2038,0.0,0.0,1703,1703,29,True
F04-BucheRastrigin,31,2518,4611,0.0,0.9949590682223857,4376,-1,51,False
F04-BucheRastrigin,32,2043,4992,1.3394014786172193e-07,0.0,-1,3631,18,False
F04-BucheRastrigin,33,4044,1663,0.0,0.0,1452,1452,71,True
F04-BucheRastrigin,34,2291,4219,0.0,2.2168933355715126e-12,4033,4879,26,False
F04-BucheRastrigin,35,4053,2517,0.0,0.0,2131,2131,53,True
F04-BucheRastrigin,36,1603,4826,0.0,0.0,4536,2962,52,True
F04-BucheRastrigin,37,1633,3777,0.0,0.0,3442,3831,23,True
F04-BucheRastrigin,38,1633,4331,0.0,0.0,3991,4399,24,True
F04-BucheRastrigin,39,4033,2391,0.0,0.0,2206,2206,34,True
F04-BucheRastrigin,40,1783,4017,0.0,0.0,3797,4411,19,True
F04-BucheRastrigin,41,4428,2787,5.684341886080802e-14,5.684341886080802e-14,2482,2482,23,True
F04-BucheRastrigin,42,4559,1597,0.0,0.0,1265,1265,63,True
F04-BucheRastrigin,43,1618,4037,0.0,1.1368683772161603e-12,3686,4861,30,False
F04-BucheRastrigin,44,-1,1418,0.0,0.0,1158,1158,50,True
F04-BucheRastrigin,45,1743,4977,0.0,0.0,4845,3127,25,True
F04-BucheRastrigin,46,-1,3308,0.0,0.0,2185,2185,12,True
F04-BucheRastrigin,47,1523,3157,0.0,1.1937117960769683e-12,2776,4871,42,False
F04-BucheRastrigin,48,3640,1259,0.0,0.0,1018,1018,45,True
F04-BucheRastrigin,49,1593,4726,0.0,3.9095432384783635e-06,4421,-1,47,False
F04-BucheRastrigin,50,-1,2571,0.0,0.0,2279,2279,25,True
F04-BucheRastrigin,51,1623,3542,0.0,9.197012218464806e-07,3296,-1,48,False
F04-BucheRastrigin,52,3695,2143,0.0,0.0,1918,1918,53,True
